VariableName,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title_cn,title_tw,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,desc_cn,desc_tw,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,jumpTo,languages
Defaults,0,1,1,,,,0,{},TRUE,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr;in;ma;ph>
ID,成就分类 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,任务目标类型,任务分类（客户端用）,任务目标参数(数量）,任务目标参数2（对应参数ID）,若是运营活动成就填yyID,获得成就点,任务奖励,是否显示（1显示 FALSE不显示）,任务顺序,标题,标题,title,title_vn,title_en,title_th,title_in,title_ph,title_ma,描述,描述,描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,跳转,语言区域
1001,1,,,40,,,20,{14=5;rmb=10},,,,,Junior Commander,Chỉ huy sơ cấp,Junior Commander,ผู้บังคับบัญชาระดับต้น,Komandan Pemula,Punong Kumander na Baguhan,Komander Junior,,,Reach Character Level 40,Đạt cấp độ nhân vật 40,Reach Character Level 40,ถึงเลเวลตัวละคร 40,Mencapai Level Karakter 40,Maabot ang Antas ng Karakter 40,Mencapai Tahap Watak 40,10000,
1002,1,,,60,,,20,{14=5;rmb=20},,2,,,Intermediate Commander,Chỉ huy trung cấp,Intermediate Commander,ผู้บังคับบัญชาระดับกลาง,Komandan Menengah,Punong Kumander na Gitnang Antas,Komander Pertengahan,,,Reach Character Level 60,Đạt cấp độ nhân vật 60,Reach Character Level 60,ถึงเลเวลตัวละคร 60,Mencapai Level Karakter 60,Maabot ang Antas ng Karakter 60,Mencapai Tahap Watak 60,10000,
1003,1,,,80,,,30,{14=10;rmb=30},,3,,,Senior Commander,Chỉ huy cao cấp,Senior Commander,ผู้บังคับบัญชาระดับสูง,Komandan Senior,Punong Kumander na Nakatatanda,Komander Senior,,,Reach Character Level 80,Đạt cấp độ nhân vật 80,Reach Character Level 80,ถึงเลเวลตัวละคร 80,Mencapai Level Karakter 80,Maabot ang Antas ng Karakter 80,Mencapai Tahap Watak 80,10000,
1004,1,,,99,,,30,{14=10;rmb=50;2000=1},,4,,,Golden Commander,Chỉ huy hoàng kim,Golden Commander,ผู้บังคับบัญชาทองคำ,Komandan Emas,Punong Kumander na Ginto,Komander Emas,,,Reach Character Level 99,Đạt cấp độ nhân vật 99,Reach Character Level 99,ถึงเลเวลตัวละคร 99,Mencapai Level Karakter 99,Maabot ang Antas ng Karakter 99,Mencapai Tahap Watak 99,10000,
1005,1,,,104,,,30,{14=20;rmb=50},,5,,,New Beginning,Khởi đầu mới,New Beginning,การเริ่มต้นใหม่,Awal Baru,Bagong Simula,Permulaan Baru,,,Reach Character Level 104,Đạt cấp độ nhân vật 104,Reach Character Level 104,ถึงเลเวลตัวละคร 104,Mencapai Level Karakter 104,Maabot ang Antas ng Karakter 104,Mencapai Tahap Watak 104,10000,
1006,1,,,109,,,30,{14=30;rmb=50},FALSE,6,,,Unyielding Commander,Chỉ huy bất khuất,Unyielding Commander,ผู้บังคับบัญชาไม่ย่อท้อ,Komandan Tak Terkalahkan,Punong Kumander na Hindi Matitinag,Komander Tidak Terkalahkan,,,Reach Character Level 109,Đạt cấp độ nhân vật 109,Reach Character Level 109,ถึงเลเวลตัวละคร 109,Mencapai Level Karakter 109,Maabot ang Antas ng Karakter 109,Mencapai Tahap Watak 109,10000,
1007,1,,,114,,,30,{14=30;rmb=50},FALSE,7,,,Unyielding Commander,Chỉ huy bất khuất,Unyielding Commander,ผู้บังคับบัญชาไม่ย่อท้อ,Komandan Tak Terkalahkan,Punong Kumander na Hindi Matitinag,Komander Tidak Terkalahkan,,,Reach Character Level 114,Đạt cấp độ nhân vật 114,Reach Character Level 114,ถึงเลเวลตัวละคร 114,Mencapai Level Karakter 114,Maabot ang Antas ng Karakter 114,Mencapai Tahap Watak 114,10000,
1008,1,,,119,,,30,{14=30;rmb=50},FALSE,8,,,Unyielding Commander,Chỉ huy bất khuất,Unyielding Commander,ผู้บังคับบัญชาไม่ย่อท้อ,Komandan Tak Terkalahkan,Punong Kumander na Hindi Matitinag,Komander Tidak Terkalahkan,,,Reach Character Level 119,Đạt cấp độ nhân vật 119,Reach Character Level 119,ถึงเลเวลตัวละคร 119,Mencapai Level Karakter 119,Maabot ang Antas ng Karakter 119,Mencapai Tahap Watak 119,10000,
1009,1,2,2,3,,,15,{453=5;rmb=10},,,,,Junior Commander,Chỉ huy sơ cấp,Junior Commander,ผู้บังคับบัญชาระดับต้น,Komandan Pemula,Punong Kumander na Baguhan,Komander Junior,,,Adventure License Level 3,Cấp độ giấy phép mạo hiểm đạt cấp 3,Adventure License Level 3,ใบอนุญาตผจญภัยระดับ 3,Lisensi Petualangan Level 3,Lisensya ng Pakikipagsapalaran Antas 3,Lesen Pengembaraan Tahap 3,trainer,
1010,1,2,2,6,,,20,{453=5;rmb=20},,2,,,Elite Commander,Chỉ huy tinh anh,Elite Commander,ผู้บังคับบัญชาระดับยอดเยี่ยม,Komandan Elit,Punong Kumander na Elit,Komander Elit,,,Adventure License Level 6,Cấp độ giấy phép mạo hiểm đạt cấp 6,Adventure License Level 6,ใบอนุญาตผจญภัยระดับ 6,Lisensi Petualangan Level 6,Lisensya ng Pakikipagsapalaran Antas 6,Lesen Pengembaraan Tahap 6,trainer,
1011,1,2,2,9,,,30,{453=5;rmb=30},,3,,,Grandmaster Commander,Chỉ huy đại sư,Grandmaster Commander,ผู้บังคับบัญชาปรมาจารย์,Komandan Guru Besar,Punong Kumander na Dakilang Guro,Komander Guru Besar,,,Adventure License Level 9,Cấp độ giấy phép mạo hiểm đạt cấp 9,Adventure License Level 9,ใบอนุญาตผจญภัยระดับ 9,Lisensi Petualangan Level 9,Lisensya ng Pakikipagsapalaran Antas 9,Lesen Pengembaraan Tahap 9,trainer,
1012,1,2,2,12,,,30,{453=5;rmb=40},,4,,,Divine Commander,Chỉ huy thần cấp,Divine Commander,ผู้บังคับบัญชาระดับเทพ,Komandan Ilahi,Punong Kumander na Banal,Komander Ilahi,,,Adventure License Level 12,Cấp độ giấy phép mạo hiểm đạt cấp 12,Adventure License Level 12,ใบอนุญาตผจญภัยระดับ 12,Lisensi Petualangan Level 12,Lisensya ng Pakikipagsapalaran Antas 12,Lesen Pengembaraan Tahap 12,trainer,
