VariableName,advanceIndex,advanceLevel,advanceName,advanceName_vn,advanceName_tw,advanceName_kr,advanceName_en,advanceName_th,advanceName_in,advanceName_ph,advanceName_ma,advanceLimitType,advanceLimitNum,advanceSeqID,sceneType,attrType1,attrNum1,attrType2,attrNum2
Defaults,1,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",1,3,1,,,,,
ID,刻印突破索引,刻印突破等级,刻印突破等级名称,advanceName_vn,刻印突破等级名称tw,刻印突破等级名称kr,advanceName_en,advanceName_th,advanceName_in,advanceName_ph,advanceName_ma,刻印突破限制类型(1=星级 2=觉醒),刻印突破限制参数,印刻突破消耗序列ID,场景类型,突破属性类型1,突破属性数值1,突破属性类型2,突破属性数值2
1101,,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
1102,,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,,<2>,9,10%,10,10%
1103,,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,,<2>,7,10%,8,10%
1104,,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,,<2>,1,10%,,
1105,,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,,<2>,11,500,12,500
1106,,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,,<2>,14,500,,
1107,,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,,<2>,16,500,,
1108,,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,,<2>,22,750,,
1109,,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,,<2>,23,750,,
1110,,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,,<2>,24,750,,
1111,,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,,<2>,25,750,,
1201,2,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
1202,2,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,2,<6>,9,10%,10,10%
1203,2,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,2,<6>,7,10%,8,10%
1204,2,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,2,<6>,1,10%,,
1205,2,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,2,<6>,11,500,12,500
1206,2,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,2,<6>,14,500,,
1207,2,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,2,<6>,16,500,,
1208,2,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,2,<6>,22,750,,
1209,2,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,2,<6>,23,750,,
1210,2,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,2,<6>,24,750,,
1211,2,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,2,<6>,25,750,,
1301,3,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
1302,3,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,3,<10>,9,10%,10,10%
1303,3,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,3,<10>,7,10%,8,10%
1304,3,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,3,<10>,1,10%,,
1305,3,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,3,<10>,11,500,12,500
1306,3,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,3,<10>,14,500,,
1307,3,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,3,<10>,16,500,,
1308,3,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,3,<10>,22,750,,
1309,3,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,3,<10>,23,750,,
1310,3,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,3,<10>,24,750,,
1311,3,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,3,<10>,25,750,,
1401,4,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
1402,4,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,4,<12>,9,10%,10,10%
1403,4,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,4,<12>,7,10%,8,10%
1404,4,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,4,<12>,1,10%,,
1405,4,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,4,<12>,11,500,12,500
1406,4,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,4,<12>,14,500,,
1407,4,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,4,<12>,16,500,,
1408,4,7,Supreme,Tối thượng,,,Supreme,สูงสุด,Tertinggi,Natatangi,Tertinggi,,4,4,<12>,22,750,,
1409,4,8,Glorious,Vinh quang,,,Glorious,รุ่งโรจน์,Gemilang,Marilag,Gemilang,,5,4,<12>,23,750,,
1410,4,9,Infinity,Vô Cực,,,Infinity,ไร้ขีดจำกัด,Tak Terbatas,Walang Hanggan,Tanpa Had,2,4,4,<12>,24,750,,
1411,4,10,Infinity II,Vô Cực II,,,Infinity II,ไร้ขีดจำกัด II,Tak Terbatas II,Walang Hanggan II,Tanpa Had II,2,5,4,<12>,25,750,,
2101,5,0,Normal,Bình thường,,,Normal,ปกติ,Normal,Karaniwan,Biasa,,,,,,,,
2102,5,,Good,Tốt,,,Good,ดี,Bagus,Maganda,Baik,,1,5,<2>,9,10%,10,10%
2103,5,2,Exquisite I,Tinh xảo I,,,Exquisite I,ประณีต I,Indah I,Pinong I,Halus I,,2,5,<2>,7,10%,8,10%
2104,5,3,Exquisite II,Tinh xảo II,,,Exquisite II,ประณีต II,Indah II,Pinong II,Halus II,,,5,<2>,1,10%,,
2105,5,4,Excellent I,Xuất sắc I,,,Excellent I,ยอดเยี่ยม I,Luar Biasa I,Napakahusay I,Cemerlang I,2,1,5,<2>,11,500,12,500
2106,5,5,Excellent II,Xuất sắc II,,,Excellent II,ยอดเยี่ยม II,Luar Biasa II,Napakahusay II,Cemerlang II,2,2,5,<2>,14,500,,
2107,5,6,Luxurious,Xa hoa,,,Luxurious,หรูหรา,Mewah,Marangya,Mewah,2,,5,<2>,16,500,,
