VariableName,_beizhu,normal,fire,water,grass,electricity,ice,combat,poison,ground,fly,super,worm,rock,ghost,dragon,evil,steel,fairy
Defaults,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
属性ID,属性备注（攻击类型/防御类型）,一般,火,水,草,电,冰,格斗,毒,地面,飞行,超能,虫,岩石,幽灵,龙,恶,钢,妖精
1,,,,,,,,,,0.7,,1.5,,0.7,1.5,,1.5,0.7,
2,,,,0.7,,,1.5,,1.5,0.7,,,,,,0.7,,1.5,
3,,,1.5,,,0.7,0.7,,1.5,1.5,,,,0.7,,,,,
4,,,,,,1.5,,0.7,0.7,1.5,1.5,,,,0.7,,,,
5,,,,1.5,0.7,,,,,0.7,,,,0.7,1.5,,,1.5,
6,,,0.7,1.5,,,,1.5,,,,,,1.5,0.7,0.7,,,
7,,,,,1.5,,0.7,,,,0.7,,0.7,1.5,,1.5,,,
8,,,0.7,0.7,1.5,,,,,,,1.5,,,,,1.5,,0.7
9,,1.5,1.5,0.7,0.7,1.5,,,,,,,,,,,0.7,,
10,,,,,0.7,,,1.5,,,,,1.5,,,0.7,0.7,,1.5
11,,0.7,,,,,,,0.7,,,,1.5,,,1.5,,1.5,0.7
12,,,,,,,,1.5,,,0.7,0.7,,,,1.5,0.7,,1.5
13,,1.5,,1.5,,1.5,0.7,0.7,,,,,,,0.7,,,,
14,,0.7,,,1.5,0.7,1.5,,,,,,,1.5,,,,,0.7
15,,,1.5,,,,1.5,0.7,,,1.5,0.7,0.7,,,,1.5,0.7,
16,,0.7,,,,,,,0.7,1.5,1.5,,1.5,,,0.7,,,
17,,1.5,0.7,,,0.7,,,,,,0.7,,,,1.5,,,1.5
18,,,,,,,,,1.5,,0.7,1.5,0.7,,1.5,,,0.7,
