VariableName,groupID,type,desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,unlock,isShow,targetType,targetType2,targetArg1,targetArg2,award,sort
Defaults,0,1,"""""","""""","""""","""""","""""","""""","""""",{},TRUE,1,1,99,0,{},0
ID,成就索引ID,类型(1-普通成就;2-隐藏成就),desc,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,激活方式(1-无条件;2-指定关卡id;3-指定卡牌id),是否显示,目标类型(1-通关次数;2-解锁指定卡牌;3-一轮通关回合数小于x;4-累计击杀x个敌方精灵;5-己方累计阵亡x个精灵;6-累计获得x个徽章),目标类型(客户端用),目标参数1,目标参数2,奖励,排序
1,1,,Clear the stage 2 times,Vượt ải 2 lần,Clear the stage 2 times,ผ่านด่าน 2 ครั้ง,Menyelesaikan stage 2 kali,Nalampasan ang yugto ng 2 beses,Melepasi peringkat 2 kali,,,,,2,,{930=10;gold=100000;6393=5;901=5},
2,1,,Clear the stage 3 times,Vượt ải 3 lần,Clear the stage 3 times,ผ่านด่าน 3 ครั้ง,Menyelesaikan stage 3 kali,Nalampasan ang yugto ng 3 beses,Melepasi peringkat 3 kali,,,,,3,,{930=10;gold=150000;6393=5;901=5},
3,1,,Clear the stage 5 times,Vượt ải 5 lần,Clear the stage 5 times,ผ่านด่าน 5 ครั้ง,Menyelesaikan stage 5 kali,Nalampasan ang yugto ng 5 beses,Melepasi peringkat 5 kali,,,,,5,,{gold=200000;6393=10;901=5;951=5},
4,1,,Clear the stage 10 times,Vượt ải 10 lần,Clear the stage 10 times,ผ่านด่าน 10 ครั้ง,Menyelesaikan stage 10 kali,Nalampasan ang yugto ng 10 beses,Melepasi peringkat 10 kali,,,,,10,,{502=3;gold=300000;6393=10;901=10},
5,1,,Shortest rounds less than or equal to 60,Số lượt ngắn nhất nhỏ hơn hoặc bằng 60,Shortest rounds less than or equal to 60,จำนวนรอบสั้นที่สุดไม่เกิน 60,Jumlah putaran tercepat kurang dari atau sama dengan 60,Pinakamaikling bilang ng round ay hindi lalampas sa 60,Round terpendek kurang dari atau sama dengan 60,,,3,,60,,{5000=10;901=5;6393=5;gold=100000},
6,1,,Shortest rounds less than or equal to 48,Số lượt ngắn nhất nhỏ hơn hoặc bằng 48,Shortest rounds less than or equal to 48,จำนวนรอบสั้นที่สุดไม่เกิน 48,Jumlah putaran tercepat kurang dari atau sama dengan 48,Pinakamaikling bilang ng round ay hindi lalampas sa 48,Round terpendek kurang dari atau sama dengan 48,,,3,,48,,{5000=10;901=5;6393=5;gold=150000},
7,1,,Shortest rounds less than or equal to 36,Số lượt ngắn nhất nhỏ hơn hoặc bằng 36,Shortest rounds less than or equal to 36,จำนวนรอบสั้นที่สุดไม่เกิน 36,Jumlah putaran tercepat kurang dari atau sama dengan 36,Pinakamaikling bilang ng round ay hindi lalampas sa 36,Round terpendek kurang dari atau sama dengan 36,,,3,,36,,{gold=200000;6393=10;901=5;951=5},
8,1,,Shortest rounds less than or equal to 24,Số lượt ngắn nhất nhỏ hơn hoặc bằng 24,Shortest rounds less than or equal to 24,จำนวนรอบสั้นที่สุดไม่เกิน 24,Jumlah putaran tercepat kurang dari atau sama dengan 24,Pinakamaikling bilang ng round ay hindi lalampas sa 24,Round terpendek kurang dari atau sama dengan 24,,,3,,24,,{gold=300000;521=2;6393=10;901=10},
