VariableName,name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath,desc_en
Defaults,"""""","""""",0,1,"""""",0,0,{},3,<>,<>,0,0,999,100,0,"""""",""""""
ID,名称,备注,类型(1-属性加成;2-激活被动技能;3-招募),生效类型(1-非全局生效;2-全局生效),描述,稀有度,索引ID,属性类型({attrType:attrNum}),提升范围(1-前排;2-后排;3-全体;4-指定属性;5-指定属性技能),激活被动技能ID,招募卡牌ID,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;),解锁目标,解锁次数,基础权重,全局触发上限(0-无限制),图标资源,Desciption english
1001,Tăng cường tấn công,,1,,"Trong chế độ chơi này, công vật lý và công phép hàng sau phe ta tăng 10%",1,1,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1002,Tăng cường sát thương,,1,,"Trong chế độ chơi này, sát thương gây ra hàng sau phe ta tăng 10%",1,1,{22=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1003,Tăng cường bạo kích,,1,,"Trong chế độ chơi này, tỷ lệ bạo kích hàng sau phe ta tăng 10%",1,1,{14=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1004,Tăng cường kỹ năng tất sát,,1,,"Trong chế độ chơi này, sát thương kỹ năng hàng sau phe ta tăng 10%",1,1,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1005,Tăng cường tấn công (mạnh),,1,,"Trong chế độ chơi này, công vật lý và công phép hàng sau phe ta tăng 20%",1,2,{7=20%;8=20%},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1006,Tăng cường sát thương (mạnh),,1,,"Trong chế độ chơi này, sát thương gây ra hàng sau phe ta tăng 20%",1,2,{22=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1007,Tăng cường bạo kích (mạnh),,1,,"Trong chế độ chơi này, tỷ lệ bạo kích hàng sau phe ta tăng 20%",1,2,{14=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1008,Tăng cường kỹ năng tất sát (mạnh),,1,,"Trong chế độ chơi này, sát thương kỹ năng hàng sau phe ta tăng 20%",1,2,{24=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
1009,Tăng cường phòng thủ kép,,1,,"Trong chế độ chơi này, thủ vật lý và thủ phép hàng trước phe ta tăng 10%",1,1,{10=10%;9=10%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1010,Tăng cường giảm sát thương,,1,,"Trong chế độ chơi này, miễn thương hàng trước phe ta tăng 10%",1,1,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1011,Tăng cường kháng bạo kích,,1,,"Trong chế độ chơi này, kháng bạo hàng trước phe ta tăng 10%",1,1,{16=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1012,Tăng cường kháng kỹ năng tất sát,,1,,"Trong chế độ chơi này, kháng sát thương kỹ năng hàng trước phe ta tăng 10%",1,1,{25=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1013,Tăng cường phòng thủ kép (mạnh),,1,,"Trong chế độ chơi này, thủ vật lý và thủ phép hàng trước phe ta tăng 20%",1,2,{10=20%;9=20%},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1014,Tăng cường giảm sát thương (mạnh),,1,,"Trong chế độ chơi này, miễn thương hàng trước phe ta tăng 20%",1,2,{23=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1015,Tăng cường kháng bạo kích (mạnh),,1,,"Trong chế độ chơi này, kháng bạo hàng trước phe ta tăng 20%",1,2,{16=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
1016,Tăng cường kháng kỹ năng tất sát (mạnh),,1,,"Trong chế độ chơi này, kháng sát thương kỹ năng hàng trước phe ta tăng 20%",1,2,{25=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
2001,Tăng cường tấn công,,1,,"Trong chế độ chơi này, công vật lý và công phép hàng sau phe ta tăng 10%",1,2001,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
2002,Tăng cường kỹ năng tất sát,,1,,"Trong chế độ chơi này, sát thương kỹ năng hàng sau phe ta tăng 10%",1,2001,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
2003,Tăng cường giảm sát thương,,1,,"Trong chế độ chơi này, miễn thương hàng trước phe ta tăng 10%",1,2001,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
2004,Tăng cường phòng thủ kép (mạnh),,1,,"Trong chế độ chơi này, thủ vật lý và thủ phép hàng trước phe ta tăng 20%",1,2001,{10=20%;9=20%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png,
2005,Tăng cường hút máu,,1,,"Trong chế độ chơi này, tỷ lệ hút máu toàn đội phe ta tăng 5%",1,2001,{26=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
2006,Tăng cường hồi nộ,,1,,"Trong chế độ chơi này, tốc độ hồi nộ toàn đội phe ta tăng 5%",1,2001,{5=500},,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fz.png,
2007,Tăng cường tấn công,,1,,"Trong chế độ chơi này, công vật lý và công phép hàng sau phe ta tăng 10%",1,2001,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
2008,Tăng cường kỹ năng tất sát,,1,,"Trong chế độ chơi này, sát thương kỹ năng hàng sau phe ta tăng 10%",1,2001,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png,
