VariableName,firstMonters,repeatMonters,name,monsterDesc,desc,scene,hpFix,damageFix,defenceFix,speedFix,floor,firstAward,repeatAward,extraAward,singleDamageMax,damageMax
Defaults,<>,<>,"""""","""""","""""",stage/znq.csv,1,1,1,1,1,{},{},{},500,500
ID,首次挑战阵容,后续挑战阵容,关卡名字,阵容信息,关卡介绍,关卡背景,血量修正系数,双攻修正系数,双防修正系数,速度修正系数,层数标记,首通奖励,通关奖励,额外奖励,单角色最高伤害限制,副本总伤害限制
1,<111>,<111;11>,Màn 1,,Mình chọn cậu!,,0.5,0.5,0.5,0.5,,{515=3;5000=10;6393=10;452=30},{gold=50000},,,
2,<112>,<112;12>,Màn 2,,Chào mừng đến căn cứ nghiên cứu,,0.55,0.55,0.55,0.55,2,{930=10;850=50;900=20;6393=10},{gold=50000},,,
3,<113>,<113;13>,Màn 3,,Sẽ gặp gì trong bão tuyết đây?,,0.61,0.61,0.61,0.61,3,{5000=15;6393=10;519=1;452=40},{gold=50000},,,
4,<114>,<114;14>,Màn 4,,Phía bên kia cầu vồng,,0.68,0.68,0.68,0.68,4,{930=15;6393=10;901=20;850=60},{gold=50000},,,
5,<115>,<115;15>,Màn 5,,Biến thân đối chiến,,0.76,0.76,0.76,0.76,5,{5000=20;6393=10;rmb=128;452=50},{gold=50000},,,
6,<116>,<116;16>,Màn 6,,Bài hát của Pikachu,,0.85,0.85,0.85,0.85,6,{930=20;850=80;6393=10;500=1},{gold=50000},,,
7,<117>,<117;17>,Màn 7,,"Mewtwo, tôi ở ngay đây!",,0.95,0.95,0.95,0.95,7,{502=5;5000=25;6393=10;452=60},{gold=50000},,,
8,<118>,<118;18>,Màn 8,,Dũng sĩ đến từ thế giới khác,,1.06,1.06,1.06,1.06,8,{930=25;6393=10;850=100;503=2},{gold=50000},,,
9,<119>,<119;19>,Màn 9,,Con đường trở thành kẻ mạnh nhất,,1.18,1.18,1.18,1.18,9,{5000=30;520=2;6393=10;452=80},{gold=50000},,,
