VariableName,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,extraOverlayLimit
Defaults,,,,,,,,,,,buff1,,,1,0,101,0,<>,<>,<>,0,999999,,TRUE,"""""",0,"""""",<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,"""""",effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
ID,名字,name_vn,name_en,name_th,name_in,name_ph,name_ma,效果类型备注,资质,策划备注,直接触发效果，不需要用节点控制的，buff添加上时就会直接触发。格式：funcName。比如填加某项属性，可以直接写属性的名字，在process中填写对应的值。,效果类型（负面，增益，控制，触发器，标记buff，恢复类，功能类，特殊）,功能（常规，特殊-不可被驱散，复制，转移，转化，识别等等，未分组，功能）,buff添加时刻，1:在技能开始前添加;2:在技能释放完后添加,buff所属组,buff权限组（buff是否能被驱散，是否能被免疫，是否能被转移，是否能被复制……）,是否无视控制率,免疫ID,驱散ID,<1;2;1> 参数1：类型  参数2：类型对应的个数  驱散类型：1.按照“buff”个数去驱散； 2.按照“buff组”个数去驱散 3.驱散的层数默认为0 （0:全部驱散）,叠加覆盖规则，是同cfgId的buff自身叠加,叠加上限(只对叠加覆盖规则2生效),皮肤,显示总开关，FALSE的时候毛都看不到,血条上的小图标资源，不填不显示。同cfgId的buff，能叠加的会自动折叠在一起,是否显示图标外框,挂在目标身上的特效资源路径,特效资源对应的动作名,特效资源对应的类型。0.默认 1.层数,光效路径播放延迟,光效特效位置点0-角色K点;1-头顶;2-受击中点;3-己方阵营中心;4-敌方阵营中心;5-双放阵营中心,0.背景层 1.角色层 2.角色层不跟随角色 3.大招特效层 4.特效层,光效特效位置点偏移,攻击方是否显示技能特效,一次性特效资源路径,一次性特效动作名,一次性特效延迟播放,一次性特效位置点0-角色K点;1-头顶;2-受击中点;3-场景中央;4-固定站位;5-己方阵营中心 6-敌方阵营中心,一次性特效指定层级0-背景层;1-大招特效层;2-游戏层;3-特效层,一次性特效位置点偏移,一次性特效等待播放结束,链接特效配置{effectRes = 'buff/lianjie/hero_yipeiertaer.skel';aniName =  'effect_lianjiexian_loop'; deep = 12; offsetPos = {'x'=0;'y'=0}},buff结束时播放特效，格式为{res=xxx;aniName=yyy},作用于BUFF持有者的一些程序实现的表现效果。目前只有暂停动作一种，后续可能扩展,显示的文字资源路径，比如 “狂暴+++++++++”,深度修正,同时刻触发时，触发的顺序优先级，值越小越早执行。目前几种特殊类型的buff：1-无敌，2-护盾，3-98随意 ，99 - 直接伤害，100-回怒气。这个值不填写时，生成buff的优先级Defaults为 10 。,用于特殊id的特殊值,特殊目标选择,强制加上buff，可以无视holder的状态，比免疫优先级低,当前buff被cast时，是否要无视掉caster的状态（离场等）,触发行为，是包括后面的一系列触发节点控制的。格式：<{nodeInfoxxxx};xxxx}>。 数据来自于辅助表sheet1中。,buff的使用限制次数，主要用于在某些战斗中，只能存在特定次数的情况。(暂时先不增加，这个会和后面的触发次数有点矛盾),生命周期计算时机判断: 1-小回合时;2-大回合时;3-不受额外回合影响的小回合时,buff生命周期的结束的时间点， 0:代表回合开始前结束， 1:回合结束后结束,收到该buff之后目标的变色,波次切换不删除,王者全场触发次数,buff的使用次数限制，（type表示用哪一种模式：<1-单位，2-阵营>，scenes填写gate类型表示在某个固定玩法中生效，limit表示次数，absForce表示绝对位置：1是左边，2是右边）,默认不填，需要不删除的buff填1,是否显示探险器特效,探险器特效对应ID,是否显示携带道具特效,携带道具ID,buff特殊的动作动画,场景对应stage,extraOverlayLimit
1,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,
2,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,1401,,,,,,1,1,,,battle/buff_icon/logo_cxzl.png,,buff/zhiliao/zhiliao.skel,<chixuzhiliao_loop>,,,2,,,,effect/zhiliaoxiaoguo.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
3,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,suckBlood,,,2,,,,,,,1,1,,,battle/buff_icon/logo_xx.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,buffDamage,,,2,1501,,,,,,2,5,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{damageType=2;processId=15}>,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
11,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,,,,buffDamage,,,2,1500,,,,,,2,5,,,battle/buff_icon/logo_zs.png,,buff/zhuoshao/zhuoshao.skel,<zhuoshao_loop_top>,,,,,,,,,,,,,,,,,battle/txt/txt_zs1.png,,,<{damageType=1;processId=3}>,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
12,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,,,,buffDamage,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,<{damageType=0;processId=3}>,,,,,,,,,,,,,,,,,,,
13,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,,,,defence,,,2,1303,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,
15,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,Charmander,,,,specialDefence,,,2,1303,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,
21,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,shield,,,2,11,,,,,,1,1,,,battle/buff_icon/logo_hd.png,1,buff/hudun/hudun.skel,<hudun_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_hd.png,,,,,,,,,,,,,,,,,,,,,,
22,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,defence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_wf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wftg.png,,,,,,,,,,,,,,,,,,,,,,
23,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,specialDefence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,,
24,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,defence,,,2,1203,,,,,,1,1,,,battle/buff_icon/logo_wf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_wfjd.png,,,,,,,,,,,,,,,,,,,,,,
25,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,specialDefence,,,2,1303,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,
26,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,,,,specialDefence,,,,1203,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,,
391,Ngủ,Ngủ,Sleep,หลับ,Tidur,Tulog,Tidur,,,,sleepy,,,2,22,,,,,,1,1,,,battle/buff_icon/logo_sm.png,,buff/shuimian/shuimian.skel,<shuimian_loop>,,,1,,{y=-300;x=0},,,,,,,,,,,,battle/txt/txt_sm.png,,,,,,,,,,,,,,,,,,,,,,
392,Giảm pháp phòng,Giảm pháp phòng,Decrease Magic Defense,ลดพลังป้องกันเวท,Turunkan Pertahanan Sihir,Bawas Magic Defense,Kurangkan Pertahanan Sihir,,,,specialDefence,,,,1313,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,
393,Giảm pháp công,Giảm pháp công,Decrease Magic Attack,ลดพลังโจมตีเวท,Turunkan Serangan Sihir,Bawas Magic Attack,Kurangkan Serangan Sihir,,,,specialDamage,,,,1312,,,,,,1,1,,,battle/buff_icon/logo_tg_down.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgjd.png,,,,,,,,,,,,,,,,,,,,,,
394,Giảm tỷ lệ hồi máu,Giảm tỷ lệ hồi máu,Reduce Healing Rate,ลดอัตราฟื้นฟูพลังชีวิต,Kurangi Tingkat Penyembuhan,Bawas Healing Rate,Kurangkan Kadar Pemulihan,,,,cure,,,,,,,,,,1,1,,,battle/buff_icon/logo_jl1.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_jl1.png,,,,,,,,,,,,,,,,,,,,,,
395,Mất máu liên tục,Mất máu liên tục,Continuous Bleeding,เสียเลือดต่อเนื่อง,Berdarah Terus-Menerus,Tuloy-tuloy na Pagdurugo,Kehilangan Darah Berterusan,,,,buffDamage,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{damageType=2;processId=15}>,,,,,,,,,,,,,,,,,,,
396,Tăng pháp công,Tăng pháp công,Increase Magic Attack,เพิ่มพลังโจมตีเวท,Tingkatkan Serangan Sihir,Dagdag Magic Attack,Tingkatkan Serangan Sihir,,,,specialDamage,,,,1212,,,,,,1,1,,,battle/buff_icon/logo_tg_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_tgtg.png,,,,,,,,,,,,,,,,,,,,,,
481,Giảm kháng phép,Giảm kháng phép,Decrease Magic Resistance,ลดต้านทานเวท,Turunkan Ketahanan Sihir,Bawas Magic Resistance,Kurangkan Ketahanan Sihir,,,,specialDefence,,,2,,,,,,,1,1,,,battle/buff_icon/logo_tf_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_tfjd.png,,,,,,,,,,,,,,,,,,,,,,
482,Mất máu,Mất máu,Lose HP,เสียเลือด,Kehilangan HP,Bawas HP,Kehilangan HP,,,,buffDamage,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,<{damageType=2;processId=15}>,,,,,,,,,,,,,,,,,,,
483,Giảm chính xác,Giảm chính xác,Decrease Accuracy,ลดความแม่นยำ,Kurangi Akurasi,Bawas Accuracy,Kurangkan Ketepatan,,,,damageHit,,,2,,,,,,,1,1,,,battle/buff_icon/logo_mz_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_mzdjjd.png,,,,,,,,,,,,,,,,,,,,,,
484,Hồi máu,Hồi máu,Heal,ฟื้นฟูพลังชีวิต,Penyembuhan,Gamutin,Sembuh,,,,addHP,,,2,,,,,,,1,1,,,,1,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,
485,Tăng pháp phòng,Tăng pháp phòng,Increase Magic Defense,เพิ่มพลังป้องกันเวท,Tingkatkan Pertahanan Sihir,Dagdag Magic Defense,Tingkatkan Pertahanan Sihir,,,,specialDefence,,,2,,,,,,,1,1,,,battle/buff_icon/logo_tf_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_tftg.png,,,,,,,,,,,,,,,,,,,,,,
486,Giảm tỷ lệ chí mạng,Giảm tỷ lệ chí mạng,Reduce Critical Rate,ลดอัตราคริติคอล,Turunkan Tingkat Critical,Bawas Critical Rate,Kurangkan Kadar Kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_down.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjljd.png,,,,,,,,,,,,,,,,,,,,,,
491,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase Critical Level,เพิ่มระดับคริติคอล,Tingkatkan Level Critical,Dagdag Critical Level,Tingkatkan Tahap Kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
492,Bỏ qua phòng thủ vật lý,Bỏ qua phòng thủ vật lý,Ignore Physical Defense,ทะลวงป้องกันกายภาพ,Abaikan Pertahanan Fisik,Balewalain ang Physical Defense,Abaikan Pertahanan Fizikal,,,,defenceIgnore,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Tăng nộ khí,Tăng nộ khí,Increase Rage,เพิ่มความโกรธ,Tingkatkan Rage,Dagdag Rage,Tingkatkan Kemarahan,,,,addMp1,,,2,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqtg.png,,,,,,,,,,,,,,,,,,,,,,
592,Giảm nộ khí,Giảm nộ khí,Decrease Rage,ลดความโกรธ,Turunkan Rage,Bawas Rage,Kurangkan Kemarahan,,,,addMp1,,,2,109,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_nqjd.png,,,,,,,,,,,,,,,,,,,,,,
593,Bỏ qua phòng thủ vật lý,Bỏ qua phòng thủ vật lý,Ignore Physical Defense,ทะลวงป้องกันกายภาพ,Abaikan Pertahanan Fisik,Balewalain ang Physical Defense,Abaikan Pertahanan Fizikal,,,,specialDefenceIgnore,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Xóa bỏ hiệu ứng bỏ qua phòng thủ,Xóa bỏ hiệu ứng bỏ qua phòng thủ,Remove Ignore Defense Effect,ลบผลทะลวงป้องกัน,Hapus Efek Abaikan Pertahanan,Alisin ang Ignore Defense Effect,Padamkan Kesan Abaikan Pertahanan,,,,,,,2,,,,,<594>,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase Critical Damage,เพิ่มความเสียหายคริติคอล,Tingkatkan Damage Critical,Dagdag Critical Damage,Tingkatkan Kerosakan Kritikal,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
1171,Đốt cháy,Đốt cháy,Burn,เผาไหม้,Terbakar,Sunog,Terbakar,,,,buffDamage,,,2,1500,,,,,,2,5,,,battle/buff_icon/logo_zs.png,,buff/zhuoshao/zhuoshao.skel,<zhuoshao_loop_top>,,,,,,,,,,,,,,,,,battle/txt/txt_zs1.png,,,<{damageType=2;processId=15}>,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
1172,Tăng sát thương,Tăng sát thương,Increase Damage,เพิ่มความเสียหาย,Tingkatkan Kerusakan,Dagdag Damage,Tingkatkan Kerosakan,,,,damageAdd,,,2,1202,,,,,,1,1,,,battle/buff_icon/logo_shjc_up.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_shtg.png,,,,,,,,,,,,,,,,,,,,,,
1173,Tăng cấp độ chí mạng,Tăng cấp độ chí mạng,Increase Critical Level,เพิ่มระดับคริติคอล,Tingkatkan Level Critical,Dagdag Critical Level,Tingkatkan Tahap Kritikal,,,,strike,,,,,,,,,,1,1,,,battle/buff_icon/logo_bjl_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjltg.png,,,,,,,,,,,,,,,,,,,,,,
1174,Giảm hồi máu (không có hiệu ứng đặc biệt),Giảm hồi máu (không có hiệu ứng đặc biệt),Reduce Healing (No special effect),ลดการฟื้นฟู (ไม่มีเอฟเฟกต์พิเศษ),Kurangi Penyembuhan (Tanpa Efek Khusus),Bawas Heal (Walang Espesyal na Epekto),Kurangkan Pemulihan (Tiada Kesan Khas),,,,cure,,,2,1103,,,,,,1,1,,,battle/buff_icon/logo_jl1.png,,,,,,,,,,,,,,,,,,,,battle/txt/txt_jl1.png,,,,,,,,,,,,,,,,,,,,,,
1175,Tăng sát thương chí mạng,Tăng sát thương chí mạng,Increase Critical Damage,เพิ่มความเสียหายคริติคอล,Tingkatkan Damage Critical,Dagdag Critical Damage,Tingkatkan Kerosakan Kritikal,,,,strikeDamage,,,,,,,,,,2,3,,,battle/buff_icon/logo_bjsh_up.png,1,,,,,,,,,,,,,,,,,,,battle/txt/txt_bjshtg.png,,,,,,,,,,,,,,,,,,,,,,
1221,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,buffDamage,,,2,1501,,,,,,2,5,,,battle/buff_icon/logo_zd.png,,buff/zhongdu/zhongdu.skel,<zhongdu_loop>,,,,,,,,,,,,,,,,,battle/txt/txt_zd.png,,,<{damageType=2;processId=15}>,,,,<{nodeId=0;triggerPoint=5}>,,,,,,,,,,,,,,,
1222,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,,,,addHP,,,2,,,,,,,1,1,,,,,,,,,,,,,buff/zhiliao/zhiliao.skel,zhiliao_lv,,,,,,,,,battle/txt/txt_hf.png,,,,,,,,,,,,,,,,,,,,,,
