VariableName,_beizhu,fragID,cardID,languages
Defaults,,,,<cn;in;tw;en;vn;th;kr;ma;ph>
ID,备注,碎片id,卡牌id,语言区域
13,,20011,13,
44,,20041,44,
53,,20051,53,
82,,20081,82,
163,,20161,163,
242,,20241,242,
253,,20251,253,
263,,20261,263,
273,,20271,273,
333,,20331,333,
393,,20391,393,
402,,20401,402,
493,,20491,493,
503,,20501,503,
552,,20551,552,
572,,20571,572,
593,,20591,593,
603,,20601,603,
611,,20611,611,
631,,20631,631,
641,,20641,641,
692,,20691,692,
701,,20701,701,
712,,20711,712,
721,,20721,721,
731,,20731,731,
741,,20741,741,
771,,20771,771,
793,,20791,793,
863,,20861,863,
883,,20881,883,
972,,20971,972,
1032,,21031,1032,
1071,,21071,1071,
1082,,21081,1082,
1221,,21221,1221,
1231,,21231,1231,
1241,,21241,1241,
1253,,21251,1253,
1293,,21291,1293,
1303,,21301,1303,
1313,,21311,1313,
1393,,21391,1393,
1394,,21381,1381,
1423,,21421,1423,
1503,,21501,1503,
1612,,21611,1612,
1772,,21771,1772,
1813,,21811,1813,
1841,,21841,1841,
1893,,21891,1893,
1903,,21901,1903,
1931,,21931,1931,
1941,,21941,1941,
1951,,21951,1951,
2013,,22011,2013,
2023,,22021,2023,
2033,,22031,2033,
2073,,22071,2073,
2233,,22231,2233,
2242,,22241,2242,
2351,,22351,2351,
2381,,22381,2381,
2401,,22401,2401,
2493,,22491,2493,
2593,,22591,2593,
2612,,22611,2612,
2633,,22631,2633,
2683,,22681,2683,
2723,,22721,2723,
2843,,22841,2843,
2963,,22961,2963,
3003,,23001,3003,
3021,,23021,3021,
3143,,23141,3143,
3152,,23151,3152,
3161,,23161,3161,
3171,,23171,3171,
3181,,23181,3181,
3251,,23251,3251,
3283,,23281,3283,
3293,,23291,3293,
3303,,23301,3303,
3342,,23341,3342,
3353,,23351,3353,
3432,,23431,3432,
3472,,23471,3472,
3511,,23511,3511,
3543,,23541,3543,
3592,,23591,3592,
3663,,23661,3663,
3673,,23671,3673,
3683,,23681,3683,
3772,,23771,3772,
7001,,27001,7001,
9001,,29001,9001,
9002,,29002,9002,
9003,,29003,9003,
