VariableName,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
Defaults,"""""",7,1,<<<-4;15>;10>;<<16;30>;10>>,{451=1},<<<-4;15>;10>;<<16;30>;10>>,{451=1}
ID,备注,属性,突破阶段,道具1随机范围 <<随机下限;随机上限>;权重>,单次随机道具1消耗,道具2随机范围 <<随机下限;随机上限>;权重>,单次随机道具2消耗
1,,1,,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
2,,1,2,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
3,,1,3,<<<-16;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
4,,1,4,<<<-24;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
5,,1,5,<<<-24;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
6,,1,6,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
7,,1,7,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
8,,1,8,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
9,,1,9,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
10,,1,10,<<<-65;52>;100>>,{451=6},<<<0;97>;100>>,{452=3}
11,,1,11,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
12,,1,12,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
13,,1,13,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
14,,1,14,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
15,,1,15,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
16,,1,16,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
17,,1,17,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
18,,1,18,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
19,,13,,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
20,,13,2,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
21,,13,3,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
22,,13,4,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
23,,13,5,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
24,,13,6,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
25,,13,7,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
26,,13,8,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
27,,13,9,<<<-3;1>;100>>,{451=6},<<<0;3>;100>>,{452=3}
28,,13,10,<<<-3;-1>;40>;<<0;1>;60>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
29,,13,11,<<<-3;-1>;50>;<<0;1>;50>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
30,,13,12,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
31,,13,13,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
32,,13,14,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
33,,13,15,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
34,,13,16,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
35,,13,17,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
36,,13,18,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
37,,,,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
38,,,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
39,,,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
40,,,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
41,,,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
42,,,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
43,,,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
44,,,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
45,,,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
46,,,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
47,,,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
48,,,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
49,,,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
50,,,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
51,,,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
52,,,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
53,,,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
54,,,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
55,,9,,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
56,,9,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
57,,9,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
