VariableName,effortSeqID,needLevel,advance,advanceLimit,advanceLimit_kr,advanceLimit_en,advanceLimit_tw,hp,speed,damage,defence,specialDamage,specialDefence,attrEffect
Defaults,1,1,1,20,6,20,6,0,0,0,0,0,0,""""""
ID,cards索引ID,卡牌需要等级,阶段,阶段上限,阶段上限,阶段上限,阶段上限,生命,速度,物攻,物防,特攻,特防,阶段效果属性加成（六种）最终值
1,,,,18,,18,,2000,50,430,170,430,170,0
2,,10,2,18,,18,,2400,60,510,210,510,210,2%
3,,20,3,18,,18,,3000,70,640,260,640,260,4%
4,,30,4,18,,18,,3800,90,810,330,810,330,6%
5,,40,5,18,,18,,4000,100,850,340,850,340,8%
6,,50,6,18,,18,,5200,120,1110,440,1110,440,10%
7,,60,7,18,,18,,6600,160,1410,560,1410,560,12%
8,,70,8,18,,18,,8200,200,1750,700,1750,700,14%
9,,80,9,18,,18,,10000,240,2140,860,2140,860,17%
10,,90,10,18,,18,,12000,290,2560,1030,2560,1030,20%
11,,95,11,18,,18,,14000,340,2980,1200,2980,1200,23%
12,,100,12,18,,18,,16000,390,3400,1370,3400,1370,26%
13,,105,13,18,,18,,18000,440,3820,1540,3820,1540,29%
14,,110,14,18,,18,,20000,490,4240,1710,4240,1710,32%
15,,115,15,18,,18,,22000,540,4660,1880,4660,1880,35%
16,,120,16,18,,18,,24000,590,5080,2050,5080,2050,38%
17,,125,17,18,,18,,26000,640,5500,2220,5500,2220,41%
18,,130,18,18,,18,,28000,690,5920,2390,5920,2390,44%
101,2,,,18,,18,,2000,50,430,170,430,170,0
102,2,10,2,18,,18,,2400,60,510,210,510,210,2%
103,2,20,3,18,,18,,3000,70,640,260,640,260,4%
104,2,30,4,18,,18,,3800,90,810,330,810,330,6%
105,2,40,5,18,,18,,4000,100,850,340,850,340,8%
106,2,50,6,18,,18,,5200,120,1110,440,1110,440,10%
107,2,60,7,18,,18,,6600,160,1410,560,1410,560,12%
108,2,70,8,18,,18,,8200,200,1750,700,1750,700,14%
109,2,80,9,18,,18,,10000,240,2140,860,2140,860,17%
110,2,90,10,18,,18,,12000,290,2560,1030,2560,1030,20%
111,2,95,11,18,,18,,14000,340,2980,1200,2980,1200,23%
112,2,100,12,18,,18,,16000,390,3400,1370,3400,1370,26%
113,2,105,13,18,,18,,18000,440,3820,1540,3820,1540,29%
114,2,110,14,18,,18,,20000,490,4240,1710,4240,1710,32%
115,2,115,15,18,,18,,22000,540,4660,1880,4660,1880,35%
116,2,120,16,18,,18,,24000,590,5080,2050,5080,2050,38%
117,2,125,17,18,,18,,26000,640,5500,2220,5500,2220,41%
118,2,130,18,18,,18,,28000,690,5920,2390,5920,2390,44%
1101,3,,,18,,18,,2000,50,430,170,430,170,0
1102,3,10,2,18,,18,,2400,60,510,210,510,210,2%
1103,3,20,3,18,,18,,3000,70,640,260,640,260,4%
1104,3,30,4,18,,18,,3800,90,810,330,810,330,6%
1105,3,40,5,18,,18,,4000,100,850,340,850,340,8%
1106,3,50,6,18,,18,,5200,120,1110,440,1110,440,10%
1107,3,60,7,18,,18,,6600,160,1410,560,1410,560,12%
1108,3,70,8,18,,18,,8200,200,1750,700,1750,700,14%
1109,3,80,9,18,,18,,10000,240,2140,860,2140,860,17%
1110,3,90,10,18,,18,,12000,290,2560,1030,2560,1030,20%
1111,3,95,11,18,,18,,14000,340,2980,1200,2980,1200,23%
1112,3,100,12,18,,18,,16000,390,3400,1370,3400,1370,26%
1113,3,105,13,18,,18,,18000,440,3820,1540,3820,1540,29%
1114,3,110,14,18,,18,,20000,490,4240,1710,4240,1710,32%
1115,3,115,15,18,,18,,22000,540,4660,1880,4660,1880,35%
1116,3,120,16,18,,18,,24000,590,5080,2050,5080,2050,38%
1117,3,125,17,18,,18,,26000,640,5500,2220,5500,2220,41%
1118,3,130,18,18,,18,,28000,690,5920,2390,5920,2390,44%
11101,4,,,18,,18,,2000,50,430,170,430,170,0
11102,4,10,2,18,,18,,2400,60,510,210,510,210,2%
11103,4,20,3,18,,18,,3000,70,640,260,640,260,4%
11104,4,30,4,18,,18,,3800,90,810,330,810,330,6%
11105,4,40,5,18,,18,,4000,100,850,340,850,340,8%
11106,4,50,6,18,,18,,5200,120,1110,440,1110,440,10%
11107,4,60,7,18,,18,,6600,160,1410,560,1410,560,12%
11108,4,70,8,18,,18,,8200,200,1750,700,1750,700,14%
11109,4,80,9,18,,18,,10000,240,2140,860,2140,860,17%
11110,4,90,10,18,,18,,12000,290,2560,1030,2560,1030,20%
11111,4,95,11,18,,18,,14000,340,2980,1200,2980,1200,23%
11112,4,100,12,18,,18,,16000,390,3400,1370,3400,1370,26%
11113,4,105,13,18,,18,,18000,440,3820,1540,3820,1540,29%
11114,4,110,14,18,,18,,20000,490,4240,1710,4240,1710,32%
11115,4,115,15,18,,18,,22000,540,4660,1880,4660,1880,35%
11116,4,120,16,18,,18,,24000,590,5080,2050,5080,2050,38%
11117,4,125,17,18,,18,,26000,640,5500,2220,5500,2220,41%
11118,4,130,18,18,,18,,28000,690,5920,2390,5920,2390,44%
111101,5,,,18,,18,,2000,50,430,170,430,170,0
111102,5,10,2,18,,18,,2400,60,510,210,510,210,2%
111103,5,20,3,18,,18,,3000,70,640,260,640,260,4%
111104,5,30,4,18,,18,,3800,90,810,330,810,330,6%
111105,5,40,5,18,,18,,4000,100,850,340,850,340,8%
111106,5,50,6,18,,18,,5200,120,1110,440,1110,440,10%
111107,5,60,7,18,,18,,6600,160,1410,560,1410,560,12%
111108,5,70,8,18,,18,,8200,200,1750,700,1750,700,14%
111109,5,80,9,18,,18,,10000,240,2140,860,2140,860,17%
111110,5,90,10,18,,18,,12000,290,2560,1030,2560,1030,20%
111111,5,95,11,18,,18,,14000,340,2980,1200,2980,1200,23%
111112,5,100,12,18,,18,,16000,390,3400,1370,3400,1370,26%
111113,5,105,13,18,,18,,18000,440,3820,1540,3820,1540,29%
111114,5,110,14,18,,18,,20000,490,4240,1710,4240,1710,32%
111115,5,115,15,18,,18,,22000,540,4660,1880,4660,1880,35%
111116,5,120,16,18,,18,,24000,590,5080,2050,5080,2050,38%
111117,5,125,17,18,,18,,26000,640,5500,2220,5500,2220,41%
111118,5,130,18,18,,18,,28000,690,5920,2390,5920,2390,44%
