VariableName,_beizhu,card,costCards,costItems,condition
Defaults,,<>,{},{},<>
ID,备注,本体精灵<cardID;星级>,材料精灵<type;value;星级;数量>1=稀有度 2=markID,消耗材料,超进化条件(1=角色等级 2=卡牌等级)
3330,,<333;12>,,{501=50;gold=60000000;521=200;3102=80;3031=100},<1;70>
5720,,<572;12>,,{501=50;gold=60000000;521=200;3101=80;3031=100},<1;70>
9720,,<972;12>,,{3104=80;gold=60000000;521=200;501=50;3031=100},<1;70>
11981,,<1231;12>,,{3111=80;gold=60000000;521=200;501=50;3031=100},<1;70>
13930,,<1393;12>,,{501=50;gold=60000000;521=200;3103=80;3031=100},<1;70>
24930,,<2493;12>,,{3106=80;gold=60000000;521=200;501=50;3031=100},<1;70>
33030,,<3303;12>,,{3105=80;gold=60000000;521=200;501=50;3031=100},<1;70>
80010,,<8001;12>,,{3107=80;gold=60000000;521=200;501=50;3031=100},<1;70>
80100,,<8010;12>,,{3108=80;gold=60000000;521=200;501=50;3031=100},<1;70>
31710,,<3171;12>,,{3109=80;gold=60000000;521=200;501=50;3031=100},<1;70>
81010,,<8101;12>,,{3110=80;gold=60000000;521=200;501=50;3031=100},<1;70>
