VariableName,_name,type,costItemFrag,needFrags1,needFrags2,costItemCard,needCards1,needCards2,needSpecialCards,cardConvertNum
Defaults,"""""",1,{},<>,<>,{},<>,<>,<>,1
ID,转化材料名称,类型 1=钥石 2=进化石,碎片转化消耗固定材料,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,卡牌转化消耗固定材料,卡牌可转数量<稀有度;属性系> -1为任意,卡牌可转数量<稀有度;属性系> -1为任意,指定特殊卡牌<cardID>,卡牌转换数量
3031,,,{gold=50000},<6;-1;8>,,{gold=500000},<4;-1>,,<9003>,10
3101,,2,{gold=50000},<6;12;8>,<6;16;8>,{gold=800000},<4;12>,<4;16>,<9003>,10
3102,,2,{gold=50000},<6;18;8>,<6;5;8>,{gold=800000},<4;18>,<4;5>,<9003>,10
3103,,2,{gold=50000},<6;2;8>,<6;16;8>,{gold=800000},<4;2>,<4;16>,<9003>,10
3104,,2,{gold=50000},<6;11;8>,<6;16;8>,{gold=800000},<4;11>,<4;16>,<9003>,10
3105,,2,{gold=50000},<6;12;8>,<6;4;8>,{gold=800000},<4;12>,<4;4>,<9003>,10
3106,,2,{gold=50000},<6;11;8>,<6;15;8>,{gold=800000},<4;11>,<4;15>,<9003>,10
3107,,2,{gold=50000},<6;12;8>,<6;5;8>,{gold=800000},<4;12>,<4;5>,<9003>,10
3108,,2,{gold=50000},<6;16;8>,<6;15;8>,{gold=800000},<4;16>,<4;15>,<9003>,10
3109,,2,{gold=50000},<6;7;8>,<6;11;8>,{gold=800000},<4;7>,<4;11>,<9003>,10
3110,,2,{gold=50000},<6;7;8>,<6;16;8>,{gold=800000},<4;7>,<4;16>,<9003>,10
3111,,2,{gold=50000},<6;11;8>,<6;15;8>,{gold=800000},<4;11>,<4;15>,<9003>,10
