VariableName,typeID,star,gold,costCardNum,universalCards,costItems,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,curePowerC,natureRestraintC
Defaults,,1,100000,0,<>,{},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,索引类型ID,星级,升星金币消耗,升星本体卡牌消耗,万能整卡CardID消耗,升星道具消耗,血量成长,速度成长,物攻成长,物防成长,特攻成长,特防成长,血量修正,速度修正,物攻修正,物防修正,特攻修正,特防修正,mp1魔法值修正,initMp1修正,HP回复修正,MP1回复修正,MP2回复修正,防御忽视修正,特防忽视修正,暴击等级修正,暴击伤害修正,暴击抗性修正,格挡等级修正,破格挡等级修正,格挡强度修正,闪避等级修正,命中等级修正,伤害加成修正,伤害减免修正,伤害加深修正,伤害降低修正,吸血,反弹,大招伤害加成,大招伤害抗性,治疗效果,属性克制修正
101,1,,5000,,,,,,,,,,37.526,0.9,8.01,3.21,8.01,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,2,25000,1,<9001>,,9.006,0.18,1.602,0.642,1.602,0.642,300.204,7.2,64.08,25.68,64.08,25.68,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,3,,1,<9001>,,18.012,0.36,3.204,1.284,3.204,1.284,562.883,13.5,120.15,48.15,120.15,48.15,,,,,,,,,,,,,,,,,,,,,,,,,
104,1,4,150000,2,<9001>,,31.5216,0.63,5.607,2.247,5.607,2.247,1050.714,25.2,224.28,89.88,224.28,89.88,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,5,200000,3,<9001>,,47.2824,0.945,8.411,3.371,8.411,3.371,1538.546,36.9,328.41,131.61,328.41,131.61,,,,,,,,,,,,,,,,,,,,,,,,,
106,1,6,250000,3,<9001>,,67.5456,1.35,12.015,4.815,12.015,4.815,2101.428,50.4,448.56,179.76,448.56,179.76,,,,,,,,,,,,,,,,,,,,,,,,,
107,1,7,300000,4,<9001>,,90.0612,1.8,16.02,6.42,16.02,6.42,2664.311,63.9,568.71,227.91,568.71,227.91,,,,,,,,,,,,,,,,,,,,,,,,,
108,1,8,400000,4,<9001>,,112.5768,2.25,20.025,8.025,20.025,8.025,3414.821,81.9,728.91,292.11,728.91,292.11,,,,,,,,,,,,,,,,,,,,,,,,,
109,1,9,500000,5,<9001>,,135.0924,2.7,24.03,9.63,24.03,9.63,4165.331,99.9,889.11,356.31,889.11,356.31,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,10,600000,5,<9001>,,157.6068,3.15,28.035,11.235,28.035,11.235,4915.841,117.9,1049.31,420.51,1049.31,420.51,,,,,,,,,,,,,,,,,,,,,,,,,
111,1,11,800000,6,<9001>,,180.1224,3.6,32.04,12.84,32.04,12.84,5666.351,135.9,1209.51,484.71,1209.51,484.71,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,12,1000000,6,<9001>,,202.638,4.05,36.045,14.445,36.045,14.445,6416.861,153.9,1369.71,548.91,1369.71,548.91,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,13,1200000,8,<9001>,,225.1536,4.5,40.05,16.05,40.05,16.05,7167.371,171.9,1529.91,613.11,1529.91,613.11,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,14,1400000,8,<9001>,,247.6692,4.95,44.055,17.655,44.055,17.655,7917.881,189.9,1690.11,677.31,1690.11,677.31,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,15,1600000,10,<9001>,,270.1848,5.4,48.06,19.26,48.06,19.26,8668.391,207.9,1850.31,741.51,1850.31,741.51,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,16,1800000,10,<9001>,,292.7004,5.85,52.065,20.865,52.065,20.865,9418.901,225.9,2010.51,805.71,2010.51,805.71,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,17,2000000,12,<9001>,,315.216,6.3,56.07,22.47,56.07,22.47,10169.411,243.9,2170.71,869.91,2170.71,869.91,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,18,2200000,12,<9001>,,337.7316,6.75,60.075,24.075,60.075,24.075,10919.921,261.9,2330.91,934.11,2330.91,934.11,,,,,,,,,,,,,,,,,,,,,,,,,
119,1,19,2400000,14,<9001>,,360.2472,7.2,64.08,25.68,64.08,25.68,11670.431,279.9,2491.11,998.31,2491.11,998.31,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,20,2600000,14,<9001>,,382.7628,7.65,68.085,27.285,68.085,27.285,12420.941,297.9,2651.31,1062.51,2651.31,1062.51,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,21,2800000,16,<9001>,,405.2784,8.1,72.09,28.89,72.09,28.89,13171.451,315.9,2811.51,1126.71,2811.51,1126.71,,,,,,,,,,,,,,,,,,,,,,,,,
122,1,22,3000000,16,<9001>,,427.794,8.55,76.095,30.495,76.095,30.495,13921.961,333.9,2971.71,1190.91,2971.71,1190.91,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,23,3200000,18,<9001>,,450.3096,9,80.1,32.1,80.1,32.1,14672.471,351.9,3131.91,1255.11,3131.91,1255.11,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,24,0,,,,472.8252,9.45,84.105,33.705,84.105,33.705,15422.981,369.9,3292.11,1319.31,3292.11,1319.31,,,,,,,,,,,,,,,,,,,,,,,,,
201,2,,8000,,,,,,,,,,37.526,0.9,8.01,3.21,8.01,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
202,2,2,40000,1,<9001>,,9.006,0.18,1.602,0.642,1.602,0.642,300.204,7.2,64.08,25.68,64.08,25.68,,,,,,,,,,,,,,,,,,,,,,,,,
203,2,3,160000,1,<9001>,,18.012,0.36,3.204,1.284,3.204,1.284,562.883,13.5,120.15,48.15,120.15,48.15,,,,,,,,,,,,,,,,,,,,,,,,,
204,2,4,240000,2,<9001>,,31.5216,0.63,5.607,2.247,5.607,2.247,1050.714,25.2,224.28,89.88,224.28,89.88,,,,,,,,,,,,,,,,,,,,,,,,,
205,2,5,320000,2,<9001>,,47.2824,0.945,8.411,3.371,8.411,3.371,1538.546,36.9,328.41,131.61,328.41,131.61,,,,,,,,,,,,,,,,,,,,,,,,,
206,2,6,400000,3,<9001>,,67.5456,1.35,12.015,4.815,12.015,4.815,2101.428,50.4,448.56,179.76,448.56,179.76,,,,,,,,,,,,,,,,,,,,,,,,,
207,2,7,480000,3,<9001>,,90.0612,1.8,16.02,6.42,16.02,6.42,2664.311,63.9,568.71,227.91,568.71,227.91,,,,,,,,,,,,,,,,,,,,,,,,,
208,2,8,640000,4,<9001>,,112.5768,2.25,20.025,8.025,20.025,8.025,3414.821,81.9,728.91,292.11,728.91,292.11,,,,,,,,,,,,,,,,,,,,,,,,,
209,2,9,800000,4,<9001>,,135.0924,2.7,24.03,9.63,24.03,9.63,4165.331,99.9,889.11,356.31,889.11,356.31,,,,,,,,,,,,,,,,,,,,,,,,,
210,2,10,960000,4,<9001>,,157.6068,3.15,28.035,11.235,28.035,11.235,4915.841,117.9,1049.31,420.51,1049.31,420.51,,,,,,,,,,,,,,,,,,,,,,,,,
211,2,11,1280000,5,<9001>,,180.1224,3.6,32.04,12.84,32.04,12.84,5666.351,135.9,1209.51,484.71,1209.51,484.71,,,,,,,,,,,,,,,,,,,,,,,,,
212,2,12,1600000,5,<9001>,,202.638,4.05,36.045,14.445,36.045,14.445,6416.861,153.9,1369.71,548.91,1369.71,548.91,,,,,,,,,,,,,,,,,,,,,,,,,
213,2,13,1920000,6,<9001>,,225.1536,4.5,40.05,16.05,40.05,16.05,7167.371,171.9,1529.91,613.11,1529.91,613.11,,,,,,,,,,,,,,,,,,,,,,,,,
214,2,14,2240000,6,<9001>,,247.6692,4.95,44.055,17.655,44.055,17.655,7917.881,189.9,1690.11,677.31,1690.11,677.31,,,,,,,,,,,,,,,,,,,,,,,,,
215,2,15,2560000,7,<9001>,,270.1848,5.4,48.06,19.26,48.06,19.26,8668.391,207.9,1850.31,741.51,1850.31,741.51,,,,,,,,,,,,,,,,,,,,,,,,,
216,2,16,2880000,7,<9001>,,292.7004,5.85,52.065,20.865,52.065,20.865,9418.901,225.9,2010.51,805.71,2010.51,805.71,,,,,,,,,,,,,,,,,,,,,,,,,
217,2,17,3200000,8,<9001>,,315.216,6.3,56.07,22.47,56.07,22.47,10169.411,243.9,2170.71,869.91,2170.71,869.91,,,,,,,,,,,,,,,,,,,,,,,,,
