VariableName,type,getStar,baseFragNum,hasStar1,hasStar2,hasStar3,hasStar4,hasStar5,hasStar6,hasStar7
Defaults,,,,,,,,,,
ID,类型,获得星级,星级基础碎片,已有1星,已有2星,已有3星,已有4星,已有5星,已有6星,已有7星
1,1,1,20,20,20,20,20,20,20,20
2,1,2,20,20,20,20,20,20,20,20
3,1,3,20,20,20,20,20,20,20,20
4,1,4,20,20,20,20,20,20,20,20
5,1,5,20,20,20,20,20,20,20,20
6,1,6,20,20,20,20,20,20,20,20
7,1,7,20,20,20,20,20,20,20,20
8,1,8,20,20,20,20,20,20,20,20
9,1,9,20,20,20,20,20,20,20,20
10,1,10,20,20,20,20,20,20,20,20
11,1,11,20,20,20,20,20,20,20,20
12,1,12,20,20,20,20,20,20,20,20
13,1,13,20,20,20,20,20,20,20,20
14,1,14,20,20,20,20,20,20,20,20
15,1,15,20,20,20,20,20,20,20,20
16,1,16,20,20,20,20,20,20,20,20
17,1,17,20,20,20,20,20,20,20,20
18,1,18,20,20,20,20,20,20,20,20
19,1,19,20,20,20,20,20,20,20,20
20,1,20,20,20,20,20,20,20,20,20
21,1,21,20,20,20,20,20,20,20,20
22,1,22,20,20,20,20,20,20,20,20
23,1,23,20,20,20,20,20,20,20,20
24,1,24,20,20,20,20,20,20,20,20
101,2,1,30,30,30,30,30,30,30,30
102,2,2,30,30,30,30,30,30,30,30
103,2,3,30,30,30,30,30,30,30,30
104,2,4,30,30,30,30,30,30,30,30
105,2,5,30,30,30,30,30,30,30,30
106,2,6,30,30,30,30,30,30,30,30
107,2,7,30,30,30,30,30,30,30,30
108,2,8,30,30,30,30,30,30,30,30
109,2,9,30,30,30,30,30,30,30,30
110,2,10,30,30,30,30,30,30,30,30
111,2,11,30,30,30,30,30,30,30,30
112,2,12,30,30,30,30,30,30,30,30
113,2,13,30,30,30,30,30,30,30,30
114,2,14,30,30,30,30,30,30,30,30
115,2,15,30,30,30,30,30,30,30,30
116,2,16,30,30,30,30,30,30,30,30
117,2,17,30,30,30,30,30,30,30,30
118,2,18,30,30,30,30,30,30,30,30
119,2,19,30,30,30,30,30,30,30,30
120,2,20,30,30,30,30,30,30,30,30
121,2,21,30,30,30,30,30,30,30,30
122,2,22,30,30,30,30,30,30,30,30
123,2,23,30,30,30,30,30,30,30,30
124,2,24,30,30,30,30,30,30,30,30
201,3,1,50,50,50,50,50,50,50,50
202,3,2,50,50,50,50,50,50,50,50
203,3,3,50,50,50,50,50,50,50,50
204,3,4,50,50,50,50,50,50,50,50
205,3,5,50,50,50,50,50,50,50,50
206,3,6,50,50,50,50,50,50,50,50
207,3,7,50,50,50,50,50,50,50,50
208,3,8,50,50,50,50,50,50,50,50
209,3,9,50,50,50,50,50,50,50,50
210,3,10,50,50,50,50,50,50,50,50
211,3,11,50,50,50,50,50,50,50,50
212,3,12,50,50,50,50,50,50,50,50
213,3,13,50,50,50,50,50,50,50,50
214,3,14,50,50,50,50,50,50,50,50
215,3,15,50,50,50,50,50,50,50,50
216,3,16,50,50,50,50,50,50,50,50
217,3,17,50,50,50,50,50,50,50,50
218,3,18,50,50,50,50,50,50,50,50
219,3,19,50,50,50,50,50,50,50,50
220,3,20,50,50,50,50,50,50,50,50
221,3,21,50,50,50,50,50,50,50,50
222,3,22,50,50,50,50,50,50,50,50
223,3,23,50,50,50,50,50,50,50,50
224,3,24,50,50,50,50,50,50,50,50
301,4,1,80,80,80,80,80,80,80,80
302,4,2,80,80,80,80,80,80,80,80
303,4,3,80,80,80,80,80,80,80,80
304,4,4,80,80,80,80,80,80,80,80
305,4,5,80,80,80,80,80,80,80,80
306,4,6,80,80,80,80,80,80,80,80
307,4,7,80,80,80,80,80,80,80,80
308,4,8,80,80,80,80,80,80,80,80
309,4,9,80,80,80,80,80,80,80,80
310,4,10,80,80,80,80,80,80,80,80
311,4,11,80,80,80,80,80,80,80,80
312,4,12,80,80,80,80,80,80,80,80
313,4,13,80,80,80,80,80,80,80,80
314,4,14,80,80,80,80,80,80,80,80
315,4,15,80,80,80,80,80,80,80,80
316,4,16,80,80,80,80,80,80,80,80
317,4,17,80,80,80,80,80,80,80,80
318,4,18,80,80,80,80,80,80,80,80
319,4,19,80,80,80,80,80,80,80,80
320,4,20,80,80,80,80,80,80,80,80
321,4,21,80,80,80,80,80,80,80,80
322,4,22,80,80,80,80,80,80,80,80
323,4,23,80,80,80,80,80,80,80,80
324,4,24,80,80,80,80,80,80,80,80
401,5,1,100,100,100,100,100,100,100,100
402,5,2,100,100,100,100,100,100,100,100
403,5,3,100,100,100,100,100,100,100,100
404,5,4,100,100,100,100,100,100,100,100
405,5,5,100,100,100,100,100,100,100,100
406,5,6,100,100,100,100,100,100,100,100
407,5,7,100,100,100,100,100,100,100,100
408,5,8,100,100,100,100,100,100,100,100
409,5,9,100,100,100,100,100,100,100,100
410,5,10,100,100,100,100,100,100,100,100
411,5,11,100,100,100,100,100,100,100,100
412,5,12,100,100,100,100,100,100,100,100
413,5,13,100,100,100,100,100,100,100,100
414,5,14,100,100,100,100,100,100,100,100
415,5,15,100,100,100,100,100,100,100,100
416,5,16,100,100,100,100,100,100,100,100
417,5,17,100,100,100,100,100,100,100,100
418,5,18,100,100,100,100,100,100,100,100
419,5,19,100,100,100,100,100,100,100,100
420,5,20,100,100,100,100,100,100,100,100
421,5,21,100,100,100,100,100,100,100,100
422,5,22,100,100,100,100,100,100,100,100
423,5,23,100,100,100,100,100,100,100,100
424,5,24,100,100,100,100,100,100,100,100
