VariableName,typeID,star,attrTarget,attrNatureType,attrNum,effectDesc_cn,effectDesc_tw,effectDesc,effectDesc_my,effectDesc_in,effectDesc_th,effectDesc_en,effectDesc_ph
Defaults,,1,0,0,{},"""""","""""","""""","""""","""""","""""","""""",""""""
ID,索引类型ID,星级,属性加成目标 0-本体 1-指定属性精灵,属性加成类型,属性加成值,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）,效果描述（attrNatureType字段描述手动配置加，属性部分描述通过%s索引）
2,1,2,,,{7=80;8=80},,,,,,,,
3,1,3,,,{25=200},,,,,,,,
4,1,4,,,{7=5%;8=5%},,,,,,,,
5,1,5,,,{1=5%},,,,,,,,
6,1,6,,,{10=5%;9=5%},,,,,,,,
7,1,7,,,{28=300},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
8,1,8,,,{1=10%},,,,,,,,
9,1,9,,,{7=10%;8=10%},,,,,,,,
10,1,10,,,{28=600},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
11,1,11,,,{22=1000},,,,,,,,
12,1,12,,,{23=1000},,,,,,,,
13,1,13,,,{10=20%;9=20%},,,,,,,,
14,1,14,,,{28=10%;12=15%},,,,,,,,
15,1,15,,,{14=1500;25=1000},,,,,,,,
16,1,16,,,{17=1500;19=1000},,,,,,,,
17,1,17,,,{14=1000;21=1500},,,,,,,,
18,1,18,,,{1=20%;30=2000},,,,,,,,
19,1,19,,,{7=20%;8=20%},,,,,,,,
20,1,20,,,{10=30%;9=30%},,,,,,,,
21,1,21,,,{28=1500;12=2000},,,,,,,,
22,1,22,,,{14=1000;25=2000},,,,,,,,
23,1,23,,,{17=2000;19=2000},,,,,,,,
24,1,24,,,{15=2000;21=3000},,,,,,,,
1002,11,2,,,{7=80;8=80},,,,,,,,
1003,11,3,,,{24=200},,,,,,,,
1004,11,4,,,{7=5%;8=5%},,,,,,,,
1005,11,5,,,{1=5%},,,,,,,,
1006,11,6,,,{7=5%;8=5%},,,,,,,,
1007,11,7,,,{14=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
1008,11,8,,,{1=10%},,,,,,,,
1009,11,9,,,{7=10%;8=10%},,,,,,,,
1010,11,10,,,{14=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
1011,11,11,,,{22=1000},,,,,,,,
1012,11,12,,,{23=1000},,,,,,,,
1013,11,13,,,{10=20%;9=20%},,,,,,,,
1014,11,14,,,{28=10%;12=15%},,,,,,,,
1015,11,15,,,{14=1500;25=1000},,,,,,,,
1016,11,16,,,{17=1500;19=1000},,,,,,,,
1017,11,17,,,{14=1000;21=1500},,,,,,,,
1018,11,18,,,{1=20%;30=2000},,,,,,,,
1019,11,19,,,{7=20%;8=20%},,,,,,,,
1020,11,20,,,{10=30%;9=30%},,,,,,,,
1021,11,21,,,{28=1500;12=2000},,,,,,,,
1022,11,22,,,{14=1000;25=2000},,,,,,,,
1023,11,23,,,{17=2000;19=2000},,,,,,,,
1024,11,24,,,{15=2000;21=3000},,,,,,,,
2002,21,2,,,{10=80;9=80},,,,,,,,
2003,21,3,,,{25=200},,,,,,,,
2004,21,4,,,{10=5%;9=5%},,,,,,,,
2005,21,5,,,{1=5%},,,,,,,,
2006,21,6,,,{10=5%;9=5%},,,,,,,,
2007,21,7,,,{17=300},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
2008,21,8,,,{1=10%},,,,,,,,
2009,21,9,,,{10=10%;9=10%},,,,,,,,
2010,21,10,,,{17=600},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
2011,21,11,,,{22=1000},,,,,,,,
2012,21,12,,,{23=1000},,,,,,,,
2013,21,13,,,{10=20%;9=20%},,,,,,,,
2014,21,14,,,{28=10%;12=15%},,,,,,,,
2015,21,15,,,{14=1500;25=1000},,,,,,,,
2016,21,16,,,{17=1500;19=1000},,,,,,,,
2017,21,17,,,{14=1000;21=1500},,,,,,,,
2018,21,18,,,{1=20%;30=2000},,,,,,,,
2019,21,19,,,{7=20%;8=20%},,,,,,,,
2020,21,20,,,{10=30%;9=30%},,,,,,,,
2021,21,21,,,{28=1500;12=2000},,,,,,,,
2022,21,22,,,{14=1000;25=2000},,,,,,,,
2023,21,23,,,{17=2000;19=2000},,,,,,,,
2024,21,24,,,{15=2000;21=3000},,,,,,,,
3002,31,2,,,{7=80;8=80},,,,,,,,
3003,31,3,,,{24=200},,,,,,,,
3004,31,4,,,{7=5%;8=5%},,,,,,,,
3005,31,5,,,{1=5%},,,,,,,,
3006,31,6,,,{10=5%;9=5%},,,,,,,,
3007,31,7,,,{90=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
3008,31,8,,,{1=10%},,,,,,,,
3009,31,9,,,{7=10%;8=10%},,,,,,,,
3010,31,10,,,{90=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
3011,31,11,,,{22=1000},,,,,,,,
3012,31,12,,,{23=1000},,,,,,,,
3013,31,13,,,{10=20%;9=20%},,,,,,,,
3014,31,14,,,{28=10%;12=15%},,,,,,,,
3015,31,15,,,{14=1500;25=1000},,,,,,,,
3016,31,16,,,{17=1500;19=1000},,,,,,,,
3017,31,17,,,{14=1000;21=1500},,,,,,,,
3018,31,18,,,{1=20%;30=2000},,,,,,,,
3019,31,19,,,{7=20%;8=20%},,,,,,,,
3020,31,20,,,{10=30%;9=30%},,,,,,,,
3021,31,21,,,{28=1500;12=2000},,,,,,,,
3022,31,22,,,{14=1000;25=2000},,,,,,,,
3023,31,23,,,{17=2000;19=2000},,,,,,,,
3024,31,24,,,{15=2000;21=3000},,,,,,,,
4002,41,2,,,{7=80;8=80},,,,,,,,
4003,41,3,,,{24=200},,,,,,,,
4004,41,4,,,{7=5%;8=5%},,,,,,,,
4005,41,5,,,{1=5%},,,,,,,,
4006,41,6,,,{7=5%;8=5%},,,,,,,,
4007,41,7,,,{24=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
4008,41,8,,,{1=10%},,,,,,,,
4009,41,9,,,{7=10%;8=10%},,,,,,,,
4010,41,10,,,{24=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
4011,41,11,,,{22=1000},,,,,,,,
4012,41,12,,,{23=1000},,,,,,,,
4013,41,13,,,{10=20%;9=20%},,,,,,,,
4014,41,14,,,{28=10%;12=15%},,,,,,,,
4015,41,15,,,{14=1500;25=1000},,,,,,,,
4016,41,16,,,{17=1500;19=1000},,,,,,,,
4017,41,17,,,{14=1000;21=1500},,,,,,,,
4018,41,18,,,{1=20%;30=2000},,,,,,,,
4019,41,19,,,{7=20%;8=20%},,,,,,,,
4020,41,20,,,{10=30%;9=30%},,,,,,,,
4021,41,21,,,{28=1500;12=2000},,,,,,,,
4022,41,22,,,{14=1000;25=2000},,,,,,,,
4023,41,23,,,{17=2000;19=2000},,,,,,,,
4024,41,24,,,{15=2000;21=3000},,,,,,,,
5002,51,2,,,{7=80;8=80},,,,,,,,
5003,51,3,,,{24=200},,,,,,,,
5004,51,4,,,{7=5%;8=5%},,,,,,,,
5005,51,5,,,{1=5%},,,,,,,,
5006,51,6,,,{7=5%;8=5%},,,,,,,,
5007,51,7,,,{24=300},,,\nMở khóa kỹ năng bị động tăng sát thương PVP,\nBuka kunci kemahiran pasif untuk meningkatkan kerosakan PVP,\nBuka skill pasif untuk meningkatkan damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อเพิ่มความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to increase PVP damage,\nI-unlock ang passive skill na nagpapataas ng PVP damage
5008,51,8,,,{1=10%},,,,,,,,
5009,51,9,,,{7=10%;8=10%},,,,,,,,
5010,51,10,,,{24=600},,,\nMở khóa kỹ năng bị động giảm sát thương PVP,\nBuka kunci kemahiran pasif untuk mengurangkan kerosakan PVP,\nBuka skill pasif untuk mengurangi damage PVP,\nปลดล็อกสกิลพาสซีฟเพื่อลดความเสียหายในการต่อสู้ PVP,\nUnlock passive skill to reduce PVP damage,\nI-unlock ang passive skill na nagpapababa ng PVP damage
5011,51,11,,,{22=1000},,,,,,,,
5012,51,12,,,{23=1000},,,,,,,,
5013,51,13,,,{10=20%;9=20%},,,,,,,,
5014,51,14,,,{28=10%;12=15%},,,,,,,,
5015,51,15,,,{14=1500;25=1000},,,,,,,,
5016,51,16,,,{17=1500;19=1000},,,,,,,,
5017,51,17,,,{14=1000;21=1500},,,,,,,,
