VariableName,_beizhu,starSkillList,cardExchangeRate,fragExchangeRate,universalCards
Defaults,,<>,0,0,<>
ID,资质,满星极限技能ID,整卡可兑换极限点,1极限点需要多少碎片,万能整卡CardID消耗
13,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
44,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
53,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
82,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
163,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
242,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
263,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
273,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
333,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
393,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
402,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
493,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
503,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
552,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
572,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
593,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
603,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
611,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
631,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
641,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
692,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
701,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
712,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
721,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
731,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
741,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
771,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
793,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
863,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
883,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
972,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1032,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1071,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1082,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1173,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1221,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1231,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1241,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1253,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1293,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1303,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1313,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1381,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1393,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1423,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1503,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1612,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1772,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1813,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1841,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1893,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1903,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1911,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1931,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
1941,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1951,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1961,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
1991,,<74001;74002;74003;74004;74005;74006>,120,1,
2013,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2023,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2033,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2073,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2233,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2242,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2351,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2361,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2381,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2391,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2401,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2431,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2461,,<74001;74002;74003;74004;74005;74006>,120,1,
2493,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
2593,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2612,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2633,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
2683,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
2723,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
2843,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
2963,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3003,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3021,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3143,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3152,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3161,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3171,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3181,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3211,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3221,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3283,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3293,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3303,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3342,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3353,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3432,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
3472,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3511,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3543,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3592,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3601,,<74001;74002;74003;74004;74005;74006>,120,1,
3663,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>
3673,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
3683,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>
3772,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>
4024,,<74001;74002;74003;74004;74005;74006>,120,1,
4121,,<74001;74002;74003;74004;74005;74006>,120,1,
4161,,<74001;74002;74003;74004;74005;74006>,120,1,
7001,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
7011,,<74001;74002;74003;74004;74005;74006>,120,1,
7051,,<74001;74002;74003;74004;74005;74006>,120,1,
8001,,<73001;73002;73003;73004;73005;73006>,50,1,
8002,,<74001;74002;74003;74004;74005;74006>,120,1,
8003,,<74001;74002;74003;74004;74005;74006>,120,1,
8004,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8005,,<74001;74002;74003;74004;74005;74006>,120,1,
8006,,<72001;72002;72003;72004;72005;72006>,120,1,
8007,,<74001;74002;74003;74004;74005;74006>,120,1,
8008,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8009,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8010,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8012,,<74001;74002;74003;74004;74005;74006>,120,1,
8013,,<74001;74002;74003;74004;74005;74006>,120,1,
8101,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8103,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8104,,<74001;74002;74003;74004;74005;74006>,120,1,
8105,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8106,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>
8107,,<74001;74002;74003;74004;74005;74006>,120,1,
8200,,<74001;74002;74003;74004;74005;74006>,120,1,
8201,,<74001;74002;74003;74004;74005;74006>,120,1,
8202,,<74001;74002;74003;74004;74005;74006>,120,1,
8203,,<74001;74002;74003;74004;74005;74006>,120,1,
8901,,<74001;74002;74003;74004;74005;74006>,120,1,
8902,,<74001;74002;74003;74004;74005;74006>,120,1,
8903,,<74001;74002;74003;74004;74005;74006>,120,1,
9001,,,,,
9002,,,,,
9003,,,,,
