VariableName,name_vn,name_th,name,name_en,name_ph,name_in,name_ma,name_tw,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction_cn,introduction_th,introduction,introduction_vn,introduction_in,introduction_en,introduction_ph,introduction_ma,location_th,location_cn,location,location_vn,location_in,location_en,location_ph,location_ma,megaIndexID
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""",<cn;in;tw;en;vn;th;kr;ma;ph>,<cn;in;tw;en;vn;th;kr;ma;ph>,,1,<7;8>,1,0,1,0,TRUE,3,0,0,0,5000,,1,<2;15>,1,<39;65;52;43;60;50;309>,1,1,1,1,<601;602;603>,21,<1;1;8;16;22;28;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145>,1,1,139,{},60003,<60001;60002;60003;61101;61102>,9001,100,<11032;11132;11232;11332;>,21002,1,1,{drawcard=false;gain=false},1,1,1,1,1,<>,0,10,1,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,Ninja rất mạnh,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,生活在宝可梦世界的不可思议的生物,ไม่ทราบ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0
卡牌ID,name_vn,name_th,名字,name_en,name_ph,name_in,name_ma,名字,语言区域,抽卡语言区域,卡牌标识ID,卡牌类型（1-常规；2-素材）,进攻类型：7物攻，8特攻,进化状态,分支,分支形态类型(1多分支2多形态),超进化索引,能否进化到当前阶段,分支切换消耗类型,z觉醒未开启标记,Z觉醒ID,Z觉醒碎片ID,雄性出生概率(10000为分母基数),性别(0-无性别；1-雄性；2-雌性),性格随机,推荐性格,个体值随机,种族值,战斗力计算系数id,升星类型ID,进阶类型ID,好感度标示,好感度消耗道具,进阶上限,进阶等级要求,卡牌升级经验序列ID,卡牌对应unitID,卡牌等级上限,皮肤技能表(skinID=<skillID;>),大招技能ID,技能ID列表,满星技能索引,最大极限属性等级,初始饰品列表,卡牌碎片ID,卡牌碎片数量类型,初始星级,分别表示在抽卡，恭喜获得时额外特效,升星效果索引,特性索引,努力值索引,宝石槽索引,宝石品质索引,羁绊,家园技能,精力,精力修正,简介,简介,简介,简介,简介,简介,简介,简介,location_th,定位,location_en,location_vn,location_in,location_en,location_ph,location_ma,megaIndexID
13,Mario,Mario,Mario,Mario,Mario,Mario,Mario,,,,13,,<8>,,,,,,,,,50011,,1,,<6;7;18;19>,,<78;100;84;78;109;85;534>,,2,11,2,<621;622;623;602;603>,,,2,13,,,133,<131;132;133;136;61101;61102>,13,,<11022;11122;11222;11322>,20013,2,2,,11,16,2,2,2,<111;112;113>,,,,,การเดินทางข้ามเวลาล้มเหลว กลายเป็นซอมบี้ พละกำลังลดลง ช่างประปาน่ากลัวที่กระโดดก็ทำลายได้  ,"Failed time travel, turned into a zombie, strength diminished. A terrifying plumber who can wreak havoc just by jumping.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Một thợ sửa ống nước đáng sợ, chỉ cần nhảy nhót cũng có thể đại sát tứ phương.","Perjalanan lintas waktu gagal, berubah menjadi zombie, kekuatan menurun. Tukang ledeng yang menakutkan, cukup melompat untuk menghancurkan segalanya.  ","Failed time travel, turned into a zombie, strength diminished. A terrifying plumber who can wreak havoc just by jumping.  ","Nabigo sa time travel, naging zombie, humina ang lakas. Isang nakakatakot na tubero, pwedeng pumatay sa pamamagitan ng pagtalon lang.  ","Kegagalan merentas masa, bertukar menjadi zombi, kekuatan merosot. Seorang tukang paip yang menakutkan, hanya perlu melompat untuk membunuh.  ",เผาด้วยไฟ,,Burn with fire,Thiêu đốt bằng lửa,Bakar dengan api,Burn with fire,Sunugin gamit ang apoy,Bakar dengan api,
44,Gru,Gru,Gru,Gru,Gru,Gru,Gru,,,,44,,<7>,,,,,,,,,50041,,1,,<24;25;11;12>,,<65;145;150;40;15;80;495>,,,11,,<621;622;623;602;603>,,,,44,,,443,<441;442;443;446;61101;61102>,44,,<11021;11121;11212;11321>,20044,,2,,41,11,,,,<411;412;413>,,,,,การเดินทางข้ามเวลาล้มเหลว กลายเป็นซอมบี้ พละกำลังลดลง เคยถูกยกย่องโดยเหล่าร้ายว่าเป็นตำนานที่ขโมยดวงจันทร์คนเดียว  ,"Failed time travel, turned into a zombie, strength diminished. Once revered by all villains as a legend for stealing the moon alone.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Từng được cả giới ác nhân tôn sùng như một cột mốc vì một mình đánh cắp mặt trăng.","Perjalanan lintas waktu gagal, berubah menjadi zombie, kekuatan menurun. Pernah dihormati oleh semua penjahat karena mencuri bulan sendirian.  ","Failed time travel, turned into a zombie, strength diminished. Once revered by all villains as a legend for stealing the moon alone.  ","Nabigo sa time travel, naging zombie, humina ang lakas. Dating ginagalang ng lahat ng kontrabida dahil sa pagnanakaw ng buwan mag-isa.  ","Kegagalan merentas masa, bertukar menjadi zombi, kekuatan merosot. Pernah dihormati oleh penjahat kerana mencuri bulan seorang diri.  ",พิษเพิ่มความเสียหาย & ลดการฟื้นฟูสำหรับเป้าหมายเดียว,,Poison increases damage & reduces healing for single target,Trúng độc tăng sát thương & giảm hồi máu đơn mục tiêu,Target yang keracunan meningkatkan kerusakan & mengurangi penyembuhan untuk target tunggal,Poison increases damage & reduces healing for single target,Ang mga target na lason ay nagdaragdag ng pinsala & binabawasan ang pagpapagaling para sa isang target,Sasaran yang diracun meningkatkan kerosakan & mengurangkan penyembuhan untuk sasaran tunggal,
53,Batman,Batman,Batman,Batman,Batman,Batman,Batman,,,,53,,<7>,,,,,,,,,50051,,1,,<8;9;13;12>,,<83;101;80;75;70;70;479>,,,11,,<621;622;623;602;603>,,,,53,,,533,<531;532;533;536;61101;61102>,53,,<11021;11121;11212;11321>,20053,,2,,51,19,,,,<511;512;513>,,,,,การเดินทางข้ามเวลาล้มเหลว กลายเป็นซอมบี้ พละกำลังลดลง ฮีโร่คนแรกในมังงะที่ไม่มีพลังวิเศษ แต่เขามีเงิน  ,"Failed time travel, turned into a zombie, strength diminished. The first superhero in manga history without superpowers — but he has money.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Siêu anh hùng đầu tiên trong lịch sử manga không sở hữu siêu năng lực, nhưng anh ấy có tiền.","Perjalanan lintas waktu gagal, berubah menjadi zombie, kekuatan menurun. Superhero pertama dalam sejarah manga yang tidak memiliki kekuatan super — tapi dia punya uang.  ","Failed time travel, turned into a zombie, strength diminished. The first superhero in manga history without superpowers — but he has money.  ","Nabigo sa time travel, naging zombie, humina ang lakas. Ang kauna-unahang superhero sa kasaysayan ng manga na walang superpower — pero may pera siya.  ","Kegagalan merentas masa, bertukar menjadi zombi, kekuatan merosot. Wira pertama dalam sejarah manga yang tiada kuasa ajaib — tetapi dia ada duit.  ","เพิ่มความเร็ว, ความเสียหายตามความเร็ว",,"Increase speed, damage based on speed","Tăng tốc độ, sát thương theo tốc độ","Meningkatkan kecepatan, kerusakan berdasarkan kecepatan","Increase speed, damage based on speed","Dagdagan ang bilis, pinsala batay sa bilis","Meningkatkan kelajuan, kerosakan berdasarkan kelajuan",
82,Zombie,Zombie,Zombie,Zombie,Zombie,Zombie,Zombie,,,,82,,<7>,,,,,,,,,50081,,1,,<7;8;9;12>,,<60;80;95;69;65;79;448>,,,11,,<621;622;623;602;603>,,,,82,,,823,<821;822;823;826;61101;61102>,82,,<11021;11121;11212;11321>,20082,,2,,81,11,,,,<811;812;813>,,,,,การเดินทางข้ามเวลาล้มเหลว กลายเป็นซอมบี้ พละกำลังลดลง สัตว์ประหลาดที่เกิดจากศพที่ดูดซับพลังหยินมากเกินไป การกระโดดน่ารักมาก  ,"Failed time travel, turned into a zombie, strength diminished. A monster created when a corpse absorbs too much yin energy. The jumping is quite cute.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Một quái vật được tạo ra khi xác chết hấp thụ quá nhiều âm khí. Nhảy nhót thật dễ thương.","Perjalanan lintas waktu gagal, berubah menjadi zombie, kekuatan menurun. Monster yang tercipta saat mayat menyerap terlalu banyak energi yin. Lompatannya imut.  ","Failed time travel, turned into a zombie, strength diminished. A monster created when a corpse absorbs too much yin energy. The jumping is quite cute.  ","Nabigo sa time travel, naging zombie, humina ang lakas. Isang halimaw na nilikha mula sa bangkay na sumipsip ng labis na yin energy. Nakakatuwa ang mga talon niya.  ","Kegagalan merentas masa, bertukar menjadi zombi, kekuatan merosot. Raksasa yang tercipta apabila mayat menyerap terlalu banyak tenaga yin. Lompatannya comel.  ","การโจมตีปกติ, กดดันผู้ที่อ่อนแอ",,"Normal attacks, suppress the weak","Tấn công thường, áp chế kẻ yếu","Serangan normal, menekan yang lemah","Normal attacks, suppress the weak","Karaniwang mga atake, pigilan ang mahihina","Serangan biasa, menekan yang lemah",
163,Kagura,Kagura,Kagura,Kagura,Kagura,Kagura,Kagura,,,,163,,<7>,,,,,,,,,50161,,2,,<8;9;13;12>,,<85;130;90;80;70;80;535>,,3,11,3,<621;622;623;602;603>,,,3,163,,,1633,<1631;1632;1633;1636;61101;61102>,163,,<11023;11123;11223;11323>,20163,3,3,{drawcard=huang_effect_loop},161,4,3,3,3,<1611;1612;1613;1614>,,,,,ภายนอกดูเหมือนเด็กสาว แต่แท้จริงแล้วคือสมาชิกของเผ่านักรบที่แข็งแกร่งที่สุดในจักรวาล — เผ่ากระต่ายจันทร์ ระวัง เธอสามารถต่อยจนหัวคุณแหลกได้ในหมัดเดียว  ,"Looks like a young girl, but is actually a member of the universe’s strongest warrior race — the Moon Rabbit Clan. Careful, she can crush your head with one punch.  ","Nhìn bề ngoài như một thiếu nữ, thực chất là thành viên của chủng tộc chiến đấu mạnh nhất vũ trụ - tộc Dạ Thố. Cẩn thận, cô ấy có thể đấm nát đầu bạn chỉ với một cú đấm.","Terlihat seperti gadis muda, tapi sebenarnya anggota ras pejuang terkuat di alam semesta — Klan Kelinci Bulan. Hati-hati, dia bisa menghancurkan kepalamu dengan satu pukulan.  ","Looks like a young girl, but is actually a member of the universe’s strongest warrior race — the Moon Rabbit Clan. Careful, she can crush your head with one punch.  ","Mukhang dalagitang babae, pero miyembro ng pinakamalakas na lahi ng mandirigma sa uniberso — ang Moon Rabbit Clan. Mag-ingat, kaya niyang durugin ang ulo mo sa isang suntok.  ","Nampak seperti gadis muda, tetapi sebenarnya anggota kaum pejuang terkuat di alam semesta — Klan Arnab Bulan. Hati-hati, dia boleh hancurkan kepala anda dengan satu tumbukan.  ",สนับสนุนการรักษาพิษ,,Support to maintain poison,Hỗ trợ duy trì độc,Dukungan untuk mempertahankan racun,Support to maintain poison,Suporta upang mapanatili ang lason,Sokongan untuk mengekalkan racun,
242,Sawada Tsunayoshi,Sawada Tsunayoshi,Sawada Tsunayoshi,Sawada Tsunayoshi,Sawada Tsunayoshi,Sawada Tsunayoshi,Sawada Tsunayoshi,,,,242,,<7>,,,,,,,,,50241,,1,,<10;11;13;9>,,<90;95;110;80;100;80;555>,,3,11,3,<618;619;620;602;603>,,,3,242,,,2423,<2421;2422;2423;2426;61101;61102>,242,,<11033;11133;11233;11333>,20242,3,3,{drawcard=huang_effect_loop},241,,3,3,3,<2411;2412;2413;2414>,,,,,เริ่มต้นจากคนไร้ความสามารถ แต่เพราะเขาเกิดมาจากตระกูลใหญ่ ผู้คนเรียกเขาว่า ผู้ชนะในชีวิต  ,"Started out useless and incompetent, but he's from a prestigious lineage. People call him life’s true winner.  ","Ban đầu là một kẻ vô dụng không làm được gì, nhưng ai bảo cậu ấy là con nhà nòi. Người ta gọi đó là kẻ thắng cuộc của đời người.","Awalnya tidak berguna dan lemah, tapi dia anak orang berpengaruh. Orang menyebutnya pemenang sejati dalam hidup.  ","Started out useless and incompetent, but he's from a prestigious lineage. People call him life’s true winner.  ","Nagsimulang walang silbi, pero anak mayaman pala. Tinatawag siyang tunay na panalo sa buhay.  ","Pada mulanya tak berguna, tetapi dia anak orang ternama. Orang panggil dia pemenang sejati dalam hidup.  ",ใช้พลังชีวิตเพื่อเพิ่มความเสียหาย,,Use life force to increase damage,Sử dụng sinh lực để tăng sát thương,Gunakan kekuatan hidup untuk meningkatkan kerusakan,Use life force to increase damage,Gamitin ang lakas ng buhay upang dagdagan ang pinsala,Menggunakan tenaga hidup untuk meningkatkan kerosakan,
263,Orochi,Orochi,Orochi,Orochi,Orochi,Orochi,Orochi,,,,263,,<8>,,,,,,,,,50261,,1,,<6;7;18;19>,,<75;140;70;65;155;115;620>,,4,21,4,<606;607;608;604;605>,,,4,263,,,2633,<2631;2632;2633;2636;61101;61102>,263,,<11014;11114;11214;11314>,20263,4,4,{drawcard=hong_effect_loop},261,3,4,4,4,<2611;2612;2613;2614>,,,,,เคยเป็นเจตจำนงของโลก อนุญาตให้มนุษย์อยู่ร่วมกับธรรมชาติได้ แต่หลังจากมนุษย์แยกตัวจากธรรมชาติ Orochi กลายเป็นสัญลักษณ์แห่งความชั่ว  ,"Considered the Will of Earth, once allowed humans to live in harmony with nature. But after humans turned away from nature, Orochi became a symbol of evil.  ","Được coi là ý chí của Trái Đất, từng cho phép loài người chung sống hòa hợp với thiên nhiên. Nhưng từ khi loài người tách khỏi tự nhiên, Orochi trở thành biểu tượng của cái ác.","Dianggap sebagai kehendak Bumi, pernah memungkinkan manusia hidup selaras dengan alam. Tapi sejak manusia meninggalkan alam, Orochi menjadi simbol kejahatan.  ","Considered the Will of Earth, once allowed humans to live in harmony with nature. But after humans turned away from nature, Orochi became a symbol of evil.  ","Itinuturing na kalooban ng Daigdig, dating nagtutulak sa sangkatauhan na makiisa sa kalikasan. Pero nang talikuran ng tao ang kalikasan, naging simbolo ng kasamaan si Orochi.  ","Dianggap sebagai kehendak Bumi, pernah membolehkan manusia hidup harmoni dengan alam. Tetapi sejak manusia pisahkan diri, Orochi menjadi lambang kejahatan.  ",การควบคุมแข็งแกร่งที่สุด: เปลี่ยนเป็นหินทั้งหมด,,Top-tier hard control: Petrify all,Khống chế cứng hàng đầu: Hóa đá toàn bộ,Kontrol keras top-tier: Membatu semua,Top-tier hard control: Petrify all,Top-tier hard control: Pagtigas ng lahat,Kawalan keras peringkat tertinggi: Membatu semua,
273,Ken,Ken,Ken,Ken,Ken,Ken,Ken,,,,273,,<7>,,,,,,,,,50271,,1,,<24;25;11;12>,,<90;55;130;80;65;85;505>,,2,11,2,<621;622;623;602;603>,,,2,273,,,2733,<2731;2732;2733;2736;61101;61102>,273,,<11022;11122;11222;11322>,20273,2,2,,271,16,2,2,2,<2711;2712;2713>,,,,,การเดินทางข้ามเวลาล้มเหลว กลายเป็นซอมบี้ พละกำลังลดลง ไม่มีอะไรที่หมัด Shoryuken แก้ไม่ได้ ถ้าไม่พอ ก็ใช้สองหมัด  ,"Failed time travel, turned into a zombie, strength diminished. There’s nothing a Shoryuken can’t solve. If one isn’t enough, try two.  ","Xuyên thời không thất bại, hóa thành thây ma, sức mạnh giảm sút. Không có gì mà một cú Shoryuken không giải quyết được. Nếu không được, thì hai cú.","Perjalanan lintas waktu gagal, berubah menjadi zombie, kekuatan menurun. Tidak ada yang tidak bisa diselesaikan oleh Shoryuken. Kalau satu tidak cukup, gunakan dua.  ","Failed time travel, turned into a zombie, strength diminished. There’s nothing a Shoryuken can’t solve. If one isn’t enough, try two.  ","Nabigo sa time travel, naging zombie, humina ang lakas. Walang hindi kayang solusyunan ng Shoryuken. Kung kulang, dalawa pa.  ","Kegagalan merentas masa, bertukar menjadi zombi, kekuatan merosot. Tiada apa yang Shoryuken tak boleh selesaikan. Kalau satu tak cukup, guna dua.  ",ข้ามการป้องกัน & โจมตีอย่างรุนแรง,,Ignore defense & deal extreme damage,Bỏ qua phòng thủ & tấn công cực mạnh,Abaikan pertahanan & serang dengan kerusakan yang ekstrim,Ignore defense & deal extreme damage,Abaikan ang depensa & magbigay ng matinding pinsala,Abaikan pertahanan & serang dengan kerosakan yang melampau,
