VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
Defaults,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""config/chip/icon_gj_1_1.png""",0,0,0,0,0,0,0,0,150,0,<>,<>,0,0,0,{drawcard=false;gain=false}
ID,符文名字,符文名字,符文名字,符文名字,name_en,name_th,name_in,name_ph,name_ma,符文icon,符文套装id,符文品质,对应栏位,主属性属性序列类型：对应main_attr表中的seq,初始副属性条目数,初始副属性随机库id,后天副属性条目数上限,后天副属性随机库id,强化等级上限,强化消耗序列：对应strength_cost表第一行,后天副属性获得的对应等级,所有副属性强化的指定等级,所有副属性洗练随机库类型,洗炼消耗序列：对应recast_cost表第一行,作为材料提供强化经验值,分别表示在抽卡恭喜获得
60121,,,Fire Release I  ,Hỏa độn I,Fire Release I  ,วิชาไฟ ขั้นที่ 1  ,Jurus Api I  ,Ablang Apoy I  ,Kebolehan Api I  ,config/chip/icon_huodunmiji_1.png,1,2,1,1,1,20001,1,20001,100,2,<10>,<5;15;20;30;40>,20001,1,75,
60122,,,Fire Release II  ,Hỏa độn II,Fire Release II  ,วิชาไฟ ขั้นที่ 2  ,Jurus Api II  ,Ablang Apoy II  ,Kebolehan Api II  ,config/chip/icon_huodunmiji_1.png,1,2,2,2,1,20002,1,20002,100,2,<10>,<5;15;20;30;40>,20002,1,75,
60123,,,Fire Release III  ,Hỏa độn III,Fire Release III  ,วิชาไฟ ขั้นที่ 3  ,Jurus Api III  ,Ablang Apoy III  ,Kebolehan Api III  ,config/chip/icon_huodunmiji_1.png,1,2,3,3,1,20003,1,20003,100,2,<10>,<5;15;20;30;40>,20003,1,75,
60124,,,Fire Release IV  ,Hỏa độn IV,Fire Release IV  ,วิชาไฟ ขั้นที่ 4  ,Jurus Api IV  ,Ablang Apoy IV  ,Kebolehan Api IV  ,config/chip/icon_huodunmiji_1.png,1,2,4,4,1,20004,1,20004,100,2,<10>,<5;15;20;30;40>,20004,1,75,
60125,,,Fire Release V  ,Hỏa độn V,Fire Release V  ,วิชาไฟ ขั้นที่ 5  ,Jurus Api V  ,Ablang Apoy V  ,Kebolehan Api V  ,config/chip/icon_huodunmiji_1.png,1,2,5,5,1,20005,1,20005,100,2,<10>,<5;15;20;30;40>,20005,1,75,
60126,,,Fire Release VI  ,Hỏa độn VI,Fire Release VI  ,วิชาไฟ ขั้นที่ 6  ,Jurus Api VI  ,Ablang Apoy VI  ,Kebolehan Api VI  ,config/chip/icon_huodunmiji_1.png,1,2,6,6,1,20006,1,20006,100,2,<10>,<5;15;20;30;40>,20006,1,75,
60131,,,Fire Release I  ,Hỏa độn I,Fire Release I  ,วิชาไฟ ขั้นที่ 1  ,Jurus Api I  ,Ablang Apoy I  ,Kebolehan Api I  ,config/chip/icon_huodunmiji_1.png,1,3,1,7,1,30001,1,30001,100,3,<10>,<5;15;20;30;40>,30001,2,150,
60132,,,Fire Release II  ,Hỏa độn II,Fire Release II  ,วิชาไฟ ขั้นที่ 2  ,Jurus Api II  ,Ablang Apoy II  ,Kebolehan Api II  ,config/chip/icon_huodunmiji_1.png,1,3,2,8,1,30002,1,30002,100,3,<10>,<5;15;20;30;40>,30002,2,150,
60133,,,Fire Release III  ,Hỏa độn III,Fire Release III  ,วิชาไฟ ขั้นที่ 3  ,Jurus Api III  ,Ablang Apoy III  ,Kebolehan Api III  ,config/chip/icon_huodunmiji_1.png,1,3,3,9,1,30003,1,30003,100,3,<10>,<5;15;20;30;40>,30003,2,150,
