VariableName,suitID,suitName_cn,suitName_tw,suitName,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""config/chip/suit/img_gj_1_00.png""",0,1,0,0,"""""",0,"""""",0,""""""
ID,套装id,套装名字,套装名字,套装名字,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,套装icon,套装散件数量,套装品质,套装效果技能,套装属性类型1,套装属性数值1,套装属性类型2,套装属性数值2,套装属性类型3,套装属性数值3
1,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,2,2,,7,3%,8,3%,,
2,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,4,2,66001,,,,,,
3,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,2,3,,7,4%,8,4%,,
4,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,4,3,66002,,,,,,
5,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,2,4,,7,5%,8,5%,,
6,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,4,4,66003,,,,,,
7,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,2,5,,7,6%,8,6%,,
8,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,4,5,66004,,,,,,
9,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,2,6,,7,15%,8,15%,,
10,1,,,Fire Dodge  ,Hoả Độn,Fire Dodge  ,หลบไฟ  ,Lari Api  ,Fire Dodge  ,Elak Api  ,config/chip/suit/icon_huodunmiji_1.png,4,6,66005,,,,,,
11,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,2,2,,7,3%,8,3%,,
12,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,4,2,66006,,,,,,
13,2,,,Lightning Dodge  ,Lôi Độn,Lightning Dodge  ,หลบสายฟ้า  ,Lari Petir  ,Lightning Dodge  ,Elak Kilat  ,config/chip/suit/icon_leidunmiji_1.png,2,3,,7,4%,8,4%,,
