VariableName,_beizhu,cardID,weight,weight2,CDTime,isForce,serverOpenDays,extraAward
Defaults,"""""",0,0,0,0,0,0,{}
ID,名字备注,怪物ID,自然属性权重，对应 unit natureType,第二自然属性权重，对应 unit natureType,冷却时间,强制开关,开服天数,额外奖励
1,,44,100,100,,,,{20044=1;rmb=10}
2,,53,100,100,,,,{20053=1;rmb=10}
3,,82,100,100,,,,{20082=1;rmb=10}
4,,692,100,100,,,,{20692=1;rmb=10}
5,,2683,100,100,,,,{22683=1;rmb=10}
6,,2843,100,100,,,,{22843=1;rmb=10}
7,,3432,100,100,,,,{rmb=10;23432=1}
8,,3772,100,100,,,,{23772=1;rmb=10}
9,,13,100,100,,,,{rmb=10;20013=1}
10,,273,100,100,,,,{rmb=10;20273=1}
11,,402,100,100,,,,{20402=1;rmb=10}
12,,493,100,100,,,,{20493=1;rmb=10}
13,,552,100,100,,,,{20552=1;rmb=10}
14,,793,100,100,,,,{20793=1;rmb=10}
15,,2013,100,100,,,,{22013=1;rmb=10}
16,,2073,100,100,,,,{22073=1;rmb=10}
17,,2593,100,100,,,,{rmb=10;22593=1}
18,,2612,100,100,,,,{rmb=10;22612=1}
19,,2633,100,100,,,,{rmb=10;22633=1}
20,,2963,100,100,,,,{22963=1;rmb=10}
21,,3283,100,100,,,,{23283=1;rmb=10}
22,,3293,100,100,,,,{23293=1;rmb=10}
23,,3342,100,100,,,,{23342=1;rmb=10}
24,,3472,100,100,,,,{23472=1;rmb=10}
25,,3511,100,100,,,,{23511=1;rmb=10}
26,,3683,100,100,,,,{23683=1;rmb=10}
27,,731,100,100,,,,{20731=1;rmb=10}
28,,1221,100,100,,,,{21221=1;rmb=10}
29,,1903,100,100,,,,{rmb=10;21903=1}
30,,1931,100,100,,,,{rmb=10;21931=1}
31,,3543,100,100,,,,{23543=1;rmb=10}
32,,163,100,100,,,,{20163=1;rmb=10}
33,,242,100,100,,,,{rmb=10;20242=1}
34,,333,100,100,,,,{20333=1;rmb=10}
35,,503,100,100,,,,{rmb=10;20503=1}
36,,593,100,100,,,,{rmb=10;20593=1}
37,,603,100,100,,,,{rmb=10;20603=1}
38,,611,100,100,,,,{rmb=10;20611=1}
39,,631,100,100,,,,{rmb=10;20631=1}
40,,641,100,100,,,,{rmb=10;20641=1}
41,,712,100,100,,,,{20712=1;rmb=10}
42,,741,100,100,,,,{20741=1;rmb=10}
43,,863,100,100,,,,{20863=1;rmb=10}
44,,883,100,100,,,,{rmb=10;20883=1}
45,,1082,100,100,,,,{rmb=10;21082=1}
46,,1293,100,100,,,,{21293=1;rmb=10}
47,,1612,100,100,,,,{21612=1;rmb=10}
48,,2033,100,100,,,,{22033=1;rmb=10}
49,,972,100,100,,,,{20972=1;rmb=10}
50,,1032,100,100,,,,{21032=1;rmb=10}
51,,1071,100,100,,,,{21071=1;rmb=10}
52,,1253,100,100,,,,{21253=1;rmb=10}
53,,1303,100,100,,,,{21303=1;rmb=10}
54,,1381,100,100,,,,{rmb=10;21381=1}
55,,1772,100,100,,,,{21772=1;rmb=10}
56,,1813,100,100,,,,{21813=1;rmb=10}
57,,1841,100,100,,,,{21841=1;rmb=10}
58,,1911,100,100,,,,{rmb=10;21911=1}
59,,2023,100,100,,,,{22023=1;rmb=10}
60,,2242,100,100,,,,{22242=1;rmb=10}
61,,2723,100,100,,,,{22723=1;rmb=10}
62,,3003,100,100,,,,{23003=1;rmb=10}
63,,3152,100,100,,,,{rmb=10;23152=1}
64,,3161,100,100,,,,{rmb=10;23161=1}
65,,3181,100,100,,,,{rmb=10;23181=1}
66,,3251,100,100,,,,{23251=1;rmb=10}
67,,3592,100,100,,,,{23592=1;rmb=10}
68,,3663,100,100,,,,{rmb=10;23663=1}
69,,263,,,2,,,{rmb=10;20263=1}
70,,393,100,,2,,,{20393=1;rmb=10}
71,,572,,,2,,,{rmb=10;20572=1}
72,,701,100,,2,,,{20701=1;rmb=10}
73,,721,100,,2,,,{20721=1;rmb=10}
74,,771,100,,2,,,{20771=1;rmb=10}
75,,1231,,100,2,,,{21231=1;rmb=10}
76,,1241,,,2,,,{21241=1;rmb=10}
77,,1313,,,2,,,{21313=1;rmb=10}
78,,1393,100,,2,,,{rmb=10;21393=1}
79,,1423,,,2,,,{rmb=10;21423=1}
80,,1503,100,,2,,,{21503=1;rmb=10}
81,,1893,100,,2,,,{rmb=10;21893=1}
82,,1941,,,2,,,{rmb=10;21941=1}
83,,1951,,,2,,,{rmb=10;21951=1}
84,,2233,,100,2,,,{22233=1;rmb=10}
85,,2401,100,,2,,,{rmb=10;22401=1}
86,,2493,,,2,,,{22493=1;rmb=10}
87,,3021,,,2,,,{23021=1;rmb=10}
88,,3143,,100,2,,,{rmb=10;23143=1}
89,,3171,,,2,,,{rmb=10;23171=1}
90,,3303,,,2,,,{23303=1;rmb=10}
91,,3353,,,2,,,{23353=1;rmb=10}
92,,3673,,,2,,,{rmb=10;23673=1}
93,,7001,,,2,,,{27001=1;rmb=10}
