VariableName,fightPointRate,groupKey,buffValueRate,buffProbRate,attr,excludeBuffID,combatPowerLimit ,combatPowerLimit_tw,combatPowerLimit_en,combatPowerLimit_kr
Defaults,<>,"""""",1,0,{},<>,{},{},{},{}
ID,战力系数(左开右闭),buff组(映射formula_const表),value修正系数(乘法),prob修正(加法),属性修正(加法),特殊buff不做修正,战斗力限制(开关),战斗力限制(开关),战斗力限制(开关),战斗力限制(开关)
1,<1;0.9>,c.groupdebuff_groupbuff(),,,{strike=0;block=0},,,,,
2,<0.9;0.8>,c.groupdebuff_groupbuff(),0.9,-0.01,{strike=-500;block=-500},,,,,
3,<0.8;0.7>,c.groupdebuff_groupbuff(),0.8,-0.015,{strike=-500;block=-500},,,,,
4,<0.7;0.6>,c.groupdebuff_groupbuff(),0.7,-0.02,{strike=-1000;block=-1000},,,,,
5,<0.6;0.5>,c.groupdebuff_groupbuff(),0.6,-0.025,{strike=-1000;block=-1000},,,,,
6,<0.5;0.4>,c.groupdebuff_groupbuff(),0.5,-0.03,{strike=-1500;block=-1500},,,,,
7,<0.4;0.3>,c.groupdebuff_groupbuff(),0.4,-0.035,{strike=-1500;block=-1500},,,,,
8,<0.3;0.2>,c.groupdebuff_groupbuff(),0.3,-0.04,{strike=-2000;block=-2000},,,,,
9,<0.2;0.1>,c.groupdebuff_groupbuff(),0.2,-0.045,{strike=-2000;block=-2000},,,,,
10,<0.1;0>,c.groupdebuff_groupbuff(),0.15,-0.05,{strike=-2500;block=-2500},,,,,
11,<1;0.9>,c.groupstun(),,,,,,,,
12,<0.9;0.8>,c.groupstun(),,-0.01,,,,,,
13,<0.8;0.7>,c.groupstun(),,-0.015,,,,,,
14,<0.7;0.6>,c.groupstun(),,-0.02,,,,,,
15,<0.6;0.5>,c.groupstun(),,-0.025,,,,,,
16,<0.5;0.4>,c.groupstun(),,-0.03,,,,,,
17,<0.4;0.3>,c.groupstun(),,-0.035,,,,,,
18,<0.3;0.2>,c.groupstun(),,-0.04,,,,,,
19,<0.2;0.1>,c.groupstun(),,-0.045,,,,,,
20,<0.1;0>,c.groupstun(),,-0.05,,,,,,
1001,<0.7;0.6>,c.groupdebuff_groupbuff(),0.98,-0.02,{strike=-200;block=-200},,,,,
1002,<0.6;0.5>,c.groupdebuff_groupbuff(),0.95,-0.05,{strike=-500;block=-500},,,,,
1003,<0.5;0.4>,c.groupdebuff_groupbuff(),0.92,-0.08,{strike=-800;block=-800},,,,,
1004,<0.4;0.3>,c.groupdebuff_groupbuff(),0.88,-0.11,{strike=-1200;block=-1200},,,,,
1005,<0.3;0>,c.groupdebuff_groupbuff(),0.83,-0.16,{strike=-1700;block=-1700},,,,,
1006,<0.7;0.6>,c.groupstun(),,-0.02,,,,,,
1007,<0.6;0.5>,c.groupstun(),,-0.05,,,,,,
1008,<0.5;0.4>,c.groupstun(),,-0.08,,,,,,
1009,<0.4;0.3>,c.groupstun(),,-0.11,,,,,,
1010,<0.3;0>,c.groupstun(),,-0.16,,,,,,
