VariableName,name,_desc,value,valueArray
Defaults,"""""","""""",0,<>
ID,VariableName,本字段专供策划参考,常量值,常量数组
1,drawCardCostPrice,,200,
2,draw10CardCostPrice,,1800,
3,drawGoldCostPrice,,20000,
4,draw10GoldCostPrice,,180000,
5,drawGoldFreeLimit,,5,
6,drawGoldFreeRefreshDuration,,600,
7,dropEquipStarNeedRmb,,30,
8,trainerAttrSkillsResetRMB,,200,
9,heldItemExpNeedGold,,50,
10,effortSwapCostRmb,,100,
11,nvalueSwapCostRmb,,100,
12,characterSwapCostRmb,,100,
13,dispatchTaskRefreshCostRMB,,10,
14,dispatchTaskDoneAtOnceCostRMB,,2,
15,dispatchTaskDoneAtOnceSecond,,300,
16,staminaBuyRecover,,120,
17,cardBagCapacity,,150,
18,cardBagCapacityIncrease,,10,
19,unionTrainingSpeedUpGold,,20000,
20,cardRenameRMBCost,,20,
21,unionRenameRMBCost,,500,
22,unionCreateRMBCost,,300,
23,stashCardMailCountMax,,50,
24,rebirthRetrunProportion1,,1,
25,rebirthRetrunProportion2,,1,
26,rebirthRetrunProportion3,,1,
27,rebirthRMBCostLimit,,100,
28,heldItemRebirthRMBCostLimit,,50,
29,rebirthRMBCostByGold,,20000,
30,citySpriteBaibianProbability,,10,
31,citySpriteBaibianCD,,600,
32,citySpriteBaibianPeriodDay,,3,
33,citySpriteBaibianTimeMax,,1,
34,citySpriteMiniQProbability,,10,
35,citySpriteMiniQCD,,600,
36,citySpriteMiniQPeriodDay,,1,
37,citySpriteMiniQTimeMax,,1,
38,citySpriteMax,,20,
39,drawItemCostPrice,,160,
40,draw5ItemCostPrice,,680,
41,unionCreateNeedVip,,,
42,talentResetCost,,80,
43,drawEquipCostPrice,,80,
44,draw10EquipCostPrice,,680,
45,cardRebirthRMBCostMin,,20,
46,heldItemRebirthRMBCostMin,,20,
47,unionRobRedpacketDailyLimit,,40,
48,newbieUnionQuitProtectDays,,2,
49,randomTowerBoxLimit1,,,
50,randomTowerBoxLimit2,,5,
51,craftBetNormalGold,,60000,
52,craftBetAdvanceGold,,200000,
53,shareTimesLimit,,5,
54,equipShopRefreshDays,,5,
55,universalFragGeneral,,502,
56,universalFragSpecial,,521,
57,universalFragSwitch,,3,
58,cloneRobotTime,,120,
59,cloneRobotRefreshTime,,360,
60,dropEquipAwakeNeedRmb,,30,
61,rebirthRetrunProportion4,,1,
62,unionFragDonateTimes,,3,
63,unionFragDonateSingleMaxTimes,,1,
64,unionFightBetNormalGold,,60000,
65,unionFightBetAdvanceGold,,200000,
66,unionFightLastWinRolePoint,,10,
67,rebirthRetrunProportion5,,1,
68,skillPointLimitMax,,2000,
69,autoSilentDuration,,3600,
70,autoSilentSameNum,,7,
71,chatSilent,,,
72,unionCreateNeedGateStar,,35,
73,gemRebirthRetrunProportion,,1,
74,gemRebirthRMBCostLimit,,10,
75,unionFubenMaxDamageMultiple,,5000,
76,cardStarSkillResetCostRMB,,100,
77,endlessCheatSilent,,10800,
78,gemRebirthRMBCostMin,,,
79,drawGemCostPrice,,98,
80,draw10GemCostPrice,,880,
81,drawGemGoldCostPrice,,60000,
82,draw10GemGoldCostPrice,,500000,
83,pvpPassCostRmb,,30,
84,worldBossMaxDamageMultiple,,5000,
85,feelSwapCostRmb,,100,
86,rebirthRetrunProportion6,,1,
87,fishingDailyTimes,,20,
88,crossArenaPassCostRmb,,30,
89,fishingLowestWaitTimes,,3,
90,megaCommonConvertTimes,,10,
91,megaConvertTimes,,10,
92,fishingAutoDuration,,120,
93,gymBattleTimes,,10,
94,gymAutoRecoverPoints,,50,
95,gymTalentResetCost,,100,
96,megaCommonBuyAddTimes,,5,
97,megaCommonBuyChanceLimit,,2,
98,megaBuyAddTimes,,5,
99,megaBuyChanceLimit,,2,
100,megaCommonRecoveryFirst,,20,
101,megaRecoveryFirst,,20,
102,cardCommentWordCount,,300,
103,cardSwitchBranchCostRMB,,500,
104,cardCommentDailyMarkNum,,10,
105,cardCommentDailyMarkSendTimes,,5,
106,cardScoreDailyChangeTimes,,1,
107,cardCommentHotNum,,10,
108,gymPwCD,,300,
109,gymRecoverFirst,,50,
110,gymTalentPointBuyCount,,10,
111,cloneCanKickTime,,180,
112,cloneCanKickFinishNum,,3,
113,cloneDailyBeKickedMax,,3,
114,dropEquipAbilityNeedRmb,,30,
115,dropEquipSignetNeedRmb,,30,
116,seniorRoleLevel,,55,
117,seniorRoleOffline,,3,
118,seniorRoleFightingPoint,,150000,
119,longBindCD,,30,
120,shortBindCD,,15,
121,reunionLoginDays,,4,
122,gymFubenMaxDamageMultiple,,100,
123,dailyStaminaCostMax,,90000,
124,figureSkillLimit,,3,
125,figureSkill2,,8,
126,figureSkill3,,16,
127,halloweenSpriteNum1,,3,
128,halloweenSpriteNum2,,2,
129,huoDongBossMaxDamageMultiple,,10000,
130,huodongBossCrossServerSize,,5,
131,huodongBossCrossServerLimit,,8,
132,unionFubenDeadlyTimesLimit,,1,
133,talentResetAllCost,,200,
134,gymLogLimit,,500,
135,crossMineBossMaxDamageMultiple,,200,
136,citySpriteTimesMax,,3,
137,unionQABuyCost,,50,
138,unionQABuyTimes,,1,
139,unionQATimes,,1,
140,crossMineBossAgentCheckDamageFix,,50,
141,crossMineBossMaxTime,,300,
142,redPacketCrossGroupSize,,10,
143,skyscraperCrossGroupSize,,20,
144,horseRaceBetCost,,50,
145,braveChallengeGroupSize,,50,
146,horseRaceGroupSize,,20,
147,zawakeResetOneKeyCost,,500,
148,zawakeResetOneKeyRatio,,1,
149,zawakeResetAutoRatio,,1,
150,drawChipCostPrice,,98,
151,draw10ChipCostPrice,,880,
152,drawChipItemCostPrice,,10,
153,draw10ChipItemCostPrice,,100,
154,chipUpLimit,,3,
155,chipExpNeedGold,,50,
156,chipResetCost,,1000,
157,chipRebirthRMBCostLimit,,100,
158,chipRebirthRMBCostMin,,10,
159,chipRebirthRetrunProportion,,1,
160,huntingMaxDamageMultiple,,200,
161,drawCardUpChangeLimit,,4,
162,drawCardUp1CostPrice,,220,
163,drawCardUp10CostPrice,,2000,
164,volleyballGroupSize,,20,
165,endlessCheatSilentTimes,,5,
166,buildingCompletionInterval,,30,
167,buildingCompletionCost,,25,
168,buildingHomeRenameCost,,100,
169,townHomeEnergyRecovery,,10,
170,crossMineDisablenBattleProtectBeforeOver,,15,
171,CrossSupremacyBuyTimes,,10,
174,cardStarSwapRaritySTimesLimit,,2,
175,cardStarSwapRaritySDefaultTimes,,1,
176,cardStarSwapRaritySTimesCD,,168,
177,universalSuperFragSpecial,,499,
178,universalSuperFragSwitch,,3,
5000,client_test,,,
5001,slayAddMp,,300,
5002,lostOnePercentHpAddMp,,7,
5003,saodang50RoleLevel,,60,
5004,cityBgStartTime,,360,
5005,cityBgDayDuration,,720,
5006,cityBgNightDuration,,720,
5007,signinItemRate,,4,
5008,signinCardRate,,1.6,
5009,levelBoxDelayTime,,1.6,
5010,pvpBattleItemID,,517,
5011,pvpCardShowScale,,2,
5012,citySpecialTimeMin,,60,
5013,showCardRarityMin,,3,
5014,attrHp,,0.4,
5015,attrDamage,,1,
5016,attrSpecialDamage,,1,
5017,attrDefence,,3,
5018,attrSpecialDefence,,3,
5019,attrSpeed,,4.5,
5020,endlessTowerJumpCD,,30,
5021,randomTowerJumpCD,,15,
5022,feedBackDayCount,,3,
5023,randomTowerBattleHp,,10,
5024,randomTowerBattleMp,,200,
5025,captureSprite,,1.5,
5026,rechargeVip,,15000,
5027,marqueeMax,,3,
5028,personalSignShowLevel,,27,
5029,worldBossJumpCD,,25,
5030,worldBossDamageLimitRate,,0.6,
5031,preCheckFailAttrFix,,1.2,
5032,craftHpRatioBorder,,0.9,
5033,onlineFightAwardLimit,,5,
5034,onlineFightFleeRoundLimit,,5,
5035,onlineFightLateSpeedUpTime,,20,
5036,onlineFightLateFrameLimit,,3,
5037,gymMapScale,,0.8,
5038,crossMapScale,,0.5,
5039,onlineFightWdfRecordRound,,4,
5040,onlineFightWdfRecordLimit,,0.5,
5041,gymGateJumpCD,,,
5042,huodongbossNewTimes,,15,
5043,huodongbossMaxNumber,,50,
5044,embattleReadyMax,,5,
5045,loadingBgTotal,,11,<1;2;3;4;5;6;7;8;9;10;11>
5046,signinPassportTipDays,,7,
5047,antiFraudPosterAppearsCD,,1,
5048,huntingJumpCD,,15,
5049,reboundFix,,0.3,
5050,messageIsFull,,7,
5051,crossUnionFight,,8.5,
5052,crossUnionBattleReportTime,,20,
5053,gateSkipRound,,3,
