VariableName,rankMax,award,award_vn,award_kr,award_en,award_tw,version
Defaults,,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,<<1;150;{}>>,0
ID,最大排名,排名奖励,排名奖励,排名奖励,排名奖励,排名奖励,奖励版本
1,1,<<1;72;{gold=100000;20721=3;6005=6;521=3}>;<73;150;{521=3;gold=100000;20721=3;6007=6;112=100}>>,,,<<1;72;{gold=100000;20721=3;6005=6;521=3}>;<73;150;{521=3;gold=100000;20721=3;6007=6;112=100}>>,,
2,2,<<1;72;{gold=90000;20721=2;6005=5;521=2}>;<73;150;{521=2;gold=90000;20721=2;6007=5;112=90}>>,,,<<1;72;{gold=90000;20721=2;6005=5;521=2}>;<73;150;{521=2;gold=90000;20721=2;6007=5;112=90}>>,,
3,3,<<1;72;{gold=80000;20721=1;6005=5;521=1}>;<73;150;{521=1;gold=80000;20721=1;6007=5;112=80}>>,,,<<1;72;{gold=80000;20721=1;6005=5;521=1}>;<73;150;{521=1;gold=80000;20721=1;6007=5;112=80}>>,,
4,4,<<1;72;{gold=80000;521=1;6005=4;23152=5}>;<73;150;{gold=80000;521=1;6007=4;112=75;23152=1}>>,,,<<1;72;{gold=80000;521=1;6005=4;23152=5}>;<73;150;{gold=80000;521=1;6007=4;112=75;23152=1}>>,,
5,8,<<1;72;{gold=70000;6006=1;6005=3;951=1}>;<73;150;{6007=3;gold=70000;112=70;6008=1;951=1}>>,,,<<1;72;{gold=70000;6006=1;6005=3;951=1}>;<73;150;{6007=3;gold=70000;112=70;6008=1;951=1}>>,,
6,16,<<1;72;{gold=60000;6006=1;6005=2;950=1}>;<73;150;{6008=1;gold=60000;112=65;6007=2;950=1}>>,,,<<1;72;{gold=60000;6006=1;6005=2;950=1}>;<73;150;{6008=1;gold=60000;112=65;6007=2;950=1}>>,,
7,32,<<1;72;{gold=60000;6006=1;6005=1;950=1}>;<73;150;{6008=1;gold=60000;112=60;6007=1;950=1}>>,,,<<1;72;{gold=60000;6006=1;6005=1;950=1}>;<73;150;{6008=1;gold=60000;112=60;6007=1;950=1}>>,,
8,127,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{gold=50000;112=55;6008=2;950=1}>>,,,<<1;72;{6006=2;950=1;gold=50000}>;<73;150;{gold=50000;112=55;6008=2;950=1}>>,,
9,9999,<<1;72;{6006=2;gold=50000}>;<73;150;{112=50;6008=2;gold=50000}>>,,,<<1;72;{6006=2;gold=50000}>;<73;150;{112=50;6008=2;gold=50000}>>,,
101,1,<<1;72;{gold=1000000;20721=8;6005=15;521=8}>;<73;150;{521=8;gold=1000000;20721=8;6007=15;112=200}>>,,,<<1;72;{gold=1000000;20721=8;6005=15;521=8}>;<73;150;{521=8;gold=1000000;20721=8;6007=15;112=200}>>,,101
102,2,<<1;72;{gold=800000;20721=6;6005=12;521=6}>;<73;150;{521=6;gold=800000;20721=6;6007=12;112=150}>>,,,<<1;72;{gold=800000;20721=6;6005=12;521=6}>;<73;150;{521=6;gold=800000;20721=6;6007=12;112=150}>>,,101
103,3,<<1;72;{gold=600000;20721=5;6005=10;521=5}>;<73;150;{521=5;gold=600000;20721=5;6007=10;112=120}>>,,,<<1;72;{gold=600000;20721=5;6005=10;521=5}>;<73;150;{521=5;gold=600000;20721=5;6007=10;112=120}>>,,101
104,4,<<1;72;{gold=400000;20721=4;6005=8;521=4}>;<73;150;{521=4;gold=400000;20721=4;6007=8;112=100}>>,,,<<1;72;{gold=400000;20721=4;6005=8;521=4}>;<73;150;{521=4;gold=400000;20721=4;6007=8;112=100}>>,,101
105,5,<<1;72;{gold=200000;20721=3;6005=6;521=3}>;<73;150;{521=3;gold=200000;20721=3;6007=6;112=90}>>,,,<<1;72;{gold=200000;20721=3;6005=6;521=3}>;<73;150;{521=3;gold=200000;20721=3;6007=6;112=90}>>,,101
