VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;in;ma;en;tw;kr;vn;th;ph>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
201,,{23251=5},{coin6=1000},,,,,,,,,,
202,,{20333=5},{coin6=1000},,,,,,,,,,
203,,{20503=5},{coin6=1000},,,,,,,,,,
204,,{20631=5},{coin6=1000},,,,,,,,,,
221,,{20013=5},{coin6=600},,,,,,,,,,
222,,{20273=5},{coin6=600},,,,,,,,,,
223,,{20493=5},{coin6=600},,,,,,,,,,
600,,{15=1},{coin6=200},,,,,,,,,,
610,,{514=10},{coin6=500},,,,,,,,,,
620,,{5000=10},{coin6=1000},,,,,,,,,,
1001,,{6050=1},{coin6=32000},,,,,,,3,1,,
1101,,{2214=1},{coin6=24000},,,,,,,4,1,,
