VariableName,levelStart,levelEnd,monsters1,monsters2,rangeFixs
Defaults,1,101,,,<>
ID,基准等级下限（大于等于）,基准等级上限（小于）,怪物队伍1(cardsID),怪物队伍2(cardsID),段位
1001,1,101,<44;2593;731;972;3683;1253>,<2073;793;731;972;3683;2013>,<23;24;25;26;27>
1002,1,101,<53;2612;1221;1032;731;1303>,<2593;2013;1221;1032;731;2073>,<23;24;25;26;27>
1003,1,101,<82;2633;1903;1071;1221;1381>,<2612;2073;1903;793;1221;2593>,<23;24;25;26;27>
1004,1,101,<692;44;1931;1253;1903;1772>,<2633;2593;1931;2013;1903;2612>,<23;24;25;26;27>
1005,1,101,<2683;53;3543;1303;1931;1813>,<2963;2612;3543;2073;1931;2633>,<23;24;25;26;27>
1006,1,101,<2843;82;163;1381;3543;1841>,<3283;2633;793;2593;3543;2963>,<23;24;25;26;27>
1007,1,101,<3432;692;242;1772;163;1911>,<3293;2963;2013;2612;793;3283>,<23;24;25;26;27>
1008,1,101,<3772;2683;44;972;242;2023>,<3342;3283;2073;2633;2013;3293>,<23;24;25;26;27>
1009,1,101,<13;2843;53;1032;333;2242>,<3472;3293;2593;2963;2073;3342>,<23;24;25;26;27>
1010,1,101,<273;3432;82;1071;503;2723>,<3511;3342;2612;3283;2593;3472>,<23;24;25;26;27>
1011,1,101,<402;3772;692;1253;593;3003>,<3683;3472;2633;3293;2612;3511>,<23;24;25;26;27>
1012,1,101,<493;13;2683;1303;603;3152>,<731;3511;2963;3342;2633;3683>,<23;24;25;26;27>
1013,1,101,<552;273;2843;1381;611;3161>,<1221;3683;3283;3472;2963;731>,<23;24;25;26;27>
1014,1,101,<793;402;3432;1772;631;3181>,<1903;731;3293;3511;3283;1221>,<23;24;25;26;27>
1015,1,101,<2013;493;3772;1813;641;3251>,<1931;1221;3342;3683;3293;1903>,<23;24;25;26;27>
1016,1,101,<2073;552;13;2843;712;3592>,<3543;1903;3472;731;3342;1931>,<23;24;25;26;27>
1017,1,101,<2593;793;273;3432;741;3663>,<163;1931;3511;1221;3472;3543>,<23;24;25;26;27>
1018,1,101,<2612;2013;402;3772;863;53>,<242;3543;3683;1903;3511;163>,<23;24;25;26;27>
1019,1,101,<2633;2073;493;13;883;82>,<333;163;731;1931;3683;242>,<23;24;25;26;27>
1020,1,101,<2963;2593;552;273;1082;692>,<503;242;1221;3543;731;333>,<23;24;25;26;27>
1021,1,101,<3283;2612;793;402;1293;2683>,<593;333;1903;163;1221;503>,<23;24;25;26;27>
1022,1,101,<3293;2633;2013;493;1612;2843>,<603;503;1931;242;1903;593>,<23;24;25;26;27>
1023,1,101,<3342;2963;2073;552;2033;3432>,<611;593;3543;333;1931;603>,<23;24;25;26;27>
1024,1,101,<3472;3283;2593;793;972;3772>,<631;603;163;503;3543;611>,<23;24;25;26;27>
1025,1,101,<3511;3293;2612;2013;1032;13>,<641;611;242;593;163;631>,<23;24;25;26;27>
1026,1,101,<3683;3342;2633;2073;793;273>,<712;631;333;603;242;641>,<23;24;25;26;27>
1027,1,101,<731;3472;2963;2593;2013;402>,<741;641;503;611;333;712>,<23;24;25;26;27>
1028,1,101,<1221;3511;3283;2612;2073;493>,<863;712;593;631;503;741>,<23;24;25;26;27>
1029,1,101,<1903;3683;3293;2633;2593;552>,<883;741;603;641;593;863>,<23;24;25;26;27>
1030,1,101,<1931;731;3342;2963;2612;793>,<1082;863;611;712;603;883>,<23;24;25;26;27>
1031,1,101,<3543;1221;3472;3283;2633;2013>,<1293;883;631;741;611;1082>,<23;24;25;26;27>
1032,1,101,<163;1903;3511;3293;2963;2073>,<1612;1082;641;863;631;1293>,<23;24;25;26;27>
1033,1,101,<242;1931;3683;3342;3283;2593>,<2033;1293;712;883;641;1612>,<23;24;25;26;27>
1034,1,101,<333;3543;731;3472;3293;2612>,<972;1612;741;1082;712;2033>,<23;24;25;26;27>
1035,1,101,<503;163;1221;3511;3342;2633>,<1032;2033;863;1293;741;972>,<23;24;25;26;27>
