VariableName,stageID,stageName,stageName_tw,stageName_en,stageName_th,stageName_in,stageName_ph,stageName_ma,stageName_vn,stageRes,range,award,periodAward,finishAward,version,icon,stageLevel,stagePinyin
Defaults,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",<>,{},{},{},0,"""""","""""",""""""
ID,段位ID,位名称,位名称,stageName_en,stageName_th,stageName_in,stageName_ph,stageName_ma,位名称,位资源,玩家排名区间（左闭右开）,段位奖励,七日奖励,最终奖励（结算）,赛季奖励版本,图标,段位层,拼音
1,,Bronze III,青銅III,Bronze III,ทองแดง III,Perunggu III,Bronse III,Gangsa III,Đồng III,,<7081;100001>,{850=200;2103=2;gold=100000},{502=2;529=1080;gold=300000},{502=5;529=4000;rmb=200},,common/icon/rank_stage/icon_qt_3.png,III,qingtong
2,2,Bronze II,青銅II,Bronze II,ทองแดง II,Perunggu II,Bronse II,Gangsa II,Đồng II,,<5081;7081>,{850=200;2103=2;gold=100000},{502=2;529=1140;gold=320000},{502=5;529=4200;rmb=210},,common/icon/rank_stage/icon_qt_2.png,II,qingtong
3,3,Bronze I,青銅I,Bronze I,ทองแดง I,Perunggu I,Bronse I,Gangsa I,Đồng I,,<4081;5081>,{850=200;2103=2;gold=110000},{502=2;529=1200;gold=340000},{502=5;529=4400;rmb=220},,common/icon/rank_stage/icon_qt_1.png,I,qingtong
4,4,Silver III,白銀III,Silver III,เงิน III,Perak III,Perak III,Perak III,Bạc III,,<3481;4081>,{501=1;2103=2;gold=110000},{502=2;529=1260;gold=360000},{502=6;529=4600;rmb=230},,common/icon/rank_stage/icon_by_3.png,III,baiyin
5,5,Silver II,白銀II,Silver II,เงิน II,Perak II,Perak II,Perak II,Bạc II,,<2881;3481>,{850=400;2103=2;gold=120000},{502=2;529=1320;gold=380000},{502=6;529=4800;rmb=240},,common/icon/rank_stage/icon_by_2.png,II,baiyin
6,6,Silver I,白銀I,Silver I,เงิน I,Perak I,Perak I,Perak I,Bạc I,,<2281;2881>,{850=400;2103=2;gold=120000},{502=2;529=1380;gold=400000},{502=6;529=5000;rmb=250},,common/icon/rank_stage/icon_by_1.png,I,baiyin
7,7,Gold III,黃金III,Gold III,ทองคำ III,Emas III,Emas III,Emas III,Vàng III,,<1881;2281>,{502=2;2103=3;gold=130000},{502=3;529=1440;gold=420000},{502=7;529=5200;rmb=260},,common/icon/rank_stage/icon_hj_3.png,III,huangjin
8,8,Gold II,黃金II,Gold II,ทองคำ II,Emas II,Emas II,Emas II,Vàng II,,<1481;1881>,{gold=130000;2103=3;519=2},{502=3;529=1500;gold=440000},{502=7;529=5600;rmb=280},,common/icon/rank_stage/icon_hj_2.png,II,huangjin
9,9,Gold I,黃金I,Gold I,ทองคำ I,Emas I,Emas I,Emas I,Vàng I,,<1081;1481>,{gold=140000;2103=3;519=2},{502=3;529=1620;gold=460000},{502=8;529=6000;rmb=300},,common/icon/rank_stage/icon_hj_1.png,I,huangjin
10,10,Platinum IV,鉑金IV,Platinum IV,แพลทินัม IV,Platinum IV,Platina IV,Platinum IV,Bạch kim IV,,<841;1081>,{973=1;2103=3;gold=140000},{502=4;529=1740;gold=480000},{502=8;529=6400;rmb=320},,common/icon/rank_stage/icon_bj_4.png,IV,baijin
11,11,Platinum III,鉑金III,Platinum III,แพลทินัม III,Platinum III,Platina III,Platinum III,Bạch kim III,,<601;841>,{gold=150000;2103=3;519=2},{502=4;529=1860;gold=500000},{502=9;529=6800;rmb=340},,common/icon/rank_stage/icon_bj_3.png,III,baijin
12,12,Platinum II,鉑金II,Platinum II,แพลทินัม II,Platinum II,Platina II,Platinum II,Bạch kim II,,<361;601>,{gold=150000;2103=3;519=2},{502=4;529=1980;gold=520000},{502=9;529=7200;rmb=360},,common/icon/rank_stage/icon_bj_2.png,II,baijin
13,13,Platinum I,鉑金I,Platinum I,แพลทินัม I,Platinum I,Platina I,Platinum I,Bạch kim I,,<281;361>,{973=1;2103=3;gold=165000},{502=4;529=2100;gold=540000},{502=10;529=7800;rmb=390},,common/icon/rank_stage/icon_bj_1.png,I,baijin
14,14,Diamond IV,鑽石IV,Diamond IV,ไดมอนด์ IV,Intan IV,Intan IV,Intan IV,Kim cương IV,,<201;281>,{902=15;2103=4;gold=165000},{502=5;529=2250;gold=560000},{502=11;529=8400;rmb=420},,common/icon/rank_stage/icon_zs_4.png,IV,zuanshi
15,15,Diamond III,鑽石III,Diamond III,ไดมอนด์ III,Intan III,Intan III,Intan III,Kim cương III,,<121;201>,{902=15;2103=4;gold=180000},{502=5;529=2400;gold=580000},{502=12;529=9000;rmb=450},,common/icon/rank_stage/icon_zs_3.png,III,zuanshi
16,16,Diamond II,鑽石II,Diamond II,ไดมอนด์ II,Intan II,Intan II,Intan II,Kim cương II,,<91;121>,{502=3;2103=4;gold=180000},{502=6;529=2550;gold=600000},{502=14;529=9600;rmb=480},,common/icon/rank_stage/icon_zs_2.png,II,zuanshi
17,17,Diamond I,鑽石I,Diamond I,ไดมอนด์ I,Intan I,Intan I,Intan I,Kim cương I,,<61;91>,{902=20;2103=4;gold=195000},{502=6;529=2700;gold=620000},{502=16;529=10400;rmb=520},,common/icon/rank_stage/icon_zs_1.png,I,zuanshi
18,18,Master,無畏大師,Master,มาสเตอร์,Master,Master,Master,Bậc thầy,,<31;61>,{902=20;2103=5;gold=195000},{502=7;529=2850;gold=640000},{502=18;529=11200;rmb=560},,common/icon/rank_stage/icon_ds.png,K,dashi
19,19,King,巔峰王者,King,ราชา,Raja,Raja,Raja,Nhà vua,,<21;31>,{521=5;2103=6;gold=210000},{502=8;529=3000;gold=700000},{529=12000;521=10;rmb=600},,common/icon/rank_stage/icon_wz.png,K,wangzhe
