VariableName,rankMax,award,version
Defaults,,{},0
ID,最大排名,排名奖励,奖励版本
1,1,{529=400;20712=3;gold=1000000;521=4;6017=16},
2,2,{529=360;20712=2;gold=900000;521=4;6017=14},
3,3,{529=320;20712=2;gold=800000;521=2;6017=12},
4,4,{529=320;20712=2;gold=800000;521=2;6017=12},
5,8,{529=290;20712=1;gold=760000;521=2;6017=10},
6,16,{6018=2;gold=720000;521=2;6017=8;529=260},
7,32,{6018=4;gold=680000;529=240;6017=6;502=2},
8,64,{6018=6;gold=640000;529=220;6017=4;502=2},
9,100,{6018=8;gold=600000;6017=2;529=200},
10,200,{6018=10;529=190;gold=560000},
11,300,{6018=10;529=180;gold=520000},
12,500,{6018=10;529=170;gold=480000},
13,1000,{6018=10;529=160;gold=440000},
14,2000,{6018=10;529=150;gold=400000},
15,99999,{6018=10;529=140;gold=360000},
