VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn;in;en;tw;kr;vn;th;ma;ph>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
201,,{20731=2},{coin8=1200},,,,,,,,,,
211,,{20741=2},{coin8=1200},,,,,,,,,,
221,,{20242=2},{coin8=1200},,,,,,,,,,
231,,{21221=2},{coin8=800},,,,,,,,,,
241,,{21931=2},{coin8=800},,,,,,,,,,
251,,{23543=2},{coin8=800},,,,,,,,,,
600,,{15=2},{coin8=200},,,,,,,,,,
610,,{514=30},{coin8=500},,,,,,,,,,
620,,{5000=40},{coin8=1000},,,,,,,,,,
630,,{529=100},{coin8=300},,,,,,,,,,
1001,,{992=1},{coin8=3600},,,,,,,3,2,,
1002,,{993=1},{coin8=10000},,,,,,,3,1,,
1011,,{20771=1},{coin8=1500},,,,,,,3,20,,
1101,,{2208=1},{coin8=24000},,,,,,,4,1,,
