VariableName,unitID,name,name_tw,name_en,name_th,name_in,name_ph,name_ma,name_vn,group,weight,speed,stamina,staminaCost,staminaRecovery,sprintRandom,sprintInterval,sprintMultiple,sprintTime
Defaults,0,"""""","""""","""""","""""","""""","""""","""""","""""",0,100,50,100.1,10.5,10.5,10,2,1.5,1
ID,选手ID,选手名称,选手名称,name_en,name_th,name_in,name_ph,name_ma,name_vn,选手组,选手随机权重,初始速度(1s),体力,体力每0.1秒消耗,体力每0.1秒回复,冲刺概率（0-100）,冲刺每0.1秒随机一次,冲刺影响速度倍数,冲刺维持时长(多少个0.1s)
1,721,Articuno,急凍鳥,Articuno,Articuno,Articuno,Articuno,Articuno,Articuno,1,,500,150,1.5,1,38,12,,18
2,741,Moltres,火焰鳥,Moltres,Moltres,Moltres,Moltres,Moltres,Moltres,1,,560,145,1.5,1,35,14,,16
3,731,Zapdos,閃電鳥,Zapdos,Zapdos,Zapdos,Zapdos,Zapdos,Zapdos,1,,590,140,1.5,1,32,15,,15
4,753,Dragonite,快龍,Dragonite,Dragonite,Dragonite,Dragonite,Dragonite,Dragonite,1,,630,135,1.5,1,30,16,,14
5,1893,Salamence,暴飛龍,Salamence,Salamence,Salamence,Salamence,Salamence,Salamence,2,,500,150,1.5,1,38,12,,18
6,863,Togekiss,波克基斯,Togekiss,Togekiss,Togekiss,Togekiss,Togekiss,Togekiss,2,,560,145,1.5,1,35,14,,16
7,1951,Latios,拉帝歐斯,Latios,Latios,Latios,Latios,Latios,Latios,2,,590,140,1.5,1,32,15,,15
8,1941,Latias,拉帝亞斯,Latias,Latias,Latias,Latias,Latias,Latias,2,,630,135,1.5,1,30,16,,14
9,2401,Cresselia,克雷色利亞,Cresselia,Cresselia,Cresselia,Cresselia,Cresselia,Cresselia,3,,425,150,1.5,1,38,12,,18
10,1395,Gardevoir,沙奈朵,Gardevoir,Gardevoir,Gardevoir,Gardevoir,Gardevoir,Gardevoir,3,,481,145,1.5,1,35,14,,16
11,2843,Gothitelle,哥德小姐,Gothitelle,Gothitelle,Gothitelle,Gothitelle,Gothitelle,Gothitelle,3,,502,140,1.5,1,32,15,,15
12,2993,Chandelure,水晶燈火靈,Chandelure,Chandelure,Chandelure,Chandelure,Chandelure,Chandelure,3,,536,135,1.5,1,30,16,,14
13,1261,Lugia,洛奇亞,Lugia,Lugia,Lugia,Lugia,Lugia,Lugia,4,,598,150,1.5,1,38,12,,18
14,1271,Ho-Oh,鳳王,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,4,,672,145,1.5,1,35,14,,16
15,1961,Kyogre,蓋歐卡,Kyogre,Kyogre,Kyogre,Kyogre,Kyogre,Kyogre,4,,708,140,1.5,1,32,15,,15
