VariableName,_beizhu,attrType1,attrFix1,attrType2,attrFix2,attrType3,attrFix3,attrType4,attrFix4,attrType5,attrFix5,attrType6,attrFix6
Defaults,,1,1,7,1,8,1,9,1,10,1,13,1
ID,备注,修正属性类型1,修正属性数值1,修正属性类型2,修正属性数值2,属性类型3,修正属性数值3,属性类型4,修正属性数值4,属性类型5,修正属性数值5,属性类型5,修正属性数值5
3001,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3011,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3021,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3031,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3041,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3051,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3061,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
3071,,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9
