VariableName,name,name_en,name_th,name_in,name_ph,name_ma,name_vn,type,group,groupWeight,quality,icon,weight,skillID,desc,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn
Defaults,"""""","""""","""""","""""","""""","""""","""""",1,,,1,"""""",100,1,"""""","""""","""""","""""","""""","""""",""""""
ID,名称,name_en,name_th,name_in,name_ph,name_ma,name_vn,类型,组别,同组别提升权重,品质-底与标题1.绿.2.黄.3.蓝4.橙.5.粉.6.紫.7.红,图标,随机权重,被动技能ID,描述,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc_vn
1,Unrivaled I,Unrivaled I,ไร้เทียมทาน I,Tanpa Tanding I,Walang Kapantay I,Tiada Tandingan I,Vô Song I,101,1,300,7,city/adventure/random_tower/icon/icon_xingxiangskill_3.png,,81001,"All allied ninjas gain 10% Taijutsu and Ninjutsu, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 5%)#L0##C0xFF3D3D#  ","All allied ninjas gain 10% Taijutsu and Ninjutsu, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 5%)#L0##C0xFF3D3D#  ",นินจาฝ่ายเราทั้งหมดเพิ่มพลังไทจูสึและนินจutsu 10% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกันอยู่แล้ว เอฟเฟกต์จะเพิ่มขึ้นอีก 5%)#L0##C0xFF3D3D#  ,"Semua ninja tim kita mendapatkan 10% Taijutsu dan Ninjutsu, berlangsung sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, efeknya meningkat 5%)#L0##C0xFF3D3D#  ","Lahat ng ninja sa ating panig ay tumataas ng 10% Taijutsu at Ninjutsu, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may ibang parehong uri ng epekto, tataas pa ng 5%)#L0##C0xFF3D3D#  ","Semua ninja pihak kita meningkat 10% Taijutsu dan Ninjutsu, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, kesan meningkat 5%)#L0##C0xFF3D3D#  ","Toàn bộ ninja phe ta tăng 10% thể thuật và nhẫn thuật, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu ứng tăng thêm 5%)#L0##C0xFF3D3D#  "
2,Unrivaled II,Unrivaled II,ไร้เทียมทาน II,Tanpa Tanding II,Walang Kapantay II,Tiada Tandingan II,Vô Song II,201,1,200,7,city/adventure/random_tower/icon/icon_xingxiangskill_3.png,,81002,"Back row allies gain 15% Taijutsu and Ninjutsu, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 8%)#L0##C0xFF3D3D#  ","Back row allies gain 15% Taijutsu and Ninjutsu, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 8%)#L0##C0xFF3D3D#  ",แนวหลังฝ่ายเราเพิ่มพลังไทจูสึและนินจutsu 15% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกันอยู่แล้ว เอฟเฟกต์จะเพิ่มขึ้นอีก 8%)#L0##C0xFF3D3D#  ,"Barisan belakang tim kita mendapatkan 15% Taijutsu dan Ninjutsu, berlangsung sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis lainnya, efeknya meningkat 8%)#L0##C0xFF3D3D#  ","Ang likurang hanay ng ating panig ay tumataas ng 15% Taijutsu at Ninjutsu, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may ibang parehong uri ng epekto, tataas pa ng 8%)#L0##C0xFF3D3D#  ","Barisan belakang pihak kita meningkat 15% Taijutsu dan Ninjutsu, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, kesan meningkat 8%)#L0##C0xFF3D3D#  ","Hàng sau phe ta tăng 15% thể thuật và nhẫn thuật, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu ứng tăng thêm 8%)#L0##C0xFF3D3D#  "
3,Unrivaled III,Unrivaled III,ไร้เทียมทาน III,Tanpa Tanding III,Walang Kapantay III,Tiada Tandingan III,Vô Song III,301,1,100,7,city/adventure/random_tower/icon/icon_xingxiangskill_3.png,,81003,"The allied organization unit with the highest attack gains 20% Taijutsu and Ninjutsu #L0##C0xFF3D3D#(If Unrivaled I, II, III are also present, the effect is doubled)#L0##C0xFF3D3D#  ","The allied organization unit with the highest attack gains 20% Taijutsu and Ninjutsu #L0##C0xFF3D3D#(If Unrivaled I, II, III are also present, the effect is doubled)#L0##C0xFF3D3D#  ","หน่วยองค์กรที่มีพลังโจมตีสูงสุดของฝ่ายเราเพิ่มพลังไทจูสึและนินจutsu 20% #L0##C0xFF3D3D#(หากมี Vô Song I, II, III เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ","Unit organisasi dengan serangan tertinggi di tim kita mendapatkan 20% Taijutsu dan Ninjutsu #L0##C0xFF3D3D#(Jika memiliki Vô Song I, II, III, efeknya akan berlipat ganda)#L0##C0xFF3D3D#  ","Ang yunit ng organisasyon na may pinakamataas na atake sa ating panig ay tumataas ng 20% Taijutsu at Ninjutsu #L0##C0xFF3D3D#(Kung may Vô Song I, II, III, dodoble ang epekto)#L0##C0xFF3D3D#  ","Unit organisasi dengan serangan tertinggi pihak kita meningkat 20% Taijutsu dan Ninjutsu #L0##C0xFF3D3D#(Jika memiliki Vô Song I, II, III, kesan digandakan)#L0##C0xFF3D3D#  ","Tổ chức có tấn công cao nhất phe ta tăng 20% thể thuật và nhẫn thuật #L0##C0xFF3D3D#(Nếu đồng thời có Vô Song I, Vô Song II, Vô Song III, hiệu ứng nhân đôi)#L0##C0xFF3D3D#  "
4,Cold Blood I,Cold Blood I,เลือดเย็น I,Darah Dingin I,Malamig na Dugo I,Darah Sejuk I,Lãnh Huyết I,201,2,300,4,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,,81004,"Back row allies gain 10% Crit Rate #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ","Back row allies gain 10% Crit Rate #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ",แนวหลังฝ่ายเราเพิ่มอัตราคริติคอล 10% #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Barisan belakang tim kita mendapatkan 10% Peluang Critical #L0##C0xFF3D3D#(Jika ada ninja sejenis, efeknya akan berlipat ganda)#L0##C0xFF3D3D#  ","Ang likurang hanay ng ating panig ay tumataas ng 10% Crit Rate #L0##C0xFF3D3D#(Kung may parehong uri ng ninja, dodoble ang epekto)#L0##C0xFF3D3D#  ","Barisan belakang pihak kita meningkat 10% Kadar Kritikal #L0##C0xFF3D3D#(Jika ada ninja jenis yang sama, kesan digandakan)#L0##C0xFF3D3D#  ","Hàng sau phe ta tăng 10% tỷ lệ bạo kích #L0##C0xFF3D3D#(Nếu có ninja cùng loại khác, hiệu ứng nhân đôi)#L0##C0xFF3D3D#  "
5,Cold Blood II,Cold Blood II,เลือดเย็น II,Darah Dingin II,Malamig na Dugo II,Darah Sejuk II,Lãnh Huyết II,301,2,200,4,city/adventure/random_tower/icon/icon_xingxiangskill_4.png,,81005,"Back row allies gain 20% Crit Damage #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ","Back row allies gain 20% Crit Damage #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ",แนวหลังฝ่ายเราเพิ่มความเสียหายคริติคอล 20% #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Barisan belakang tim kita mendapatkan 20% Damage Critical #L0##C0xFF3D3D#(Jika ada ninja sejenis, efeknya akan berlipat ganda)#L0##C0xFF3D3D#  ","Ang likurang hanay ng ating panig ay tumataas ng 20% Crit Damage #L0##C0xFF3D3D#(Kung may parehong uri ng ninja, dodoble ang epekto)#L0##C0xFF3D3D#  ","Barisan belakang pihak kita meningkat 20% Kerosakan Kritikal #L0##C0xFF3D3D#(Jika ada ninja jenis yang sama, kesan digandakan)#L0##C0xFF3D3D#  ","Hàng sau phe ta tăng 20% sát thương bạo kích #L0##C0xFF3D3D#(Nếu có ninja cùng loại khác, hiệu ứng nhân đôi)#L0##C0xFF3D3D#  "
6,Bloodthirsty I,Bloodthirsty I,กระหายเลือด I,Kehausan Darah I,Pagkahalimaw I,Kehausan Darah I,Khát Máu I,1201,3,300,7,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,,81006,"Back row allies gain 8% Lifesteal #L0##C0xFF3D3D#(If there is another similar ninja, Lifesteal increases by 4%)#L0##C0xFF3D3D#","Back row allies gain 8% Lifesteal #L0##C0xFF3D3D#(If there is another similar ninja, Lifesteal increases by 4%)#L0##C0xFF3D3D#",แนวหลังฝ่ายเราเพิ่มดูดเลือด 8% #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน การดูดเลือดจะเพิ่มอีก 4%)#L0##C0xFF3D3D#,"Barisan belakang tim kita mendapatkan 8% Lifesteal #L0##C0xFF3D3D#(Jika ada ninja sejenis, Lifesteal meningkat 4%)#L0##C0xFF3D3D#","Ang likurang hanay ng ating panig ay tumataas ng 8% Lifesteal #L0##C0xFF3D3D#(Kung may parehong uri ng ninja, tataas pa ng 4%)#L0##C0xFF3D3D#","Barisan belakang pihak kita meningkat 8% Hisap Nyawa #L0##C0xFF3D3D#(Jika ada ninja jenis yang sama, Hisap Nyawa meningkat 4%)#L0##C0xFF3D3D#","Hàng sau phe ta tăng 8% hút máu #L0##C0xFF3D3D#(Nếu có ninja cùng loại khác, hiệu ứng hút máu tăng thêm 4%)#L0##C0xFF3D3D#  "
7,Bloodthirsty II,Bloodthirsty II,กระหายเลือด II,Kehausan Darah II,Pagkahalimaw II,Kehausan Darah II,Khát Máu II,1301,3,200,7,city/adventure/random_tower/icon/icon_xingxiangskill_8.png,,81007,"When our team attacks, steals 5% Taijutsu and Ninjutsu, stacks up to 2 times #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ","When our team attacks, steals 5% Taijutsu and Ninjutsu, stacks up to 2 times #L0##C0xFF3D3D#(If there is another similar ninja, the effect is doubled)#L0##C0xFF3D3D#  ",เมื่อฝ่ายเราทำการโจมตี จะขโมยไทจูสึและนินจutsu 5% สะสมได้สูงสุด 2 ครั้ง #L0##C0xFF3D3D#(หากมีนินจาประเภทเดียวกัน เอฟเฟกต์จะเพิ่มเป็นสองเท่า)#L0##C0xFF3D3D#  ,"Saat tim kita menyerang, mencuri 5% Taijutsu dan Ninjutsu, maksimal ditumpuk 2 kali #L0##C0xFF3D3D#(Jika ada ninja sejenis, efeknya menjadi dua kali lipat)#L0##C0xFF3D3D#  ","Kapag umatake ang ating panig, nagnanakaw ng 5% Taijutsu at Ninjutsu, hanggang 2 beses na pinagsasama #L0##C0xFF3D3D#(Kung may kaparehong ninja, dodoble ang epekto)#L0##C0xFF3D3D#  ","Apabila pihak kita menyerang, mencuri 5% Taijutsu dan Ninjutsu, boleh ditumpuk maksimum 2 kali #L0##C0xFF3D3D#(Jika ada ninja jenis yang sama, kesan digandakan)#L0##C0xFF3D3D#  ","Khi phe ta tấn công, kèm theo hiệu ứng đánh cắp 5% thể thuật và nhẫn thuật, tối đa cộng dồn 2 lần #L0##C0xFF3D3D#(Nếu có ninja cùng loại khác, hiệu ứng nhân đôi)#L0##C0xFF3D3D#  "
8,Wind Veil I,Wind Veil I,ผ้าคลุมลม I,Selimut Angin I,Pananakip ng Hangin I,Selimut Angin I,Phong Mang I,101,4,300,7,city/adventure/random_tower/icon/icon_xingxiangskill_7.png,,81008,"All allied ninjas gain 10% damage, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 5%)#L0##C0xFF3D3D#  ","All allied ninjas gain 10% damage, lasting the entire battle #L0##C0xFF3D3D#(If there is another effect of the same type, the bonus increases by 5%)#L0##C0xFF3D3D#  ",นินจาฝ่ายเราทั้งหมดเพิ่มความเสียหาย 10% ตลอดการต่อสู้ #L0##C0xFF3D3D#(หากมีเอฟเฟกต์ประเภทเดียวกัน เอฟเฟกต์เพิ่มอีก 5%)#L0##C0xFF3D3D#  ,"Semua ninja tim kita meningkatkan 10% damage, berlangsung sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada efek sejenis, bonus meningkat 5%)#L0##C0xFF3D3D#  ","Lahat ng ninja sa ating panig ay tumataas ng 10% damage, tumatagal sa buong laban #L0##C0xFF3D3D#(Kung may parehong epekto, tataas pa ng 5%)#L0##C0xFF3D3D#  ","Semua ninja pihak kita meningkat 10% kerosakan, sepanjang pertempuran #L0##C0xFF3D3D#(Jika ada kesan jenis yang sama, bonus meningkat 5%)#L0##C0xFF3D3D#  ","Toàn bộ ninja phe ta tăng 10% sát thương, kéo dài toàn trận #L0##C0xFF3D3D#(Nếu có hiệu ứng cùng loại khác, hiệu ứng tăng thêm 5%)#L0##C0xFF3D3D#  "
