VariableName,routeTag,type,boxDropLibs,boxDropLibs2,supplyGroup,gateIDs,lastCanPass,historyCanPass,version
Defaults,1,1,{},{},0,<>,0,0,0
ID,线路标志 (1=普通 2=进阶),节点类型 (1=战斗;2=宝箱;3=救援;4=多选),宝箱首次掉落,宝箱加开掉落,救援组,关卡ID,上次可碾压X节点（包含）,历史可碾压X节点（包含）,路线版本
1,,,,,,<101001>,,,
2,,,,,,<101002>,,,
3,,,,,,<101011>,,,
4,,4,,,1,<101003>,,,
5,,2,{libs=<22109;22113>},{libs=<22110;22106;22106;22106;22106;22106>},,,,,
6,,,,,,<101004>,3,3,
7,,,,,,<101012>,3,3,
8,,4,,,1,<101005>,4,3,
9,,2,{libs=<22109;22113;22118>},{libs=<22110;22107;22107;22107;22107;22107>},,,5,4,
10,,4,,,,<101006;101013>,6,4,
11,,,,,,<101007>,7,4,
12,,4,,,2,<101008>,8,4,
13,,,,,,<101014>,8,6,
14,,2,{libs=<22109;22113;22118>},{libs=<22110;22108;22108;22108;22108;22108;22108>},,,8,6,
15,,,,,,<101021>,10,6,
101,2,,,,,<102001>,,,
102,2,,,,,<102002>,,,
103,2,,,,,<102011>,,,
104,2,4,,,1,<102003>,,,
105,2,2,{libs=<22111;22114>},{libs=<22112;22106;22106;22106;22106;22106;22106>},,,,,
106,2,,,,,<102004>,3,3,
107,2,,,,,<102012>,3,3,
108,2,4,,,1,<102005>,4,3,
109,2,2,{libs=<22111;22114;22119>},{libs=<22112;22107;22107;22107;22107;22107;22107>},,,4,3,
110,2,4,,,,<102006;102013>,6,4,
111,2,,,,,<102014>,6,4,
112,2,4,,,2,<102007>,7,4,
113,2,,,,,<102021>,7,6,
114,2,2,{libs=<22111;22114;22119>},{libs=<22112;22108;22108;22108;22108;22108;22108;22108>},,,8,6,
115,2,,,,,<102022>,8,6,
1001,,,,,,<101001>,,,1001
1002,,,,,,<101002>,,,1001
1003,,,,,,<101011>,,,1001
1004,,4,,,1,<101003>,,,1001
1005,,2,{libs=<22109;22113>},{libs=<22110;22106;22106;22106;22106;22106>},,,,,1001
1006,,,,,,<101004>,3,3,1001
1007,,,,,,<101012>,3,3,1001
1008,,4,,,1,<101005>,4,3,1001
1009,,2,{libs=<22109;22113;22118>},{libs=<22110;22107;22107;22107;22107;22107>},,,5,4,1001
1010,,4,,,,<101006;101013>,6,4,1001
1011,,3,,,2,,6,4,1001
1012,,,,,,<101007>,7,4,1001
1013,,4,,,2,<101008>,8,4,1001
1014,,,,,,<101014>,8,6,1001
1015,,3,,,2,,8,6,1001
1016,,2,{libs=<22109;22113;22118>},{libs=<22110;22108;22108;22108;22108;22108;22108>},,,8,6,1001
1017,,,,,,<101021>,10,6,1001
2001,2,,,,,<102001>,,,2001
2002,2,,,,,<102002>,,,2001
2003,2,,,,,<102011>,,,2001
2004,2,4,,,1,<102003>,,,2001
2005,2,2,{libs=<22111;22114>},{libs=<22112;22106;22106;22106;22106;22106;22106>},,,,,2001
2006,2,,,,,<102004>,3,3,2001
2007,2,,,,,<102012>,3,3,2001
2008,2,4,,,1,<102005>,4,3,2001
2009,2,2,{libs=<22111;22114;22119>},{libs=<22112;22107;22107;22107;22107;22107;22107>},,,4,3,2001
2010,2,4,,,,<102006;102013>,6,4,2001
2011,2,3,,,2,,6,4,2001
2012,2,,,,,<102014>,6,4,2001
2013,2,4,,,2,<102007>,7,4,2001
2014,2,,,,,<102021>,7,6,2001
2015,2,3,,,2,,7,6,2001
2016,2,2,{libs=<22111;22114;22119>},{libs=<22112;22108;22108;22108;22108;22108;22108;22108>},,,8,6,2001
2017,2,,,,,<102022>,8,6,2001
