VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn;in;th;en;ph;ma;vn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
1001,,{23181=5},{coin14=2000},2,24,,,,,,,,,
1002,,{23663=5},{coin14=2000},2,24,,,,,,,,,
1004,,{23592=5},{coin14=2000},2,24,,,,,,,,,
1005,,{21503=5},{coin14=5000},,,,,,,3,20,,,
1101,,{5000=10},{coin14=2000},2,24,,,,,,,,,
1102,,{514=10},{coin14=1200},3,48,,,,,,,,,
1103,,{15=5},{coin14=1500},3,24,,,,,,,,,
1104,,{7302=1},{coin14=1000},,,,,,,2,3,,,
1105,,{7303=1},{coin14=5000},,,,,,,3,3,,,
1106,,{7304=1},{coin14=15000},,,,,,,3,1,,,
1107,,{121=1},{coin14=1500},,,,,,,2,5,,,
1108,,{122=1},{coin14=100},10,12,,,,,,,,,
1109,,{123=1},{coin14=500},5,24,,,,,,,,,
1110,,{124=1},{coin14=1500},2,48,,,,,,,,,
1111,,{538=1},{coin14=5000},1,48,,,,<150;150>,1,1,,,
