VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn;in;en;ma;ph;vn;th>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
1001,,{22233=1},{coin13=120000},2,30,,,,,,,,1,<cn;in;en;ma;ph;vn;th>
1011,,{23251=3},{coin13=75000},2,24,,,,,,,,2,<cn;in;en;ma;ph;vn;th>
1021,,{502=1},{coin13=75000},2,16,,,,,,,,3,<cn;in;en;ma;ph;vn;th>
1031,,{23161=3},{coin13=60000},2,18,,,,,,,,4,<cn;in;en;ma;ph;vn;th>
1041,,{28504=1},{coin13=50000},2,24,,,,,,,,5,<cn;in;en;ma;ph;vn;th>
1051,,{23152=3},{coin13=60000},2,18,,,,,,,,6,<cn;in;en;ma;ph;vn;th>
1061,,{talent_point=1},{coin13=75000},2,24,,,,,,,,7,<cn;in;en;ma;ph;vn;th>
1071,,{28505=1},{coin13=180000},2,60,,,,,,,,8,<cn;in;en;ma;ph;vn;th>
1081,,{529=500},{coin13=90000},2,24,,,,,,,,11,<cn;in;en;ma;ph;vn;th>
1091,,{514=60},{coin13=20000},2,48,,,,,,,,13,<cn;in;en;ma;ph;vn;th>
1101,,{514=15},{coin13=5000},10,12,,,,,,,,14,<cn;in;en;ma;ph;vn;th>
1111,,{15=10},{coin13=15000},2,24,,,,,,,,15,<cn;in;en;ma;ph;vn;th>
1121,,{15=2},{coin13=3000},12,4,,,,,,,,16,<cn;in;en;ma;ph;vn;th>
1131,,{111=100},{coin13=20000},3,8,,,,,,,,10,<cn;in;en;ma;ph;vn;th>
1141,,{112=20},{coin13=30000},3,8,,,,,,,,12,<cn;in;en;ma;ph;vn;th>
1151,,{5000=20},{coin13=20000},2,12,,,,,,,,17,<cn;in;en;ma;ph;vn;th>
