VariableName,cardId,_name,_rarity,level,advance,star,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,speedRate,languages,hp,damage,specialDamage,defence,specialDefence,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub
Defaults,0,"""""",,80,17,12,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,0,<cn;in;kr;tw;en;vn;th;ma;ph>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,卡牌ID,名字,修正稀有度,等级,阶数,星数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,速度值继承比例,语言区域,血量,物攻,特攻,物防,特防,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性
1001,13,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1002,44,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1003,53,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1004,82,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1005,163,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1006,242,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1007,263,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1008,273,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1009,333,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1010,393,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1011,402,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1012,493,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1013,503,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1014,552,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1015,572,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1016,593,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
1017,603,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,
