VariableName,rankMax,award,award_kr,award_en,award_tw,version
Defaults,,{},{},{},{},0
ID(区间最小排名）,最大排名,赛季结算奖励,赛季结算奖励,赛季结算奖励,赛季结算奖励,奖励版本
1,1,{gold=7500000;521=15;coin12=420000;rmb=2000},{rmb=1500;coin12=400000;gold=6000000},{rmb=1500;coin12=400000;gold=6000000},{rmb=1500;coin12=400000;gold=6000000},
2,2,{gold=6875000;521=13;coin12=400000;rmb=1750},{rmb=1300;coin12=380000;gold=5500000},{rmb=1300;coin12=380000;gold=5500000},{rmb=1300;coin12=380000;gold=5500000},
3,3,{gold=6250000;521=11;coin12=380000;rmb=1500},{rmb=1100;coin12=360000;gold=5000000},{rmb=1100;coin12=360000;gold=5000000},{rmb=1100;coin12=360000;gold=5000000},
4,4,{gold=6000000;521=10;coin12=370000;rmb=1300},{rmb=1000;coin12=350000;gold=4800000},{rmb=1000;coin12=350000;gold=4800000},{rmb=1000;coin12=350000;gold=4800000},
5,5,{gold=5750000;521=9;coin12=360000;rmb=1200},{rmb=900;coin12=340000;gold=4600000},{rmb=900;coin12=340000;gold=4600000},{rmb=900;coin12=340000;gold=4600000},
6,6,{gold=5500000;521=8;coin12=350000;rmb=1100},{rmb=800;coin12=330000;gold=4400000},{rmb=800;coin12=330000;gold=4400000},{rmb=800;coin12=330000;gold=4400000},
7,7,{gold=5250000;521=7;coin12=340000;rmb=1000},{rmb=750;coin12=320000;gold=4200000},{rmb=750;coin12=320000;gold=4200000},{rmb=750;coin12=320000;gold=4200000},
8,8,{gold=5000000;521=6;coin12=330000;rmb=900},{rmb=700;coin12=310000;gold=4000000},{rmb=700;coin12=310000;gold=4000000},{rmb=700;coin12=310000;gold=4000000},
9,9,{gold=4750000;521=5;coin12=320000;rmb=850},{rmb=650;coin12=300000;gold=3800000},{rmb=650;coin12=300000;gold=3800000},{rmb=650;coin12=300000;gold=3800000},
10,10,{gold=4500000;521=5;coin12=310000;rmb=800},{rmb=600;coin12=290000;gold=3600000},{rmb=600;coin12=290000;gold=3600000},{rmb=600;coin12=290000;gold=3600000},
11,12,{rmb=780;coin12=300000;gold=4250000},{rmb=580;coin12=280000;gold=3400000},{rmb=580;coin12=280000;gold=3400000},{rmb=580;coin12=280000;gold=3400000},
13,15,{rmb=760;coin12=290000;gold=4000000},{rmb=560;coin12=270000;gold=3200000},{rmb=560;coin12=270000;gold=3200000},{rmb=560;coin12=270000;gold=3200000},
16,20,{rmb=740;coin12=280000;gold=3750000},{rmb=540;coin12=260000;gold=3000000},{rmb=540;coin12=260000;gold=3000000},{rmb=540;coin12=260000;gold=3000000},
21,30,{rmb=720;coin12=270000;gold=3500000},{rmb=520;coin12=250000;gold=2800000},{rmb=520;coin12=250000;gold=2800000},{rmb=520;coin12=250000;gold=2800000},
31,40,{rmb=700;coin12=260000;gold=3250000},{rmb=500;coin12=240000;gold=2600000},{rmb=500;coin12=240000;gold=2600000},{rmb=500;coin12=240000;gold=2600000},
41,50,{rmb=680;coin12=250000;gold=3000000},{rmb=480;coin12=230000;gold=2400000},{rmb=480;coin12=230000;gold=2400000},{rmb=480;coin12=230000;gold=2400000},
51,70,{rmb=660;coin12=240000;gold=2750000},{rmb=460;coin12=220000;gold=2200000},{rmb=460;coin12=220000;gold=2200000},{rmb=460;coin12=220000;gold=2200000},
71,100,{rmb=640;coin12=230000;gold=2500000},{rmb=440;coin12=210000;gold=2000000},{rmb=440;coin12=210000;gold=2000000},{rmb=440;coin12=210000;gold=2000000},
101,150,{rmb=620;coin12=220000;gold=2375000},{rmb=420;coin12=200000;gold=1900000},{rmb=420;coin12=200000;gold=1900000},{rmb=420;coin12=200000;gold=1900000},
151,200,{rmb=600;coin12=210000;gold=2250000},{rmb=400;coin12=190000;gold=1800000},{rmb=400;coin12=190000;gold=1800000},{rmb=400;coin12=190000;gold=1800000},
201,300,{rmb=580;coin12=200000;gold=2125000},{rmb=380;coin12=180000;gold=1700000},{rmb=380;coin12=180000;gold=1700000},{rmb=380;coin12=180000;gold=1700000},
301,400,{rmb=560;coin12=190000;gold=2000000},{rmb=360;coin12=170000;gold=1600000},{rmb=360;coin12=170000;gold=1600000},{rmb=360;coin12=170000;gold=1600000},
401,500,{rmb=540;coin12=180000;gold=1875000},{rmb=340;coin12=160000;gold=1500000},{rmb=340;coin12=160000;gold=1500000},{rmb=340;coin12=160000;gold=1500000},
501,700,{rmb=520;coin12=170000;gold=1750000},{rmb=320;coin12=150000;gold=1400000},{rmb=320;coin12=150000;gold=1400000},{rmb=320;coin12=150000;gold=1400000},
701,1000,{rmb=500;coin12=160000;gold=1625000},{rmb=300;coin12=140000;gold=1300000},{rmb=300;coin12=140000;gold=1300000},{rmb=300;coin12=140000;gold=1300000},
1001,2000,{rmb=480;coin12=150000;gold=1500000},{rmb=290;coin12=130000;gold=1200000},{rmb=290;coin12=130000;gold=1200000},{rmb=290;coin12=130000;gold=1200000},
2001,3000,{rmb=460;coin12=140000;gold=1375000},{rmb=280;coin12=120000;gold=1100000},{rmb=280;coin12=120000;gold=1100000},{rmb=280;coin12=120000;gold=1100000},
3001,5000,{rmb=440;coin12=130000;gold=1250000},{rmb=270;coin12=110000;gold=1000000},{rmb=270;coin12=110000;gold=1000000},{rmb=270;coin12=110000;gold=1000000},
5001,10000,{rmb=420;coin12=120000;gold=1125000},{rmb=260;coin12=100000;gold=900000},{rmb=260;coin12=100000;gold=900000},{rmb=260;coin12=100000;gold=900000},
10001,999999,{rmb=400;coin12=110000;gold=1000000},{rmb=250;coin12=90000;gold=800000},{rmb=250;coin12=90000;gold=800000},{rmb=250;coin12=90000;gold=800000},
