VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,topScore,limitType,limitTimes,showUnable,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,0,FALSE,<cn;in;vn;en;th;tw;ph;ma>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,历史最高积分限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
701,,{6059=1},{coin12=360000},,,,,,,1200,3,1,,<cn;in;vn;en;th;tw;ph;ma>
711,,{993=1},{coin12=80000},,,,,,,1200,3,1,,<cn;in;vn;en;th;tw;ph;ma>
715,,{23631=1},{coin12=6000},,,,,,,800,3,20,,<cn;in;vn;en;th;tw;ph;ma>
721,,{501=1},{coin12=15000},,,,,,,600,3,3,,<cn;in;vn;en;th;tw;ph;ma>
731,,{2152=1},{coin12=36000},,,,,,,600,3,1,,<cn;in;vn;en;th;tw;ph;ma>
741,,{962=1},{coin12=24000},,,,,,,600,3,3,,<cn;in;vn;en;th;tw;ph;ma>
751,,{502=1},{coin12=8000},,,,,,,400,3,10,,<cn;in;vn;en;th;tw;ph;ma>
755,,{20641=3},{coin12=10000},,,,,,,400,3,50,,<cn;in;vn;en;th;tw;ph;ma>
761,,{22241=3},{coin12=8000},,,,,,,200,3,50,,<cn;in;vn;en;th;tw;ph;ma>
771,,{22401=3},{coin12=8000},,,,,,,200,3,50,,<cn;in;vn;en;th;tw;ph;ma>
775,,{22471=3},{coin12=8000},,,,,,,200,3,50,,<cn;in;vn;en;th;tw;ph;ma>
781,,{gold=200000},{coin12=3600},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
791,,{15=10},{coin12=3000},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
801,,{4000=50},{coin12=1500},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
811,,{452=20},{coin12=1000},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
821,,{850=80},{coin12=1000},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
831,,{851=40},{coin12=1000},,,,,,,,3,20,,<cn;in;vn;en;th;tw;ph;ma>
