VariableName,_relative,_linked,day,theme,invalidMarkIDs,invalidMegaCardIDs,invalidMarkIDs_kr,invalidMegaCardIDs_kr,invalidMarkIDs_tw,invalidMegaCardIDs_tw,invalidMarkIDs_en,invalidMegaCardIDs_en
Defaults,,,0,0,<>,<>,<>,<>,<>,<>,<>,<>
ID,相对时间,关联（1-表示在开战时间，0-表示无）,本期战斗天数,主题,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id,非限制赛禁用markID（不包含Mega）,非限制赛禁用Meag卡的card_id
101,,,1,,,,,,,,,
102,,,2,,,,,,,,,
103,,,3,,,,,,,,,
104,,,4,,,,,,,,,
105,,,5,,,,,,,,,
106,,,6,,,,,,,,,
107,,,7,,,,,,,,,
108,,,8,4,,,,,,,,
109,,,9,4,,,,,,,,
110,,,10,,,,,,,,,
111,,,11,,,,,,,,,
112,,,12,,,,,,,,,
113,,,13,,,,,,,,,
114,,,14,,,,,,,,,
115,,,15,3,,,,,,,,
116,,,16,3,,,,,,,,
117,,,17,,,,,,,,,
118,,,18,,,,,,,,,
119,,,19,,,,,,,,,
120,,,20,,,,,,,,,
121,,,21,,,,,,,,,
122,,,22,2,,,,,,,,
123,,,23,2,,,,,,,,
124,,,24,,,,,,,,,
125,,,25,,,,,,,,,
126,,,26,,,,,,,,,
127,,,27,,,,,,,,,
128,,,28,,,,,,,,,
129,,,29,1,,,,,,,,
130,,,30,1,,,,,,,,
131,,,31,,,,,,,,,
132,,,32,,,,,,,,,
133,,,33,,,,,,,,,
134,,,34,,,,,,,,,
135,,,35,,,,,,,,,
136,,,36,2,,,,,,,,
137,,,37,2,,,,,,,,
138,,,38,,,,,,,,,
139,,,39,,,,,,,,,
140,,,40,,,,,,,,,
141,,,41,,,,,,,,,
142,,,42,,,,,,,,,
143,,,43,3,,,,,,,,
144,,,44,3,,,,,,,,
