VariableName,service,date,endDate,servers,cross,version
Defaults,"""""",20170120,0,<>,"""""",0
ID,玩法,玩法有效日期,结束日期,跨服组,手动分配cross,奖励版本
1,crosscraft,20230403,,<game.dev.1>,crosscraft.dev.1,
3,crossarena,20230403,,<game.dev.1>,crossarena.dev.1,
8,crossfishing,20230403,,<game.dev.1>,crossfishing.dev.1,
,crossgym,20230403,20231215,<game.dev.1>,crossgym.dev.1,
,onlinefight,20230403,20231201,<game.dev.1>,onlinefight.dev.1,
,huodongboss,20231028,20230310,<game.dev.1>,huodongboss.vn.1,
,crossunionqa,20230403,20230310,<game.dev.1>,crossunionqa.dev.1,
,crossredpacket,20230403,20230310,<game.dev.1>,crossredpacket.dev.1,
,skyscraper,20230403,20230310,<game.dev.1>,skyscraper.dev.1,
,crossmine,20230403,20230310,<game.dev.1>,crossmine.dev.1,
,bravechallengeranking,20230403,20230310,<game.dev.1>,bravechallengeranking.dev.1,
,horseraceranking,20230403,20230310,<game.dev.1>,horseraceranking.dev.1,
,crosshorse,20230403,20230310,<game.dev.1>,crosshorse.dev.1,
,volleyballranking,20230403,20230310,<game.dev.1>,volleyballranking.dev.1,
,shavediceranking,20230403,20230310,<game.dev.1>,shavediceranking.dev.1,
,normalbravechallengeranking,20230403,20230310,<game.dev.1>,normalbravechallengeranking.dev.1,
,crossunionfight,20230403,,<game.dev.1>,crossunionfight.dev.1,
,,,,,,
9,skyscraper,20250821,20250830,<game.dev.1>,skyscraper.dev.1,
,,,,,,
,,,,,,
101,crosscraft,20250419,,<game.dev.1>,crosscraft.dev.1,0
102,crossarena,20250419,,<game.dev.1>,crossarena.dev.1,0
,crosscraft,20231101,20231101,<game.dev.1>,crosscraft.dev.1,0
,crosscraft,20231101,20231101,<game.dev.1>,crosscraft.dev.1,0
,crosscraft,20231101,20231101,<game.dev.1>,crosscraft.dev.1,0
,crossgym,20231101,20231101,<game.dev.1>,crossgym.dev.1,0
,crossgym,20231101,20231101,<game.dev.1>,crossgym.dev.1,0
,crossgym,20231101,20231101,<game.dev.1>,crossgym.dev.1,0
,crossgym,20231101,20231101,<game.dev.1>,crossgym.dev.1,0
,crossgym,20231101,20231101,<game.dev.1>,crossgym.dev.1,0
1001,onlinefight,20250524,20250725,<game.dev.1>,onlinefight.dev.1,
,,,,,,
1101,crosscraft,20250901,,<game.dev.1>,crosscraft.dev.1,0
1102,crossarena,20250901,,<game.dev.1>,crossarena.dev.1,0
1103,crossmine,20250901,,<game.dev.1>,crossmine.dev.1,
,,,,,,
,,,,,,
2001,crosscraft,20250524,20250524,<game.dev.1>,crosscraft.dev.1,0
2002,crossarena,20250524,20250524,<game.dev.1>,crossarena.dev.1,0
,,,,,,
4001,crosscraft,20250901,,<game.dev.1>,crosscraft.dev.1,0
5001,crossarena,20250901,,<game.dev.1>,crossarena.dev.1,0
6001,crossmine,20250901,,<game.dev.1>,crossmine.dev.1,
,,,,,,
13001,skyscraper,20250824,20250831,<game.dev.1>,skyscraper.th.1,
,,,,,,
20001,crosscraft,20230203,,<game.vn.1;game.vn.2;game.vn.3>,crosscraft.vn.1,0
21001,crossarena,20230203,20230303,<game.vn.1;game.vn.2;game.vn.3>,crossarena.vn.1,0
22001,crossmine,20230203,,<game.vn.1;game.vn.2;game.vn.3>,crossmine.vn.1,
23001,skyscraper,20230203,20230210,<game.en.1;game.en.2;game.en.3;game.en.4;game.en.5;game.en.6;game.en.7;game.en.8;game.en.9;game.en.10;game.en.10;game.en.11;game.en.12;game.en.13;game.en.14;game.en.15;game.en.16;game.en.17>,skyscraper.en.1,
,,,,,,
30001,crossarena,20251026,20251122,<game.dev.1>,crossarena.dev.1, 
31001,crosscraft,20251026,,<game.dev.1>,crosscraft.dev.1,0
32001,crossmine,20251026,,<game.dev.1>,crossmine.dev.1,
