VariableName,range,award,flag,version
Defaults,0,{},0,0
ID,最大排名,结算奖励,1-全服 0-战区,奖励版本
1,1,{coin8=400000;9030=1;gold=6000000;rmb=2000},1,
2,2,{coin8=390000;9030=1;gold=5800000;rmb=1900},1,
3,3,{coin8=380000;9030=1;gold=5600000;rmb=1800},1,
4,4,{coin8=370000;9031=1;gold=5400000;rmb=1700},1,
5,5,{coin8=360000;9031=1;gold=5200000;rmb=1600},1,
6,6,{coin8=350000;9031=1;gold=5000000;rmb=1500},1,
7,7,{coin8=340000;9031=1;gold=4800000;rmb=1400},1,
8,8,{coin8=330000;9031=1;gold=4600000;rmb=1300},1,
9,9,{coin8=320000;9031=1;gold=4400000;rmb=1200},1,
10,10,{coin8=310000;9031=1;gold=4200000;rmb=1100},1,
11,12,{coin8=300000;9032=1;gold=4000000;rmb=1050},1,
12,15,{coin8=290000;9032=1;gold=3800000;rmb=1000},1,
13,20,{coin8=280000;9032=1;gold=3600000;rmb=950},1,
14,30,{coin8=270000;9033=1;gold=3400000;rmb=900},1,
15,40,{coin8=260000;9034=1;gold=3200000;rmb=850},1,
16,50,{coin8=250000;9034=1;gold=3000000;rmb=800},1,
17,70,{coin8=240000;rmb=750;gold=2800000},1,
18,100,{coin8=230000;rmb=700;gold=2600000},1,
19,150,{coin8=220000;rmb=650;gold=2500000},1,
20,200,{coin8=210000;rmb=600;gold=2400000},1,
21,300,{coin8=200000;rmb=550;gold=2300000},1,
22,400,{coin8=190000;rmb=500;gold=2200000},1,
23,500,{coin8=180000;rmb=480;gold=2100000},1,
24,700,{coin8=170000;rmb=460;gold=2000000},1,
25,1000,{coin8=160000;rmb=440;gold=1900000},1,
26,2000,{coin8=150000;rmb=420;gold=1800000},1,
27,3000,{coin8=140000;rmb=400;gold=1700000},1,
28,4000,{coin8=130000;rmb=380;gold=1600000},1,
29,5000,{coin8=120000;rmb=360;gold=1500000},1,
30,7000,{coin8=110000;rmb=340;gold=1400000},1,
31,10000,{coin8=100000;rmb=320;gold=1300000},1,
32,999999,{coin8=90000;rmb=300;gold=1200000},1,
101,1,{gold=10000},,
102,2,{gold=10000},,
103,3,{gold=10000},,
104,4,{gold=10000},,
105,5,{gold=10000},,
106,6,{gold=10000},,
107,7,{gold=10000},,
108,8,{gold=10000},,
109,9,{gold=10000},,
110,10,{gold=10000},,
111,12,{gold=10000},,
112,15,{gold=10000},,
113,20,{gold=10000},,
114,30,{gold=10000},,
115,40,{gold=10000},,
116,50,{gold=10000},,
117,70,{gold=10000},,
118,100,{gold=10000},,
119,150,{gold=10000},,
120,200,{gold=10000},,
121,300,{gold=10000},,
122,400,{gold=10000},,
123,500,{gold=10000},,
124,700,{gold=10000},,
125,1000,{gold=10000},,
126,2000,{gold=10000},,
127,3000,{gold=10000},,
128,4000,{gold=10000},,
129,5000,{gold=10000},,
130,7000,{gold=10000},,
131,10000,{gold=10000},,
132,999999,{gold=10000},,
