VariableName,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,sortValue,languages
Defaults,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,0,<cn;ma;in;ph;en;vn;th>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,起始VIP等级,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,显示排序小的在前,语言区域
2003,,{23303=3},{coin15=72000},1,24,,,,,,,,1,<cn;ma;in;ph;en;vn;th>
2001,,{20572=3},{coin15=72000},1,24,,,,,,,,2,<cn;ma;in;ph;en;vn;th>
2011,,{22023=3},{coin15=36000},1,24,,,,,,,,3,<cn;ma;in;ph;en;vn;th>
2021,,{21813=3},{coin15=36000},1,24,,,,,,,,4,<cn;ma;in;ph;en;vn;th>
2031,,{21772=3},{coin15=36000},1,24,,,,,,,,5,<cn;ma;in;ph;en;vn;th>
2041,,{21253=3},{coin15=36000},1,24,,,,,,,,6,<cn;ma;in;ph;en;vn;th>
2051,,{20972=3},{coin15=36000},1,24,,,,,,,,7,<cn;ma;in;ph;en;vn;th>
2062,,{6050=1},{coin15=300000},1,168,,,,,,,,8,<cn;ma;in;ph;en;vn;th>
2063,,{59003=1},{coin15=50000},2,72,,,,,,,,10,<cn;ma;in;ph;en;vn;th>
2082,,{121=5},{coin15=100000},2,72,,,,,,,,11,<cn;ma;in;ph;en;vn;th>
2095,,{124=2},{coin15=9000},2,48,,,,,,,,12,<cn;ma;in;ph;en;vn;th>
2096,,{123=2},{coin15=3000},5,12,,,,,,,,13,<cn;ma;in;ph;en;vn;th>
2101,,{514=30},{coin15=9000},2,48,,,,,,,,14,<cn;ma;in;ph;en;vn;th>
2111,,{514=10},{coin15=3000},10,12,,,,,,,,15,<cn;ma;in;ph;en;vn;th>
2121,,{15=10},{coin15=9000},2,24,,,,,,,,16,<cn;ma;in;ph;en;vn;th>
2131,,{15=2},{coin15=3000},12,4,,,,,,,,17,<cn;ma;in;ph;en;vn;th>
2141,,{870=20},{coin15=9000},2,18,,,,,,,,18,<cn;ma;in;ph;en;vn;th>
2151,,{930=20},{coin15=9000},2,18,,,,,,,,19,<cn;ma;in;ph;en;vn;th>
