VariableName,rankMax,award,version
Defaults,,{},0
ID,最大排名,排名奖励,奖励版本
1,1,{502=12;coin3=1000;gold=900000},
2,2,{502=10;coin3=800;gold=750000},
3,3,{502=9;coin3=650;gold=675000},
4,4,{502=8;coin3=550;gold=600000},
5,8,{502=7;coin3=450;gold=525000},
6,16,{502=6;coin3=400;gold=450000},
7,32,{502=5;coin3=360;gold=420000},
8,64,{502=5;coin3=320;gold=390000},
9,100,{502=4;coin3=290;gold=360000},
10,200,{502=4;coin3=260;gold=330000},
11,300,{502=4;coin3=240;gold=300000},
12,500,{502=3;coin3=220;gold=270000},
13,1000,{502=3;coin3=200;gold=255000},
14,2000,{502=3;coin3=180;gold=240000},
15,9999,{502=2;coin3=160;gold=225000},
