VariableName,_name,_preBehaviour,preBehaviour,damageHit,nature,damageAdd,damageDeepen,dmgDelta,natureDelta,gateDelta,reduce,strikeBlock,extraAdd,fatal,behead,damageByHpRate,finalSkillAdd,ultimateAdd,skillPower,buffAdd,randFix,limit,calcInternalDamageFinish,ignoreRoundDamage,stealth,leave,immuneAllDamage,immuneDamage,immunePhysicalDamage,immuneSpecialDamage,keepHpUnChanged,groupShield,delayDamage,damageAllocate,damageLink,protection,shield,freeze,finalRate,lockHp,rebound,suckblood,result
Defaults,,,,,,,,,,,,,,,,,,,,,,,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
ID,技能过程名功能备注(程序不读取，策划使用),前置修改数值的行为,前置修改数值的行为,伤害命中,自然属性克制,伤害加成,伤害加深,物/特/真实伤害加成,自然属性伤害加成,pvp伤害加成/减免,减伤,暴击/格挡,额外伤害,致命,斩杀,最终伤害受血量越低伤害越高buff,buff技能伤害加成,必杀加成,天气效果加成,buff增伤,伤害波动 只有技能才有伤害波动 会预处理,限制<只能填写伤害段id>,计算伤害结束,忽视战斗回合伤害,隐身,离场,免疫全伤害,免疫伤害,免疫物理伤害,免疫特殊伤害,免疫本次伤害,全体护盾,延迟伤害,伤害分摊,伤害链接,保护,护盾,冰冻,最终比率,锁1点血,反伤,吸血,流程结束
1,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
4,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,,,,,,,,,jump,,,
7,,,,,,,,"multiply|max(sum2(1),0.05)",,,,multiply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,"multiply|max(sum2(1),0.05)",,,,multiply,,,,,,,,,,,,,,,,,jump,jump,,,,,,,jump,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,,,jump,,,,,,
11,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,jump,,,,,jump,,,,,,
12,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,jump,,jump,jump,jump,jump,jump,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,,jump,jump,jump,jump,jump,,,,,
14,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,multiply,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,jump,,,,,
17,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,multiply,multiply,,,,,,,multiply,,,,,,,,,,,,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump,jump
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,multiply,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,,,,,,jump,,,jump,,,,,,
22,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:specialDefenceIgnore()*10000+4000,attacker:specialDefenceIgnore()*10000)))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,,,,,,,,,,,,jump,,,jump,,,,,,
23,,,"{buffAdd=<setValue(list(""damageRateAdd""),list(ifElse(more(attacker:speed(),target:speed()),attacker:damageRateAdd()+(moreThan(div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3,1) and 1 or div((attacker:speed()-target:speed()),attacker:speed(),attacker:speed()/1000)*3),attacker:damageRateAdd())))>;damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(more(attacker:speed(),target:speed()),attacker:ignoreDamageSub()*10000+2,attacker:ignoreDamageSub()*10000)))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:speed(),target:speed()),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(33046) or 0)*10,attacker:specialDefenceIgnore()*10000)))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,,,,,,,,,,,,
24,,,"{damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*5000))>;reduce=<setValue(list(""defenceIgnore""),list(attacker:defenceIgnore()*10000+5000))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,jump,jump,,,,,,,,,,,,,
26,,,,,,,,"multiply|max(sum2(1),0.05)",,,,,,,,,,,,,,,,,,,,,jump,jump,,,,,,,jump,,,,,,
27,,,,,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
28,,,"{damageAdd=<setValue(list(""ignoreDamageSub""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652)+2000,attacker:ignoreDamageSub()*10000+1000+600*attacker:getBuffOverlayCount(4121652))))>;reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(less(target:mp1(),target:mp1Max()),attacker:specialDefenceIgnore()*10000+4000,attacker:specialDefenceIgnore()*10000)))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jump,jump,jump,jump,jump,,jump,jump,,,,
30,,,"{calcInternalDamageFinish=<setValue(list(""calFinalDamage""),list(calFinalDamage*(1+0.05*attacker:getBuffOverlayCount(4101131))))>;finalRate=<setValue(list(""finalDamageSub""),list(target:finalDamageSub()*10000-5000))>;damageAdd=<setValue(list(""damageSub""),list(target:damageSub()*10000-5000))>;reduce=<setValue(list(""specialDefenceIgnore""),list(attacker:specialDefenceIgnore()*10000+5000))>}",,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,,,,,,,,,,jump,,jump,,,,,,,,,
101,,,,multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,,,multiply,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,
111,,,"{reduce=<setValue(list(""specialDefenceIgnore""),list(ifElse(more(attacker:star(),7) and target:hasBuffGroup(1500,1510,1520),attacker:specialDefenceIgnore()*10000+2000+(attacker:skillLv(116,126,136) or 0)*10-10,attacker:specialDefenceIgnore()*10000)))>}",multiply,multiply,"multiply|max(sum2(1),0.05)",sum2,sum2,sum2,sum2,multiply,multiply,"multiply|max(sum1(1),0.05)",sum1,sum1,sum1,sum1,multiply,multiply,multiply,,10000,out,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
