VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
Defaults,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
1,gold1,,0,1,,,,,,,,,,{220=1},45,{221=1},25,{222=1},30,,,,,,,,,,,,,,
2,gold10,,0,1,,,,,,,,,,{222=3;220=4;221=3},100,{222=4;220=3;221=3},80,{222=2;220=5;221=3},120,{222=3;220=5;221=2},120,{222=4;220=4;221=2},100,{222=3;220=5;221=2},120,,,,,,,,
11,rmb1,,4,1,,,,,,,,,,{203=1},100,,,,,,,,,,,,,,,,,,
12,rmb1,,4,5,,,,,,,,,,{207=1},100,,,,,,,,,,,,,,,,,,
13,rmb1,,,6,,,,10,0.05,0.02,0.3,15,20,{201=1},100,,,,,,,,,,,,,,,,,,
14,rmb1,,0,2,,,,,,,,,,{205=1},50,{206=1},50,,,,,,,,,,,,,,,,
15,rmb1,,4,2,,,,,,,,,,{204=1},100,,,,,,,,,,,,,,,,,,
16,rmb1,,,6,,,,30,0.02,0.006,0.5,,80,{207=1},100,,,,,,,,,,,,,,,,,,
17,rmb1,,,60,,,1,55,0.1,0.006,0.5,,99999,{200=1},100,,,,,,,,,,,,,,,,,,
18,rmb1,,,149,,,99999,139,0.1,0.006,0.5,,90,{200=1},100,,,,,,,,,,,,,,,,,,
21,rmb10,,4,1,,,,,,,,,,{205=3;207=1;206=6},100,{205=4;207=1;206=5},100,,,,,,,,,,,,,,,,
22,rmb10,,,2,,,1,4,0.5,0.5,1,2,999999,{201=1;205=3;206=6},,{201=1;205=4;206=5},,{201=1;205=5;206=4},,{201=2;205=3;206=5},20,{201=2;205=4;206=4},20,{201=2;205=5;206=3},20,{201=3;205=2;206=5},,{201=3;205=3;206=4},,{201=3;205=4;206=3},,,
23,rmb10,,,2,,,1,10,0.01,0.005,0.5,40,,{201=1;205=3;206=6},,{201=1;205=4;206=5},,{201=1;205=5;206=4},,{201=2;205=3;206=5},,{201=2;205=4;206=4},,{201=2;205=5;206=3},,{201=3;205=2;206=5},20,{201=3;205=3;206=4},20,{201=3;205=4;206=3},20,,
