VariableName,name,name_vn,attrs,cards,priviewId
Defaults,"""""",,<>,<>,62
ID,组名称,组名称,包含属性,卡牌id,预览对应ID
1,Lửa,,<2>,<601;1171;1231;741;241;3151;2991>,
2,Nước,,<3;9>,<631;1241;1311;2721;491;2031>,
3,Đất,,<5>,<331;591;731;881;1221>,
4,Băng Yêu Tinh,,<6;18>,<721;3021;1081;1391;3351;1921>,
5,Thép Đá,,<13;17>,<721;3021;1081;1391;3351;1921>,
6,Ác Độc,,<16;8>,<1081;1171;1841;2721;3141;161>,
7,Cỏ Sâu Phổ,,<4;12;1>,<1071;1421;571;1291;3151;3661;2471>,
8,Siêu Rồng U Ám,,<11;15;14>,<261;391;1811;3541;3001;3591;1391;2991>,
