VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
Defaults,"""""","""""",2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
101,item1,,1,20,0.015,0.022,,20,,,,,,{22504=1},100,,,,,,,,,,,,,,,,,,
102,item1,,1,10,0.06,0.14,1,10,,,,,,{22504=1},100,,,,,,,,,,,,,,,,,,
103,item1,,3,1,,,1,,,,,,,{22503=1},100,,,,,,,,,,,,,,,,,,
104,item1,,0,1,,,,,,,,,,{22501=1},55,{22502=1},20,{22503=1},10,{22506=1},15,,,,,,,,,,,,
201,item10,,1,2,0.15,0.2,,2,,,,,,{22501=5;22504=1;22502=2;22506=2},100,{22501=4;22504=1;22502=3;22506=2},100,{22501=4;22504=1;22502=2;22506=3},100,{22501=3;22504=1;22502=3;22506=3},100,{22501=4;22502=3;22504=1;22503=1;22506=1},30,{22501=3;22502=3;22504=1;22503=1;22506=2},30,,,,,,,,
202,item10,,3,1,,,1,,,,,,,{22501=5;22504=1;22502=2;22506=2},100,{22501=4;22504=1;22502=3;22506=2},100,{22501=4;22504=1;22502=2;22506=3},100,{22501=3;22504=1;22502=3;22506=3},100,{22501=4;22502=3;22504=1;22503=1;22506=1},30,{22501=3;22502=3;22504=1;22503=1;22506=2},30,,,,,,,,
203,item10,,0,1,,,,,,,,,,{22503=1;22506=2;22502=2;22501=5},100,{22503=1;22506=2;22502=3;22501=4},100,{22503=1;22506=3;22502=2;22501=4},100,{22503=1;22506=3;22502=3;22501=3},100,{22503=2;22506=1;22502=3;22501=4},30,{22503=2;22506=2;22502=3;22501=3},30,,,,,,,,
301,rmb1,,1,60,0.0045,0.0102,,60,,,,,,{22505=1},100,,,,,,,,,,,,,,,,,,
302,rmb1,,1,40,0.02,0.08,1,40,,,,,,{22504=1},100,,,,,,,,,,,,,,,,,,
303,rmb1,,1,20,0.015,0.025,,20,,,,,,{22504=1},100,,,,,,,,,,,,,,,,,,
304,rmb1,,1,10,0.06,0.14,1,10,,,,,,{22504=1},100,,,,,,,,,,,,,,,,,,
