VariableName,drawType,startCount,weightEnd,lotteryWeight5,drawTriggerType,lotteryType3,effectLimit,probLimit,lotteryWeight10,lotteryType10,lotteryWeight9,lotteryType9,lotteryType1,lotteryWeight8,lotteryType5,weightStart,lotteryType7,lotteryWeight4,lotteryWeight2,probInit,lotteryType8,lotteryWeight7,lotteryWeight6,lotteryType6,probStep,lotteryType4,lotteryWeight3,lotteryType2,probMiniTimes,lotteryWeight1,probEffectInterval,drawTriggerTimes
Defaults,recharge_wheel_2240,0,0,0,2,{},0,0.2,0,{},0,{},{},0,{},0,{},0,0,0,{},0,0,{},0.01,{},0,{},30,0,50,0
VariableName,drawType,startCount,weightEnd,lotteryWeight5,drawTriggerType,lotteryType3,effectLimit,probLimit,lotteryWeight10,lotteryType10,lotteryWeight9,lotteryType9,lotteryType1,lotteryWeight8,lotteryType5,weightStart,lotteryType7,lotteryWeight4,lotteryWeight2,probInit,lotteryType8,lotteryWeight7,lotteryWeight6,lotteryType6,probStep,lotteryType4,lotteryWeight3,lotteryType2,probMiniTimes,lotteryWeight1,probEffectInterval,drawTriggerTimes
10,rmb1,40,,,,,1,0.5,,,,,{151=1},,,,,,,0.1,,,,,,,,,10,100,99999,40
11,rmb1,50,,,,,1,0.5,,,,,{162=1},,,,,,,0.1,,,,,0.03,,,,10,100,99999,30
12,rmb1,,,,3,,,,,,,,{150=1},,,,,,,,,,,,,,,,,100,,10
13,rmb1,,,,4,,1,,,,,,{150=1},,,,,,,,,,,,,,,,,100,,1
14,rmb1,,,5,0,{154=1},,,,,,,{152=1},,{161=1},,,15,15,,,,,,,{160=1},15,{153=1},,45,,2
51,rmb10,19,0.09,,1,{162=1;154=1;150=1;153=1;160=1;152=5},,,,,,,{162=1;154=2;150=1;153=1;160=1;152=4},,,0.04,,,100,,,,,,,,100,{162=1;154=1;150=1;153=2;160=1;152=4},,100,,10
52,rmb10,11,0.15,,1,{162=1;154=1;150=1;153=1;160=1;152=5},1,,,,,,{162=1;154=2;150=1;153=1;160=1;152=4},,,0.08,,,100,,,,,,,,100,{162=1;154=1;150=1;153=2;160=1;152=4},,100,,10
53,rmb10,5,0.3,,1,{162=1;154=1;150=1;153=1;160=1;152=5},1,,,,,,{162=1;154=2;150=1;153=1;160=1;152=4},,,0.2,,,100,,,,,,,,100,{162=1;154=1;150=1;153=2;160=1;152=4},,100,,10
54,rmb10,4,1,,1,{162=1;154=1;150=1;153=1;160=1;152=5},1,,,,,,{162=1;154=2;150=1;153=1;160=1;152=4},,,1,,,100,,,,,,,,100,{162=1;154=1;150=1;153=2;160=1;152=4},,100,,10
61,rmb10,14,0.12,,1,{151=1;150=1;154=1;153=1;160=1;152=5},,,,,,,{151=1;150=1;154=2;153=1;160=1;152=4},,,0.06,,,100,,,,,,,,100,{151=1;150=1;154=1;153=2;160=1;152=4},,100,,10
62,rmb10,7,0.2,,1,{151=1;150=1;154=1;153=1;160=1;152=5},1,,,,,,{151=1;150=1;154=2;153=1;160=1;152=4},,,0.1,,,100,,,,,,,,100,{151=1;150=1;154=1;153=2;160=1;152=4},,100,,10
63,rmb10,3,0.3,,1,{151=1;150=1;154=1;153=1;160=1;152=5},1,,,,,,{151=1;150=1;154=2;153=1;160=1;152=4},,,0.2,,,100,,,,,,,,100,{151=1;150=1;154=1;153=2;160=1;152=4},,100,,10
64,rmb10,2,1,,1,{151=1;150=1;154=1;153=1;160=1;152=5},1,,,,,,{151=1;150=1;154=2;153=1;160=1;152=4},,,1,,,100,,,,,,,,100,{151=1;150=1;154=1;153=2;160=1;152=4},,100,,10
65,rmb10,,,100,0,{150=1;154=3;153=1;160=1;152=4},,,,,,,{150=1;154=2;153=2;160=1;152=4},,{150=1;154=1;153=2;160=1;152=5},,{154=2;161=1;153=1;150=1;152=5},100,100,,{150=1;154=3;153=1;160=1;152=4},100,100,{161=1;154=1;150=1;153=1;160=1;152=5},,{150=1;154=2;153=1;160=1;152=5},100,{161=1;154=2;150=1;153=1;160=1;152=4},,100,,1
101,recharge_wheel_120010,,,,0,,,,,,,,{20001=1},,,,,,1,,,,,,,,,{20002=1},,100,,1
102,recharge_wheel_12001,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
103,recharge_wheel_1277,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
104,recharge_wheel_1357,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
105,recharge_wheel_1487,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
106,recharge_wheel_1540,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
107,recharge_wheel_1617,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
108,recharge_wheel_1670,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
109,recharge_wheel_1737,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
110,recharge_wheel_1790,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
111,recharge_wheel_1837,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
112,recharge_wheel_1870,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
113,recharge_wheel_1917,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
114,recharge_wheel_1960,,,,0,,,,,,,,{10023=1},,,,,,1,,,,,,,,,{10023=1},,100,,1
115,recharge_wheel_2007,,,,0,,,,,,,,{10022=1},,,,,,1,,,,,,,,,{10022=1},,100,,1
