VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
Defaults,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
101,gold1,,1,6,0.015,0.025,,6,,,,,,{8013=1},100,,,,,,,,,,,,,,,,,,
102,gold1,,1,2,0.2,0.3,1,2,,,,,,{8013=1},100,,,,,,,,,,,,,,,,,,
103,gold1,,0,1,,,,,,,,,,{8011=1},60,{8012=1},25,{8016=1},15,,,,,,,,,,,,,,
201,gold10,,1,2,0.15,0.25,,2,,,,,,{8013=1;8012=2;8016=2;8011=5},100,{8013=1;8012=2;8016=1;8011=6},100,,,,,,,,,,,,,,,,
202,gold10,,3,1,,,1,,,,,,,{8013=1;8012=2;8016=2;8011=5},100,{8013=1;8012=2;8016=1;8011=6},100,,,,,,,,,,,,,,,,
203,gold10,,0,1,,,,,,,,,,{8011=6;8016=2;8012=2},100,{8011=7;8016=2;8012=1},50,{8011=5;8016=2;8012=3},50,,,,,,,,,,,,,,
301,rmb1,,1,60,0.0045,0.0102,,60,,,,,,{8015=1},100,,,,,,,,,,,,,,,,,,
302,rmb1,,1,40,0.02,0.08,1,40,,,,,,{8014=1},100,,,,,,,,,,,,,,,,,,
303,rmb1,,1,20,0.015,0.025,,20,,,,,,{8014=1},100,,,,,,,,,,,,,,,,,,
304,rmb1,,1,10,0.06,0.14,1,10,,,,,,{8014=1},100,,,,,,,,,,,,,,,,,,
305,rmb1,,3,1,,,1,,,,,,,{8013=1},100,,,,,,,,,,,,,,,,,,
306,rmb1,,0,2,,,,,,,,,,{8011=1},57,{8012=1},22,{8013=1},8,{8017=1},13,,,,,,,,,,,,
401,rmb10,,1,11,0.054,0.113,,10,,,,,,{8015=1;8012=2;8017=2;8011=5},100,{8015=1;8012=3;8017=2;8011=4},100,{8015=1;8012=3;8017=1;8011=5},100,{8015=1;8011=4;8013=1;8017=2;8012=2},50,{8015=1;8011=4;8013=1;8017=1;8012=3},50,{8015=1;8011=3;8013=1;8017=2;8012=3},50,,,,,,,,
