VariableName,drawType,_comment,drawTriggerType,drawTriggerTimes,weightStart,weightEnd,effectLimit,startCount,probInit,probStep,probLimit,probMiniTimes,probEffectInterval,lotteryType1,lotteryWeight1,lotteryType2,lotteryWeight2,lotteryType3,lotteryWeight3,lotteryType4,lotteryWeight4,lotteryType5,lotteryWeight5,lotteryType6,lotteryWeight6,lotteryType7,lotteryWeight7,lotteryType8,lotteryWeight8,lotteryType9,lotteryWeight9,lotteryType10,lotteryWeight10
Defaults,,,2,0,0,0,0,0,0,0.01,0.2,30,50,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0,{},0
ID,抽取类型,类型注释,抽取触发类型(0从X次开始;1权值累加;2概率触发;3每X次;4第X次),抽取次数条件,权值上限,权值下限,生效次数上限,开始次数,概率初值,概率递增,概率上限,概率保底次数,概率生效间隔,产出类型1,产出类型1权重,产出类型2,产出类型2权重,产出类型3,产出类型3权重,产出类型4,产出类型4权重,产出类型5,产出类型5权重,产出类型6,产出类型6权重,产出类型7,产出类型7权重,产出类型8,产出类型8权重,产出类型9,产出类型9权重,产出类型10,产出类型10权重
11,coin4_1,,0,1,,,1,,,,,,,{171=1},100,,,,,,,,,,,,,,,,,,
12,coin4_1,,4,2,,,1,,,,,,,{180=1},100,,,,,,,,,,,,,,,,,,
13,coin4_1,,4,3,,,1,,,,,,,{181=1},100,,,,,,,,,,,,,,,,,,
14,coin4_1,,4,4,,,1,,,,,,,{175=1},100,,,,,,,,,,,,,,,,,,
15,coin4_1,,4,6,,,1,,,,,,,{182=1},100,,,,,,,,,,,,,,,,,,
16,coin4_1,,4,5,,,1,,,,,,,{172=1},100,,,,,,,,,,,,,,,,,,
21,coin4_1,,,20,,,,20,1,1,1,1,20,{173=1},100,,,,,,,,,,,,,,,,,,
22,coin4_1,,,5,,,,15,1,1,1,1,20,{172=1},100,,,,,,,,,,,,,,,,,,
23,coin4_1,,,5,,,,10,1,1,1,1,20,{172=1},100,,,,,,,,,,,,,,,,,,
24,coin4_1,,,5,,,,5,1,1,1,1,20,{172=1},100,,,,,,,,,,,,,,,,,,
25,coin4_1,,0,2,,,,,,,,,,{170=1},100,{171=1},50,{175=1},100,,,,,,,,,,,,,,
121,lucky_egg_rmb1_14001,,0,1,,,,,,,,,,{9004=1},50,{9002=1},230,{9003=1},150,{9001=1},570,,,,,,,,,,,,
122,lucky_egg_rmb10_14001,,0,1,,,,,,,,,,{9001=6;9003=1;9004=1;9002=2},250,{9001=5;9003=2;9004=1;9002=2},350,{9001=5;9003=1;9004=1;9002=3},200,{9001=4;9003=2;9004=1;9002=3},100,{9001=4;9003=1;9004=1;9002=4},100,,,,,,,,,,
131,lucky_egg_rmb1_202309033,,0,1,,,,,,,,,,{9004=1},50,{9002=1},330,{9003=1},150,{9001=1},470,,,,,,,,,,,,
