VariableName,_comment,weightList,cardWeightMap,specialWeightMap
Defaults,,<>,<>,{}
ID,库类型（注释而已）,物品权重表,卡牌权重表,特殊权重表（比如关卡等）
1,,,<<{id=1351};100>>,
2,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=52};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=102};100>;<{id=131};100>;<{id=191};100>;<{id=231};100>;<{id=261};100>;<{id=271};100>;<{id=301};100>;<{id=391};100>;<{id=471};100>;<{id=481};100>;<{id=491};100>;<{id=591};100>;<{id=601};100>;<{id=781};100>;<{id=791};100>;<{id=881};100>;<{id=891};100>;<{id=1081};100>;<{id=1171};100>;<{id=1351};100>;<{id=1441};100>;<{id=1501};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2481};100>;<{id=2631};100>;<{id=2681};100>;<{id=2871};100>;<{id=2961};100>;<{id=3011};100>;<{id=3411};100>;<{id=3471};100>;<{id=3541};100>>,
4,,<<3011;100;1>;<3012;100;1>;<3013;100;1>;<3014;100;1>;<3015;100;1>;<3016;100;1>;<3017;100;1>;<3018;100;1>;<3019;100;1>;<3010;100;1>>,,
5,,<<3021;100;1>;<3022;100;1>;<3023;100;1>;<3024;100;1>;<3025;100;1>;<3026;100;1>;<3027;100;1>;<3028;100;1>;<3029;100;1>;<3020;100;1>>,,
6,,<<20001;100;1>;<20011;100;1>;<20021;100;1>;<20031;100;1>;<20041;100;1>;<20051;100;1>;<20061;100;1>;<20071;100;1>>,,
7,,,<<{id=11};100>;<{id=81};100>;<{id=131};100>>,
8,,<<3021;100;1>;<3022;100;1>;<3023;100;1>;<3024;100;1>;<3025;100;1>;<3026;100;1>;<3027;100;1>;<3028;100;1>;<3029;100;1>;<3020;100;1>>,,
9,,<<5001;100;1>;<5002;100;1>>,,
10,,<<5003;100;1>;<5004;100;1>>,,
11,,<<5005;100;1>;<5006;100;1>>,,
12,,<<5007;100;1>;<5008;100;1>>,,
13,,<<5007;100;1>;<5008;100;1>>,,
14,,<<5009;100;1>;<5010;100;1>>,,
15,,<<5011;100;1>;<5012;100;1>>,,
16,,<<5013;100;1>;<5014;100;1>>,,
20,,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
21,,<<21893;10;1>;<20001;100;1>;<20011;100;1>;<20021;100;1>>,,
22,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=1893};100>>,
23,,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
24,,<<23631;10;1>;<22231;10;1>;<20001;100;1>;<20011;100;1>;<20021;100;1>>,,
25,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=3631};100>;<{id=2233};100>>,
30,,,<<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>;<{id=881};100>>,
31,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
32,,,<<{id=1811};100>;<{id=3021};100>;<{id=3141};100>;<{id=3351};100>;<{id=3541};100>;<{id=1841};100>;<{id=3411};100>>,
33,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
34,,,<<{id=261};100>;<{id=331};100>;<{id=391};100>;<{id=571};100>;<{id=591};100>;<{id=601};100>;<{id=631};100>;<{id=721};50>;<{id=731};50>;<{id=741};50>>,
35,,,<<{id=1};100>;<{id=11};100>;<{id=21};100>;<{id=31};100>;<{id=41};100>;<{id=51};100>;<{id=61};100>;<{id=71};100>;<{id=81};100>;<{id=91};100>;<{id=101};100>;<{id=111};100>;<{id=121};100>;<{id=131};100>;<{id=171};0>;<{id=191};100>;<{id=231};100>;<{id=271};100>;<{id=281};100>;<{id=301};100>;<{id=351};100>;<{id=371};100>;<{id=451};100>;<{id=461};100>;<{id=471};100>;<{id=481};100>;<{id=541};100>;<{id=551};100>;<{id=691};0>;<{id=781};100>;<{id=791};100>;<{id=801};100>;<{id=891};100>;<{id=1081};0>;<{id=1351};100>;<{id=1441};100>;<{id=1611};100>;<{id=1861};100>;<{id=2011};100>;<{id=2071};100>;<{id=2271};100>;<{id=2301};100>;<{id=2481};100>;<{id=2591};0>;<{id=2611};0>;<{id=2631};100>;<{id=2681};0>;<{id=2871};100>;<{id=2891};0>;<{id=2921};100>;<{id=2922};100>;<{id=2961};0>;<{id=3011};100>;<{id=3281};100>;<{id=3291};100>;<{id=3341};100>;<{id=3431};100>;<{id=3471};100>;<{id=3501};100>;<{id=3511};0>;<{id=3561};100>>,
100,,<<11;100;1>;<12;100;1>;<13;100;1>;<14;100;1>;<15;100;1>;<16;100;1>>,,
101,,<<11;50;1>;<12;60;1>;<13;70;1>;<14;80;1>;<15;90;1>;<16;100;1>>,,
102,,<<11;100;5>;<12;100;4>;<13;100;3>;<14;100;2>;<15;100;1>>,,
110,,<<451;150;1>;<451;50;2>>,,
111,,<<452;20;2>>,,
112,,<<606;30;1>;<609;10;1>;<612;30;1>;<615;10;1>;<618;30;1>;<621;10;1>;<607;30;1>;<610;10;1>;<613;30;1>;<616;10;1>;<619;30;1>;<622;10;1>;<5000;50;3>;<12;30;5>;<13;20;3>;<14;10;1>;<19;10;1>>,,
120,,<<5001;100;1>;<5002;100;1>;<5003;100;1>;<5004;100;1>;<5005;100;1>;<5006;100;1>>,,
121,,<<5007;100;1>;<5008;100;1>;<5009;100;1>;<5010;100;1>;<5011;100;1>;<5012;100;1>;<5013;100;1>;<5014;100;1>;<5015;100;1>>,,
122,,<<5016;100;1>;<5017;100;1>;<5018;100;1>;<5019;100;1>;<5020;100;1>;<5021;100;1>;<5022;100;1>;<5023;100;1>;<5024;100;1>>,,
