VariableName,eventID,_name,delay,sound,damageSeg,hpSeg,segInterval,shaker,music,zOrder ,move,show,effectType,effectRes,effectArgs,otherEventIDs,follow,onlyTargetShow,jumpFlag,control,confuseIt,zOrder
Defaults,,,,,,,,{beginT=0;endT=100;disx=15;disy=20;count=1;interval=0;isRepeat=true},,,,,,,,,,TRUE,,,,
ID,spine里的eventID,技能过程名,延迟,音效（废弃）,伤害分段,加血分段,伤害或加血时间间隔,震动,背景音乐,调整目标的层级，格式：<{delay=0;zorder=999;lastTime=500};{}> zorder：可正可负.层级值越大，层级越接近玩家的眼睛位置.lastTime：持续时间，配置该字段，一段时间后会自动恢复原来的层级. 示例： <{delay=0;zorder=-999;lastTime=2000};{}>  ,移动（teamClose=per，让目标往中间靠拢，per是靠近的比例值，原始距离为目前和它周围的几个目标的间距）,显示隐藏,特效类型（0-播放本体spine动作; 1-以res为资源路径创建新的特效）,特效资源或动作名.对应到前面的effectType字段，如果是动作，填对应的动作名.如果是创建新资源，填特效资源路径 lugushou/qietu.skel,特效参数是对新创建资源才有效的参数.配置格式： {offsetX=0;offsetY=0;delay=2000;addTolayer=-1;zorder=6;aniName=genggui_skill2;aniLoop=false;lastTime=60000;screenPos=0} delay表示延迟时间，和其它字段的一样. addToLayer 有两个值，1表示在 角色上层， -1表示在角色下层.默认可以不填，放在下层;offsetxy相对目标的位置偏移/zorder层级(0代表目标本身那层，直接填0会在目标上层显示.值越大层越靠近玩家眼睛)/flytime飞行时间(可以让特效飞行的)/flyXY飞行距离偏移/存活时间 （时间单位都是ms)  ,相关的其他帧事件id组，不能填自己，或者互相调用,跟随骨骼：{bones=<Hitman_move;Hitman_move1;Hitman_move2>},仅显示本次过程段中的目标,大招跳过,单位身上挂件{lifeBar:血条},confuseIt,zOrder
90,90,,1000,,,,,,,,,,,,,,,,TRUE,,,
91,91,,,,,,,,,,,,,,,,,,,,,
111,111,,,,<0.5;0.5>,,<0;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
121,121,,,,<0.3;0.3;0.4>,,<0;166.6;166.6>,,,,,,,,,,,,,{lifeBar={show=True}},,
131,131,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;1433.3;133.3;133.3;166.6;166.6;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
132,132,,,,,,,,,,<{absY=680;absX=1680;delay=0;t=0};{absY=880;absX=1000;delay=2280;t=80};{absY=-500;absX=1350;delay=2420;scale=1.4;t=0};{absY=700;absX=1350;delay=2460;scale=1.4;t=170};{absY=800;scale=0.8;delay=2620;t=900;rot=5;absX=1350}>,<{hide=True;lastTime=800;delay=825};{hide=True;lastTime=100;delay=2420}>,,,,<90;1092>,,,,,,<{zorder=999;lastTime=9999;delay=0}>
133,133,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=-350;addTolayer=-1;aniLoop=False;aniName=miaowazhongzi_skill2;offsetX=-350;lastTime=4833.3;zorder=1},,,,,,,
211,211,,,,<0.5;0.5>,,<0;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
221,221,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;100;100;100;100>,,,,,,,,,,,,,{lifeBar={show=True}},,
231,231,,,,<0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.1;0.1>,,<0;133.3;133.3;133.3;133.3;133.3;1233.3;133.3;133.3;433.3;133.3;100;133.3;100;133.3;133.3;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
232,232,,,,,,,,,,<{absY=600;absX=1700;delay=0;scale=1.2;t=0}>,<{hide=True;lastTime=4500;delay=0}>,,,,<90;2092>,,,,,,
233,233,,,,,,,,,,,,1,koudai_beijing/moren_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=miaowacao_skill2;offsetX=0;lastTime=8166.6;zorder=1},,,,,,,
311,311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
321,321,,,,<0.3;0.3;0.4>,,<0;466.6;833.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
331,331,,,,<0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;100;100;100;100;100;100;100;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
332,332,,,,,,,,,,<{absY=550;absX=1900;delay=0;scale=1.3;t=0}>,<{hide=True;lastTime=6000;delay=0}>,,,,<90;3092;3093>,,,,,,<{zorder=10;lastTime=6000;delay=0}>
333,333,,,,,,,,,,,,1,koudai_beijing/tiankong.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=99;offsetX=0;delay=0;aniName=miaowahua_skill2;lastTime=7833.3},,,,,,,
334,334,,,,,,,,,,,,1,koudai_beijing/huangtu.skel,{scale=0.75;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=99;offsetX=0;delay=0;aniName=miaowahua_skill2;lastTime=7833.3},,,,,,,
411,411,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
421,421,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;133.3;133.3;133.3>,,,,,,,,,,,,,{lifeBar={show=True}},,
431,431,,,,<0.05;0.05;0.05;0.05;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1>,,<0;2397.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;166.6;200;200>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
432,432,,,,,,,,,,,,,,,<90;3192;3193;3194;3195>,,,,,,
433,433,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{scale=0.65;screenPos=0;offsetY=100;addTolayer=1;aniLoop=False;zorder=99;offsetX=0;delay=0;aniName=miaowahuamega_skill2_qian;lastTime=12166.66},,,,,,,
434,434,,,,,,,,,,,,1,koudai_beijing/huahai.skel,{scale=0.7;screenPos=0;offsetY=25;addTolayer=-1;aniLoop=False;zorder=-1;offsetX=0;delay=0;aniName=miaowahuamega_skill2_hou;lastTime=12166.66},,,,,,,
435,435,,,,,,,,,,,,1,koudai_beijing/dizhen.skel,{scale=0.7;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-2;offsetX=0;delay=0;aniName=miaowahuamega_skill2;lastTime=12166.66},,,,,,,
436,436,,,,,,,,,,,,1,koudai_beijing/tiankong_x.skel,{scale=0.6;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-3;offsetX=-80;delay=0;aniName=miaowahuamega_skill2;lastTime=12166.66},,,,,,,
1111,1111,,,,<0.3;0.3;0.4>,,<0;100;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
1121,1121,,,,<0.25;0.25;0.25;0.25>,,<0;266.6;166.6;166.6>,,,,,,,,,,,,,{lifeBar={show=True}},,
1131,1131,,,,<0.3;0.3;0.4>,,<0;133.3;166.6>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
1132,1132,,,,,,,,,,,<{hide=True;lastTime=1600;delay=0}>,,,,<90;4092>,,,,,,
1133,1133,,,,,,,,,,,,1,koudai_beijing/sudu_bj_guang.skel,{scale=1.2;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;aniName=xiaohuolong_skill2;offsetX=-200;lastTime=4900;zorder=-1},,,,,,,
1211,1211,,,,<0.2;0.2;0.2;0.2;0.2>,,<0;133.3;366.6;100;100>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
1221,1221,,,,<0.1;0.1;0.1;0.1;0.2;0.2;0.2>,,<0;100;100;666.6;66.6;66.6;66.6>,,,,,,,,,,,,,{lifeBar={show=True}},,
1231,1231,,,,<0.2;0.2;0.3;0.3>,,<0;133.3;133.3;133.3>,{isRepeat=True;endT=100;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,,,
1232,1232,,,,,,,,,,,<{hide=True;lastTime=2533.33;delay=2100}>,,,,<90;5092>,,,,,,
1233,1233,,,,,,,,,,,,1,koudai_beijing/sudu_bj.skel,{scale=1;screenPos=0;offsetY=0;addTolayer=-1;aniLoop=False;zorder=-1;offsetX=-550;delay=0;aniName=huokonglong_skill2;lastTime=4900},,,,,,,
1311,1311,,,,<1>,,<0>,{isRepeat=True;endT=100;beginT=0;count=1;disy=10;disx=10;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
1321,1321,,,,<0.3;0.3;0.4>,,<0;100;100>,{isRepeat=True;endT=200;beginT=0;count=1;disy=30;disx=20;interval=0},,,,,,,,,,,,{lifeBar={show=True}},,
