VariableName,sceneName_cn,sceneName_tw,sceneName,sceneName_vn,sceneName_th,sceneName_in,sceneName_en,sceneName_ma,sceneName_ph,_beizhu,languages,monsters,boss,icon,gateType,sceneType,roundLimit,backMusic,backGround,bg_boss,bg_boss_pos,openLevel,desc,sceneCount,showLevel,sceneLevel,skillLevel,sceneLevelCorrect,demonCorrect,demonCorrectSelf,limitType,limitArg,firstAward,firstAwardShow,saodangAward,saodangAwardShow,lowestFightingPoint,gateDesc,gateDesc_tw,gateDesc_ma,gateDesc_ph,gateDesc_th,gateDesc_in,gateDesc_en,gateDesc_vn,gateDesc_kr
Defaults,,,,,,,,,,,<cn;tw;en;vn;th;kr;in;ma;ph>,<>,<>,"""""",5,1,10,battle_bgm.mp3,battle/scene/bg_city.jpg,,{x=0;y=70},1,,1,99,1,1,,,,0,<>,{},<>,{},<>,0,No special effect,本關無特殊效果,No special effect,No special effect,No special effect,No special effect,No special effect,không có hiệu ứng đặc biệt trong cấp độ này,해당 스테이지 특수 효과 없음
ID,场景名称,场景名称,场景名称,场景名称,场景名称,场景名称,场景名称,场景名称,场景名称,备注,语言区域,界面显示的普通怪物id<等级;advance=品阶>,界面显示的bossid,关卡入口icon,关卡类型 -客户端战斗用；5-无尽之塔副本；Defaults不用改,服务器专用字段# 0-全局 # 1-世界# 2-章节# 3-精英章节# 4-关卡# 5-精英关卡# 6-噩梦关卡# 7-噩梦章节 # 11:金币活动; # 12:经验活动; # 13:礼物副本;# 14:碎片副本;# 21: 公会副本# 22: 无尽之塔,回合限制数,背景音乐,背景地图,背景boss图,背景boss位置偏移,开放等级,关卡描述,总波数,场景怪物显示用的等级，如空则显示sceneLevel,场景等级修正,技能等级修正,是否自适应角色等级:不填就没有；需要的话读scene_level_correct表的列名；比如填boss,前6修正,己方前6修正,限制条件,限制条件 1-限制可上阵的精灵自然属性 2-限制不可上阵的精灵自然属性 3-我方属性修正 4-敌方属性修正 5-双方属性修正 6-强制上阵特定稀有度的精灵,首通奖励,首通奖励显示<<11;11;1>;<12;11;0>>,扫荡奖励,扫荡奖励显示<<11;11;0>;<12;11;0>>,通关最低战力限制,副本效果,副本效果,副本效果,副本效果,副本效果,副本效果,副本效果,副本效果,副本效果_韩
100001,,,Level 1,Cấp 1,Level 1,Level 1,Level 1,Level 1,Level 1,,,<{level=16;unitId=220013;advance=1};{level=16;unitId=220493;advance=1};{level=16;unitId=222612;advance=1};{level=16;unitId=221931;advance=1};{level=16;unitId=220013;advance=1}>,<{level=16;unitId=251001;advance=2}>,config/portrait/jinglingtouxiang2/img_163.png,,22,,,battle/scene/bg_grass.jpg,,,,,,16,60,60,,,,3,<<1;1;2%>>,{gold=20000;451=30;452=20},<<gold;20000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100002,,,Level 2,Cấp 2,Level 2,Level 2,Level 2,Level 2,Level 2,,,<{level=17;unitId=220044;advance=1};{level=17;unitId=220552;advance=1};{level=17;unitId=222633;advance=1};{level=17;unitId=222013;advance=1};{level=17;unitId=220044;advance=1}>,<{level=17;unitId=251002;advance=2}>,config/portrait/jinglingtouxiang2/img_242.png,,22,,,battle/scene/bg_night.jpg,,,,,,17,63,63,,,,4,<<1;0;2%>;<28;0;2%>>,{502=1;451=30;gold=20000},<<gold;20000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100003,,,Level 3,Cấp 3,Level 3,Level 3,Level 3,Level 3,Level 3,,,<{level=18;unitId=220053;advance=1};{level=18;unitId=220593;advance=1};{level=18;unitId=222683;advance=1};{level=18;unitId=222073;advance=1};{level=18;unitId=220053;advance=1}>,<{level=18;unitId=251003;advance=2}>,config/portrait/jinglingtouxiang2/img_263.png,,22,,,battle/scene/bg_sd.jpg,,,,,,18,66,66,,,,5,<<1;0;5%>>,{rmb=100;451=30;gold=20000},<<gold;20000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100004,,,Level 4,Cấp 4,Level 4,Level 4,Level 4,Level 4,Level 4,,,<{level=19;unitId=220082;advance=1};{level=19;unitId=220013;advance=1};{level=19;unitId=222843;advance=1};{level=19;unitId=222593;advance=1};{level=19;unitId=220082;advance=1}>,<{level=19;unitId=251004;advance=2}>,config/portrait/jinglingtouxiang2/img_333.png,,22,,,battle/scene/bg_tower.jpg,,,,,,19,69,69,,,,5,<<27;0;5%>;<26;0;5%>>,{gold=20000;451=30;452=20},<<gold;20000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2000},<<gold;2000;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100005,,,Level 5,Cấp 5,Level 5,Level 5,Level 5,Level 5,Level 5,,,<{level=20;unitId=223293;advance=1};{level=20;unitId=222963;advance=1};{level=20;unitId=220013;advance=1};{level=20;unitId=220793;advance=1};{level=20;unitId=223342;advance=1}>,<{level=20;unitId=251005;advance=2}>,config/portrait/jinglingtouxiang2/img_1393.png,,22,,,battle/scene/bg_grass.jpg,,,,,,20,72,72,,,,5,<<1;1;10%>;<13;0;10%>>,{gold=20000;451=30;519=1},<<gold;20000;1>;<451;30;1>;<519;1;1>>,{gold=2000;452=1;libs=<110;111;112>},<<gold;2000;0>;<451;1;1>;<452;1;1>>,,,,Monsters' attacks have a chance to cause Burn (can be dispelled).,Monsters' attacks have a chance to cause Burn (can be dispelled).,Monsters' attacks have a chance to cause Burn (can be dispelled).,Monsters' attacks have a chance to cause Burn (can be dispelled).,Monsters' attacks have a chance to cause Burn (can be dispelled).,Quái vật tấn công có xác suất gây hiệu ứng đốt cháy (có thể giải tán),
100006,,,Level 6,Cấp 6,Level 6,Level 6,Level 6,Level 6,Level 6,,,<{level=21;unitId=220402;advance=2};{level=21;unitId=220053;advance=2};{level=21;unitId=223283;advance=2};{level=21;unitId=220082;advance=2};{level=21;unitId=220402;advance=2}>,<{level=21;unitId=251006;advance=3}>,config/portrait/jinglingtouxiang2/img_503.png,,22,,,battle/scene/bg_night.jpg,,,,,,21,75,75,,,,3,<<7;1;2%>;<8;1;2%>>,{gold=25000;451=30;452=20},<<gold;25000;1>;<451;30;1>;<452;20;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100007,,,Level 7,Cấp 7,Level 7,Level 7,Level 7,Level 7,Level 7,,,<{level=22;unitId=220493;advance=2};{level=22;unitId=220082;advance=2};{level=22;unitId=223293;advance=2};{level=22;unitId=220273;advance=2};{level=22;unitId=220493;advance=2}>,<{level=22;unitId=251007;advance=3}>,config/portrait/jinglingtouxiang2/img_572.png,,22,,,battle/scene/bg_sd.jpg,,,,,,22,78,78,,,,4,<<7;0;2%>;<8;0;2%>;<14;0;2%>>,{502=1;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<502;1;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
100008,,,Level 8,Cấp 8,Level 8,Level 8,Level 8,Level 8,Level 8,,,<{level=23;unitId=220552;advance=2};{level=23;unitId=220273;advance=2};{level=23;unitId=222683;advance=2};{level=23;unitId=220402;advance=2};{level=23;unitId=220552;advance=2}>,<{level=23;unitId=251008;advance=3}>,config/portrait/jinglingtouxiang2/img_593.png,,22,,,battle/scene/bg_tower.jpg,,,,,,23,81,81,,,,5,<<1;0;5%>>,{rmb=100;451=30;gold=25000},<<gold;25000;1>;<451;30;1>;<rmb;100;1>>,{libs=<110;111>;451=2;gold=2100},<<gold;2100;0>;<451;1;1>;<452;1;1>>,,,,,,,,,,
