VariableName,_beizhu,type,itemWeightMap,itemCount,itemMap,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable,languages
Defaults,,0,{},0,{},{equip_awake_frag=0},0,1,0,20990101,0,<1;200>,0,0,FALSE,<cn;in;tw;en;vn;th;kr;ma;ph>
商店ID,备注,类型 1-固定；2-刷新,商品ID表({ID=权重;}),商品个数,商品ID表(ID=数量),消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,,2,{203=100;200=100;234=100;201=100;213=100;231=100;230=100;214=100;224=100;211=100;210=100;221=100;233=100;220=100;204=100;223=100;212=100;222=100;202=100;232=100},1,,{equip_awake_frag=200},,,,,1,,,,,
2,,2,{203=100;200=100;234=100;201=100;213=100;231=100;230=100;214=100;224=100;211=100;210=100;221=100;233=100;220=100;204=100;223=100;212=100;222=100;202=100;232=100},1,,{equip_awake_frag=200},,,,,2,,,,,
3,,2,{30201=100;30208=100;30202=100;30209=100;30203=100;30207=100;30205=100;30206=100;30204=100},1,,{equip_awake_frag=60},,,,,3,,,,,
4,,2,{30315=100;30316=100;30317=100;30310=150;30311=150;30312=150;30304=100;30307=150;30301=100;30306=100;30305=100;30308=150;30303=100;30313=100;30314=100;30309=150;30302=100},1,,{equip_awake_frag=300},,,,,3,,,,,
5,,2,{30201=100;30208=100;30202=100;30209=100;30203=100;30207=100;30205=100;30206=100;30204=100},1,,{equip_awake_frag=60},,,,,4,,,,,
6,,2,{30315=100;30316=100;30317=100;30310=150;30311=150;30312=150;30304=100;30307=150;30301=100;30306=100;30305=100;30308=150;30303=100;30313=100;30314=100;30309=150;30302=100},1,,{equip_awake_frag=300},,,,,4,,,,,
7,,2,{30103=100;30105=100;30101=100;30102=100;30104=100;30106=100},1,,{equip_awake_frag=30},,,,,5,,,,,
8,,2,{30103=100;30105=100;30101=100;30102=100;30104=100;30106=100},1,,{equip_awake_frag=30},,,,,6,,,,,
61,,1,,,{501=1},{equip_awake_frag=24},,,,,7,,,,,
62,,1,,,{902=5},{equip_awake_frag=30},,,,,8,,,,,
63,,1,,,{2103=1},{equip_awake_frag=12},,,,,9,,,,,
64,,1,,,{941=1},{equip_awake_frag=50},,,,,10,,,,,
65,,1,,,{940=1},{equip_awake_frag=25},,,,,11,,,,,
101,,2,,,{30201=1},{equip_awake_frag=50},,0,,,4,,,,,
102,,2,,,{30202=1},{equip_awake_frag=50},,0,,,5,,,,,
103,,2,,,{30203=1},{equip_awake_frag=50},,0,,,6,,,,,
104,,2,,,{30204=1},{equip_awake_frag=50},,0,,,7,,,,,
105,,2,,,{30205=1},{equip_awake_frag=50},,0,,,8,,,,,
106,,2,,,{30206=1},{equip_awake_frag=50},,0,,,9,,,,,
107,,2,,,{30207=1},{equip_awake_frag=50},,0,,,10,,,,,
108,,2,,,{30208=1},{equip_awake_frag=50},,0,,,11,,,,,
109,,2,,,{30209=1},{equip_awake_frag=50},,0,,,12,,,,,
201,,2,,,{30101=1},{equip_awake_frag=10},,0,,,14,,,,,
202,,2,,,{30102=1},{equip_awake_frag=10},,0,,,15,,,,,
203,,2,,,{30103=1},{equip_awake_frag=10},,0,,,16,,,,,
204,,2,,,{30104=1},{equip_awake_frag=10},,0,,,17,,,,,
205,,2,,,{30105=1},{equip_awake_frag=10},,0,,,18,,,,,
206,,2,,,{30106=1},{equip_awake_frag=10},,0,,,19,,,,,
301,,1,,,{2152=1},{equip_awake_frag=100},,,,,12,,3,3,,
302,,1,,,{2153=1},{equip_awake_frag=600},,,,,13,,3,2,,
