VariableName,itemID,coordinate,componentPosID,componentLine,componentsize,attrTarget,attrNumType1,attrNum1,attrNumType2,attrNum2,attrNumType3,attrNum3,attrNumType4,attrNum4,strengthCostSeq
Defaults,701,{},1,{},352,<>,0,<>,0,<>,0,<>,0,<>,
ID,组件道具ID,组件位在界面的坐标,组件位在界面上显示位置顺序，按顺时针算,组件线的坐标及翻转配置,组件线宽度,属性生效目标（空为全队属性）,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,升级消耗序列
1,4011,{y=491;x=397},,{y=461;x=620;flip=4},480,,1,<155;279;404;546;689;852;1015;1202;1388;1602;1816;2060;2303;2583;2862;3182;3502;3869;4235;4655>,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917>,,,,,1
2,4012,{y=753;x=1433},2,{y=739;x=1219;flip=3},390,,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441>,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241>,,,,,2
3,4013,{y=372;x=1433},3,{y=399;x=1239;flip=1},260,,9,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483>,10,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357>,,,,,3
4,4021,{y=590;x=386},,{y=555;x=583;flip=4},420,,7,<31;55;80;108;136;168;201;237;274;315;357;405;454;509;564;627;690;762;835;917>,10,<16;29;41;56;71;89;106;125;145;167;189;214;239;268;297;330;363;401;439;483>,,,,,4
5,4022,{y=781;x=1442},2,{y=750;x=1180;flip=3},410,,8,<41;75;108;146;184;228;271;321;370;427;483;549;614;689;764;849;934;1032;1129;1241>,9,<12;21;31;42;53;65;78;93;107;123;139;158;177;198;219;244;269;297;325;357>,,,,,5
6,4023,{y=480;x=1442},3,{y=450;x=1233;flip=3},300,,1,<115;207;298;404;509;630;751;888;1026;1184;1342;1522;1703;1909;2116;2352;2588;2859;3131;3441>,13,<5;7;9;12;14;16;18;21;23;25;28;30;32;35;37;39;41;44;46;48>,,,,,6
7,4031,{y=511;x=383},,{y=485;x=563;flip=4},240,,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,7
8,4032,{y=750;x=1483},2,{y=730;x=1210;flip=3},450,,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999>,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,10,<20;36;52;70;88;109;130;154;178;205;232;263;294;330;366;407;448;495;542;596>,,,8
9,4033,{y=440;x=1453},3,{y=460;x=1283;flip=1},215,,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,9,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,9
10,4041,{y=720;x=385},,{y=687;x=651;flip=4},400,,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,11
11,4042,{y=368;x=385},2,{y=334;x=530;flip=4},260,,8,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,10,<23;41;60;81;101;125;150;177;205;236;267;302;338;380;421;468;515;569;623;685>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,12
12,4043,{y=465;x=1389},3,{y=515;x=1255;flip=1},250,,7,<46;82;119;161;202;251;299;354;410;473;536;608;680;762;845;939;1034;1142;1251;1375>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,13
13,4051,{y=752;x=1474},,{y=721;x=1158;flip=3},520,,1,<173;310;448;606;764;945;1126;1334;1541;1778;2015;2287;2558;2869;3180;3536;3892;4299;4706;5173>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,,,15
14,4052,{y=437;x=1335},2,{y=469;x=1178;flip=1},270,,1,<233;420;606;820;1034;1279;1524;1804;2085;2406;2727;3094;3460;3881;4302;4784;5266;5817;6368;6999>,7,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,9,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,,,16
15,4053,{y=701;x=398},3,{y=661;x=666;flip=4},420,,8,<62;112;161;217;274;339;405;480;554;639;725;822;920;1032;1143;1271;1398;1546;1693;1861>,10,<17;31;44;60;75;93;111;131;151;174;197;224;250;281;311;346;381;421;461;507>,13,<5;8;10;13;15;18;20;23;26;28;31;33;36;38;41;43;46;48;51;54>,,,17
16,4061,{y=750;x=370},,{y=711;x=577;flip=4},410,,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,19
17,4062,{y=419;x=370},2,{y=452;x=620;flip=2},550,,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,20
18,4063,{y=703;x=1353},3,{y=668;x=1180;flip=3},270,,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,10,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,21
19,4064,{y=384;x=1433},4,{y=408;x=1309;flip=1},260,,1,<405;729;1053;1424;1795;2220;2645;3131;3617;4174;4731;5368;6005;6735;7465;8300;9135;10092;11049;12144>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,8,<92;165;238;322;406;502;598;709;819;945;1071;1216;1360;1526;1692;1881;2071;2287;2504;2752>,,,22
20,4071,{y=709;x=399},,{y=681;x=577;flip=4},220,,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,9,<41;74;107;145;183;226;269;318;367;423;479;544;609;683;757;842;927;1024;1121;1232>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047>,,,24
21,4072,{y=374;x=399},2,{y=400;x=570;flip=2},400,,1,<344;620;895;1210;1526;1887;2248;2661;3074;3548;4021;4563;5104;5725;6345;7055;7765;8578;9392;10322>,7,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,8,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,,,25
22,4073,{y=649;x=1432},3,{y=673;x=1294;flip=1},300,,7,<108;194;280;379;478;591;704;834;964;1112;1260;1430;1600;1795;1990;2213;2436;2691;2946;3238>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,13,<9;14;20;25;30;35;40;45;50;55;60;65;71;76;81;86;91;96;101;106>,,,26
23,4074,{y=356;x=1386},4,{y=403;x=1213;flip=1},420,,1,<466;838;1211;1638;2064;2553;3042;3601;4160;4800;5441;6173;6906;7745;8585;9545;10505;11606;12706;13966>,8,<124;223;322;436;550;680;810;959;1109;1279;1449;1645;1840;2064;2289;2545;2801;3095;3388;3724>,10,<35;63;91;123;156;192;229;270;312;360;407;462;518;581;643;716;788;870;953;1047>,,,27
24,4081,{y=767;x=452},,{y=790;x=651;flip=2},275,,8,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,10,<78;173;267;374;481;604;727;867;1007;1168;1329;1515;1700;1911;2123;2364;2606;2883;3160;3478>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,,,29
25,4082,{y=418;x=382},2,{y=450;x=507;flip=2},200,,1,<776;1708;2639;3705;4771;5993;7214;8612;10011;11612;13212;15044;16876;18974;21071;23474;25876;28626;31375;34524>,13,<16;25;33;42;50;59;67;76;84;93;101;110;118;127;135;144;152;161;169;178>,7,<180;396;612;859;1106;1389;1672;1996;2320;2691;3062;3487;3912;4398;4884;5441;5998;6636;7274;8004>,9,<68;150;232;325;418;525;632;754;876;1016;1156;1317;1478;1662;1846;2056;2266;2507;2748;3024>,30
26,4083,{y=785;x=1417},3,{y=761;x=1252;flip=3},220,,1,<675;1485;2295;3222;4149;5211;6273;7489;8705;10097;11489;13082;14675;16499;18323;20412;22501;24892;27283;30021>,13,<19;29;39;49;59;69;79;89;99;109;119;129;139;149;159;169;179;189;199;209>,8,<207;455;704;988;1272;1597;1923;2295;2668;3095;3521;4010;4499;5058;5617;6257;6898;7631;8365;9205>,10,<58;128;197;276;355;446;537;641;745;864;983;1119;1256;1413;1569;1748;1926;2131;2336;2570>,31
