VariableName,name_cn,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,res,simpleIcon,coordinate,componentIDs,effect,levelMax,extraEff,extraEffCod,advanceCostSeq,quality,bg
Defaults,,,,,,,,,,config/explorer/test_qpp.png,config/explorer/img_txq3_1.png,{},<>,<>,20,<>,<>,1,1,tanxianqibeijing/tanxianqibeijing.skel
ID,探险器名称,探险器名称,探险器名称_越南,name_vn,name_en,name_th,name_in,name_ph,name_ma,spine资源路径,探险器icon,spine的界面坐标,所属组件位ID组,探险器效果ID,进阶等级上限,额外效果ID组,额外效果对应激活条件(进阶等级),进阶消耗序列,品质,背景spine
,,,,,,,,,,,,{y=180;scale=3.2;x=780},,,,,,,,
1,,,GamaTatsu,GamaTatsu,GamaTatsu,GamaTatsu,GamaTatsu,GamaTatsu,GamaTatsu,config/explorer/img_hamalong.png,config/explorer/img_hamalong_ditu.png,{y=210;scale=3.3;x=850},<1;2;3>,<1;2>,,<3;4;5;6>,<3;6;9;12>,2,2,
2,,,GamaKichi,GamaKichi,GamaKichi,GamaKichi,GamaKichi,GamaKichi,GamaKichi,config/explorer/img_hamaji.png,config/explorer/img_hamaji_ditu.png,{y=210;scale=3;x=850},<4;5;6>,<7;8>,,<9;10;11;12>,<3;6;9;12>,2,2,
3,,,NinGame,NinGame,NinGame,NinGame,NinGame,NinGame,NinGame,config/explorer/img_rengui.png,config/explorer/img_rengui_ditu.png,{y=150;scale=2.9;x=840},<7;8;9>,<13;14>,,<15;16;17;18;19>,<3;6;9;12;15>,3,3,tanxianqibeijing/tanxianqibeijing_shui.skel
4,,,KamaTari,KamaTari,KamaTari,KamaTari,KamaTari,KamaTari,KamaTari,config/explorer/img_lianyou.png,config/explorer/img_lianyou_ditu.png,{y=250;scale=3;x=840},<10;11;12>,<20;21>,,<22;23;24;25;26>,<3;6;9;12;15>,3,3,
5,,,PakKun,PakKun,PakKun,PakKun,PakKun,PakKun,PakKun,config/explorer/img_pake.png,config/explorer/img_pake_ditu.png,{y=240;scale=2.5;x=860},<13;14;15>,<27;28>,,<29;30;31;32;33>,<3;6;9;12;15>,3,3,
6,,,GamaBunta,GamaBunta,GamaBunta,GamaBunta,GamaBunta,GamaBunta,GamaBunta,config/explorer/img_hamawentai.png,config/explorer/img_hamawentai_ditu.png,{y=150;scale=2.9;x=840},<16;17;18;19>,<34;35>,,<36;37;38;39;40>,<3;6;9;12;15>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel
7,,,Manda,Manda,Manda,Manda,Manda,Manda,Manda,config/explorer/img_wanshe.png,config/explorer/img_wanshe_ditu.png,{y=150;scale=3;x=840},<20;21;22;23>,<41;42>,,<43;44;45;46;47>,<3;6;9;12;15>,4,4,tanxianqibeijing/tanxianqibeijing_shui.skel
8,,,Ichibi-Shukaku,Ichibi-Shukaku,Ichibi-Shukaku,Ichibi-Shukaku,Ichibi-Shukaku,Ichibi-Shukaku,Ichibi-Shukaku,config/explorer/img_yiwei.png,config/explorer/img_yiwei_ditu.png,{y=180;scale=3.2;x=780},<24;25;26;27;28>,<48;49>,,<50;51;52;53;54>,<3;6;9;12;15>,5,5,tanxianqibeijing/tanxianqibeijing_shui.skel
9,,,Nibi-Matatabi,Nibi-Matatabi,Nibi-Matatabi,Nibi-Matatabi,Nibi-Matatabi,Nibi-Matatabi,Nibi-Matatabi,config/explorer/img_erwei.png,config/explorer/img_erwei_ditu.png,{y=100;scale=2.9;x=840},<29;30;31;32;33>,<55;56>,,<57;58;59;60;61>,<3;6;9;12;15>,5,5,
10,,,Isobu ,Isobu ,Isobu ,Isobu ,Isobu ,Isobu ,Isobu ,config/explorer/img_jifu.png,config/explorer/img_sanwei_jifu.png,{y=100;scale=2.9;x=840},<34;35;36;37;38>,<62;63>,,<64;65;66;67;68>,<3;6;9;12;15>,5,5,
11,,,Jubi,Jubi,Jubi,Jubi,Jubi,Jubi,Jubi,config/explorer/img_wdmx.png,config/explorer/img_siwei_wdmx.png,{y=100;scale=2.9;x=840},<39;40;41;42;43>,<69;70>,,<71;72;73;74;75>,<3;6;9;12;15>,5,5,
12,,,YamataNoOrochi,YamataNoOrochi,YamataNoOrochi,YamataNoOrochi,YamataNoOrochi,YamataNoOrochi,YamataNoOrochi,config/explorer/img_bq.png,config/explorer/img_ww_bq.png,{y=100;scale=2.9;x=840},<44;45;46;47;48>,<76;77>,,<78;79;80;81;82>,<3;6;9;12;15>,5,5,
13,,,Kurama,Kurama,Kurama,Kurama,Kurama,Kurama,Kurama,effect/jiuwei.skel,config/explorer/img_jw_yh.png,{y=100;scale=2.9;x=840},<49;50;51;52;53;54;55;56>,<83;84>,,<85;86;87;88;89;90>,<3;6;9;12;15;20>,6,6,
