VariableName,effectType,target,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,attrType5,attrNum5,attrType6,attrNum6,effectDesc_cn,effectDesc_tw,effectDesc,effectDesc_vn,effectDesc_en,effectDesc_th,effectDesc_in,effectDesc_ph,effectDesc_ma
Defaults,1,<>,,,<>,,<>,,<>,,<>,,<>,,<>,,,,,,,,,
ID,效果类型（1属性2技能）,目标类型,技能ID,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,属性类型5,属性数值5,属性类型6,属性数值6,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）,效果描述（可通过%s索引对应等级对应属性类型的值;技能等级=探险器等级）,effectDesc,effectDesc_vn,effectDesc_en,effectDesc_th,effectDesc_in,effectDesc_ph,effectDesc_ma
1,,,,1,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%>,,,,,,,,,,,,,#C0x5B545B##F40#All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s,#C0x5B545B##F40#All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua pahlawan%s meningkat#F50##C0x5C9970#%s,#C0x5B545B##F40#Lahat ng bayani%s tumaas#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua wira%s meningkat#F50##C0x5C9970#%s
2,,,,1,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,13,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,7,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,8,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,9,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,10,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,,,#C0x5B545B##F40#All heroes increase basic attribute#F50##C0x5C9970#%s,#C0x5B545B##F40#Toàn bộ anh hùng tăng thuộc tính cơ bản#F50##C0x5C9970#%s,#C0x5B545B##F40#All heroes increase basic attribute#F50##C0x5C9970#%s,#C0x5B545B##F40#ฮีโร่ทั้งหมดเพิ่มค่าพื้นฐาน#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua pahlawan meningkat atribut dasar#F50##C0x5C9970#%s,#C0x5B545B##F40#Lahat ng bayani tumataas ang pangunahing katangian#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua wira meningkat atribut asas#F50##C0x5C9970#%s
3,,,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,,,,,,,,,,,,#C0x5B545B##F40#+3 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 kích hoạt: Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 การเปิดใช้งาน: ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 aktivasi: Semua pahlawan%s meningkat#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 activation: Lahat ng bayani%s tumaas#F50##C0x5C9970#%s,#C0x5B545B##F40#+3 pengaktifan: Semua wira%s meningkat#F50##C0x5C9970#%s
4,,,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,,,,,,,,,,,,#C0x5B545B##F40#+6 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 kích hoạt: Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 การเปิดใช้งาน: ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 aktivasi: Semua pahlawan%s meningkat#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 activation: Lahat ng bayani%s tumaas#F50##C0x5C9970#%s,#C0x5B545B##F40#+6 pengaktifan: Semua wira%s meningkat#F50##C0x5C9970#%s
5,,,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,,,,,,,,,,,,#C0x5B545B##F40#+9 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 kích hoạt: Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 การเปิดใช้งาน: ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 aktivasi: Semua pahlawan%s meningkat#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 activation: Lahat ng bayani%s tumaas#F50##C0x5C9970#%s,#C0x5B545B##F40#+9 pengaktifan: Semua wira%s meningkat#F50##C0x5C9970#%s
6,,,,1,<1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%;1%>,,,,,,,,,,,,,#C0x5B545B##F40#+12 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 kích hoạt: Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 activation: All heroes%s increase#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 การเปิดใช้งาน: ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 aktivasi: Semua pahlawan%s meningkat#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 activation: Lahat ng bayani%s tumaas#F50##C0x5C9970#%s,#C0x5B545B##F40#+12 pengaktifan: Semua wira%s meningkat#F50##C0x5C9970#%s
7,,,,7,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%>,8,<2.4%;2.8%;3.2%;3.6%;4%;4.4%;4.8%;5.2%;5.6%;6%;6.4%;6.8%;7.2%;7.6%;8%;8.4%;8.8%;9.2%;9.6%;10%>,,,,,,,,,,,"#C0x5B545B##F40#All heroes%s increase#F50##C0x5C9970#%s#C0x5B545B##F40#, %s increase#F50##C0x5C9970#%s","#C0x5B545B##F40#Toàn bộ anh hùng%s tăng#F50##C0x5C9970#%s#C0x5B545B##F40#, %s tăng#F50##C0x5C9970#%s","#C0x5B545B##F40#All heroes%s increase#F50##C0x5C9970#%s#C0x5B545B##F40#, %s increase#F50##C0x5C9970#%s","#C0x5B545B##F40#ฮีโร่ทั้งหมด%s เพิ่มขึ้น#F50##C0x5C9970#%s#C0x5B545B##F40#, %s เพิ่มขึ้น#F50##C0x5C9970#%s","#C0x5B545B##F40#Semua pahlawan%s meningkat#F50##C0x5C9970#%s#C0x5B545B##F40#, %s meningkat#F50##C0x5C9970#%s","#C0x5B545B##F40#Lahat ng bayani%s tumaas#F50##C0x5C9970#%s#C0x5B545B##F40#, %s tumaas#F50##C0x5C9970#%s","#C0x5B545B##F40#Semua wira%s meningkat#F50##C0x5C9970#%s#C0x5B545B##F40#, %s meningkat#F50##C0x5C9970#%s"
8,,,,1,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,13,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,7,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,8,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,9,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,10,<0.1%;0.2%;0.3%;0.4%;0.5%;0.6%;0.7%;0.8%;0.9%;1%;1.1%;1.2%;1.3%;1.4%;1.5%;1.6%;1.7%;1.8%;1.9%;2%>,,,#C0x5B545B##F40#All heroes increase basic attribute#F50##C0x5C9970#%s,#C0x5B545B##F40#Toàn bộ anh hùng tăng thuộc tính cơ bản#F50##C0x5C9970#%s,#C0x5B545B##F40#All heroes increase basic attribute#F50##C0x5C9970#%s,#C0x5B545B##F40#ฮีโร่ทั้งหมดเพิ่มค่าพื้นฐาน#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua pahlawan meningkat atribut dasar#F50##C0x5C9970#%s,#C0x5B545B##F40#Lahat ng bayani tumataas ang pangunahing katangian#F50##C0x5C9970#%s,#C0x5B545B##F40#Semua wira meningkat atribut asas#F50##C0x5C9970#%s
