VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
Defaults,,{},0,{coin4=0},0,1,0,20990101,0,<1;100>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{4000=10},50,{coin4=20},,100,,,,<1;150>,,,
2,,{4000=10},100,{coin4=40},,80,,,,<1;150>,,,
3,,{4000=10},150,{coin4=60},,50,,,,<1;150>,,,
50,,{19=10},3,{coin4=50},,0,,,1,<1;150>,,,
51,,{14=10},10,{coin4=50},,0,,,1,<1;150>,,,
52,,{100=10},3,{coin4=50},,0,,,1,<1;150>,,,
100,,{4012=5;4011=5;4021=5;4022=5;4023=5;4013=5},1,{coin4=5},,100,,,1,<1;150>,,,
200,,{4012=5;4011=5;4021=5;4022=5;4023=5;4013=5},1,{coin4=5},,100,,,2,<1;150>,,,
201,,{4031=5;4043=5;4032=5;4051=5;4053=5;4052=5;4042=5;4033=5;4041=5},1,{coin4=30},,100,,,2,<1;150>,,,
300,,{4031=5;4043=5;4032=5;4051=5;4053=5;4052=5;4042=5;4033=5;4041=5},1,{coin4=30},,100,,,3,<1;150>,,,
400,,{4031=5;4043=5;4032=5;4051=5;4053=5;4052=5;4042=5;4033=5;4041=5},1,{coin4=30},,100,,,4,<1;150>,,,
401,,{4063=5;4074=5;4072=5;4064=5;4062=5;4061=5;4071=5;4073=5},1,{coin4=200},,100,,,4,<1;150>,,,
500,,{4063=5;4074=5;4072=5;4064=5;4062=5;4061=5;4071=5;4073=5},1,{coin4=200},,100,,,5,<1;150>,,,
600,,{4084=5;4085=5;4081=5;4082=5;4083=5},1,{coin4=500},,100,,,6,<1;150>,,,
700,,{4093=5;4095=5;4094=5;4096=5;4092=5},1,{coin4=500},,100,,,7,<1;150>,,,
800,,{5101=5;5105=5;5104=5;5103=5;5102=5},1,{coin4=500},,100,,,8,<1;150>,,,
900,,{5202=5;5204=5;5203=5;5201=5;5205=5},1,{coin4=500},,100,,,9,<1;150>,,,
1000,,{5301=5;5304=5;5305=5;5302=5;5303=5},1,{coin4=500},,100,,,10,<1;150>,,,
2001,,{967=10},1,{coin4=500},,100,,,15,<1;150>,3,2,
