VariableName,dealGroup,category,hideLifebar,bornAddBuffs,triggerBattleTurn,deadDel,battleTurnFollowMode,lerpZ,natureIncluded,beAttackOffsetPos,posZ
Defaults,1,0,0,{},TRUE,TRUE,1,0,FALSE,{y=0;x=0},
ID,dealGroup,category,hideLifebar,bornAddBuffs,triggerBattleTurn,deadDel,battleTurnFollowMode,lerpZ,natureIncluded,beAttackOffsetPos,posZ
1,,,,,,,,,,,
2,2,,2,,,,,,,,
3,3,1,1,,,,,,,,
4,4,,1,,,,,,,,
5,5,,,,,,,,,,
6,6,1,2,,,,,,,{y=-500;x=300},
7,7,,2,,,,,,,,
8,8,1,2,,,,,,,,1300
9,9,,,,,,,,TRUE,,
10,10,,2,,,,,-1,,,
