VariableName,name,name_vn,name_ma,name_in,name_ph,name_en,name_th,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
Defaults,,,,,,,,,"""""","""""","""""","""""",<>,,,{}
VariableName,name,name_vn,name_ma,name_in,name_ph,name_en,name_th,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
111,Humor Group  ,Nhóm Hài Hước,Kumpulan Lucu  ,Kelompok Lucu  ,Nakakatawang Grupo  ,Humor Group  ,กลุ่มตลก  ,,,,,,<2843;2633;3683>,,,{7=10%;8=10%}
112,Rules of Power  ,Quy Tắc Quyền Lực,Peraturan Kuasa  ,Aturan Kekuatan  ,Batas ng Kapangyarihan  ,Rules of Power  ,กฎแห่งอำนาจ  ,,,,,,<2612;2963;3432>,,,{1=10%}
113,Adventure Companion  ,Bạn Đồng Hành Phiêu Lưu,Teman Pengembaraan  ,Rekan Petualangan  ,Kasamang Pakikipagsapalaran  ,Adventure Companion  ,เพื่อนร่วมผจญภัย  ,,,,,,<2073;2593;731>,,,{7=10%;8=10%}
411,Soulmate  ,Bạn Thân Của Linh Hồn,Sahabat Jiwa  ,Sahabat Jiwa  ,Matalik na Kaibigan ng Kaluluwa  ,Soulmate  ,เพื่อนสนิทของวิญญาณ  ,,,,,,<3432;3342;3472>,,,{7=8%;8=8%}
412,Bizarre Character  ,Nhân Vật Quái Dị,Watak Aneh  ,Karakter Aneh  ,Kakaibang Tauhan  ,Bizarre Character  ,ตัวละครประหลาด  ,,,,,,<13;3772;793>,,,{1=10%}
413,Technology Expert  ,Chuyên Gia Công Nghệ,Pakar Teknologi  ,Ahli Teknologi  ,Eksperto sa Teknolohiya  ,Technology Expert  ,ผู้เชี่ยวชาญด้านเทคโนโลยี  ,,,,,,<3683;3472;53>,,,{7=8%;8=8%}
511,Friendship Group  ,Nhóm Tình Bạn,Kumpulan Persahabatan  ,Kelompok Persahabatan  ,Grupo ng Pagkakaibigan  ,Friendship Group  ,กลุ่มมิตรภาพ  ,,,,,,<1931;3293;3511>,,,{7=10%;8=10%}
512,Black-Clad Deliveryman  ,Người Giao Hàng Áo Đen,Penghantar Berpakaian Hitam  ,Pengantar Berpakaian Hitam  ,Tagapaghahatid na Naka-Itim  ,Black-Clad Deliveryman  ,คนส่งของชุดดำ  ,,,,,,<552;793;1612>,,,{1=10%}
513,Superhero  ,Siêu Anh Hùng,Adiwira  ,Pahlawan Super  ,Superhero  ,Superhero  ,ซูเปอร์ฮีโร่  ,,,,,,<1931;1903;1221>,,,{7=10%;8=10%}
811,Toxic Companion  ,Bạn Đồng Hành Độc,Teman Beracun  ,Rekan Beracun  ,Kasamang May Lason  ,Toxic Companion  ,เพื่อนร่วมทางพิษ  ,,,,,,<3772;44;163>,,,{7=8%;8=8%}
812,Toxic Body  ,Thân Thể Độc,Tubuh Beracun  ,Tubuh Beracun  ,Katawang May Lason  ,Toxic Body  ,ร่างกายมีพิษ  ,,,,,,<3772;1503>,,,{1=10%}
813,Mysterious Power  ,Quyền Lực Bí Ẩn,Kuasa Misteri  ,Kekuatan Misterius  ,Misteryosong Kapangyarihan  ,Mysterious Power  ,พลังลึกลับ  ,,,,,,<273;692;2073>,,,{7=8%;8=8%}
1611,Toxic Specialist  ,Chuyên Gia Độc Tố,Pakar Racun  ,Ahli Racun  ,Eksperto sa Lason  ,Toxic Specialist  ,ผู้เชี่ยวชาญพิษ  ,,,,,,<1503;1032;82>,,,{7=15%;8=15%}
1612,Violent Girl  ,Cô Gái Bạo Lực,Gadis Ganas  ,Gadis Brutal  ,Babaeng Bayolente  ,Violent Girl  ,สาวนักเลง  ,,,,,,<572;3152;1381>,,,{1=15%}
1613,Skill Control  ,Kiểm Soát Kỹ Năng,Kawalan Kemahiran  ,Kontrol Keterampilan  ,Kontrol sa Kasanayan  ,Skill Control  ,ควบคุมทักษะ  ,,,,,,<2723;712;552>,,,{7=15%;8=15%}
1614,Alien Race  ,Chủng Tộc Ngoài Hành Tinh,Kaum Asing  ,Ras Asing  ,Lahi Mula sa Ibang Mundo  ,Alien Race  ,เผ่านอกโลก  ,,,,,,<7001;3673;2233;1931>,,,{23=500}
