VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,fishingLevelRange,limitType,limitTimes,showUnable,languages
Defaults,,{},0,{coin3=0},0,1,0,20990101,0,<1;100>,<1;100>,0,0,FALSE,<cn;in;tw;en;vn;th;kr;ma;ph>
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗积分,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,钓鱼等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
25,,{452=10},10,{coin3=500},,0,,,12,<150;150>,,,,,
26,,{5000=10},20,{coin3=400},,0,,,13,<150;150>,,,,,
27,,{514=10},5,{coin3=200},,0,,,14,<150;150>,,,,,
31,,{22001=10},5,{coin3=2000},,0,,,,<150;150>,<10;100>,,,,
32,,{22011=10},5,{coin3=1500},,0,,,1,<150;150>,,,,,
33,,{22111=10},5,{coin3=1500},,0,,,2,<150;150>,,,,,
34,,{21181=10},5,{coin3=900},,0,,,6,<150;150>,,,,,
35,,{21191=10},5,{coin3=900},,0,,,7,<150;150>,,,,,
36,,{21161=10},5,{coin3=900},,0,,,8,<150;150>,,,,,
37,,{21171=10},5,{coin3=900},,0,,,9,<150;150>,,,,,
41,,{22071=10},5,{coin3=1500},,0,,,3,<150;150>,,,,,
42,,{22041=10},5,{coin3=1500},,0,,,4,<150;150>,,,,,
43,,{22111=10},5,{coin3=1500},,0,,,5,<150;150>,,,,,
2001,,{22181=10},5,{535=2500},,100,,,,<1;150>,<1;150>,,,,
2011,,{22171=10},5,{535=2500},,100,,,1,<1;150>,<5;150>,,,TRUE,
2021,,{22091=10},5,{535=3200},,100,,,2,<1;150>,<7;150>,,,TRUE,<cn;in;kr>
2031,,{22101=10},5,{535=1800},,100,,,3,<1;150>,<1;150>,,,,
2035,,{22071=10},5,{535=1800},,100,,,4,<1;150>,<3;150>,,,TRUE,<cn;in;kr>
2041,,{22021=10},5,{535=1800},,100,,,5,<1;150>,<3;150>,,,TRUE,
2051,,{21021=10},5,{535=1000},,100,,,6,<1;150>,<1;150>,,,,
2061,,{21091=10},5,{535=1000},,100,,,7,<1;150>,<1;150>,,,,
2071,,{21111=10},5,{535=1000},,100,,,8,<1;150>,<1;150>,,,,
2081,,{23041=1},1,{535=5000},,100,,,9,<1;150>,<9;150>,3,20,TRUE,<cn>
3001,,{529=10},100,{535=600},,100,,,10,<1;150>,<1;150>,,,,
3011,,{5000=10},20,{535=1000},,100,,,11,<1;150>,<1;150>,,,,
3012,,{930=10},20,{535=1000},,100,,,13,<1;150>,<1;150>,,,,
3021,,{514=10},10,{535=600},,100,,,14,<1;150>,<1;150>,,,,
10001,,{2230=1},1,{535=30000},,100,,,12,<1;150>,<1;150>,4,1,,
