VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
Defaults,,{},0,{coin1=0},0,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
11,,{5000=100},20,{gold=120000},,100,,,2,,,,
12,,{5000=100},10,{gold=60000},,100,,,2,,,,
31,,{5000=100},20,{rmb=120},,100,,,3,,,,
32,,{5000=100},10,{rmb=60},,100,,,3,,,,
51,,{606=100;618=100;615=100;612=100;609=100},10,{gold=20000},,100,,,4,,,,
52,,{606=100;618=100;615=100;612=100;609=100},10,{rmb=20},,100,,,4,,,,
53,,{607=100;619=100;616=100;613=100;610=100},10,{gold=100000},,100,,,4,,,,
54,,{607=100;619=100;616=100;613=100;610=100},10,{rmb=100},,100,,,4,,,,
101,,{5001=100;5003=100;5002=100},10,{gold=75000},,100,,,6,<1;27>,,,
102,,{5001=100;5003=100;5002=100},5,{gold=37500},,100,,,6,<1;27>,,,
103,,{5004=100;5006=100;5005=100},10,{gold=75000},,100,,,6,<1;39>,,,
104,,{5004=100;5006=100;5005=100},5,{gold=37500},,100,,,6,<1;39>,,,
105,,{5008=100;5009=100;5007=100},10,{gold=75000},,100,,,6,<1;49>,,,
106,,{5008=100;5009=100;5007=100},5,{gold=37500},,100,,,6,<1;49>,,,
107,,{5011=100;5012=100;5010=100},10,{gold=90000},,100,,,6,<28;59>,,,
108,,{5011=100;5012=100;5010=100},5,{gold=45000},,100,,,6,<28;59>,,,
109,,{5014=100;5015=100;5013=100},10,{gold=105000},,100,,,6,<40;69>,,,
110,,{5014=100;5015=100;5013=100},5,{gold=52500},,100,,,6,<40;69>,,,
111,,{5016=100;5017=100;5018=100},10,{gold=120000},,100,,,6,<50;79>,,,
112,,{5016=100;5017=100;5018=100},5,{gold=60000},,100,,,6,<50;79>,,,
113,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,6,<60;84>,,,
114,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,6,<60;84>,,,
115,,{5022=100;5024=100;5023=100},40,{gold=600000},,100,,,6,<70;99>,,,
116,,{5022=100;5024=100;5023=100},20,{gold=300000},,100,,,6,<70;99>,,,
117,,{5025=100;5027=100;5026=100},50,{gold=825000},,100,,,6,<80;99>,,,
118,,{5025=100;5027=100;5026=100},50,{gold=825000},,100,,,6,<80;99>,,,
119,,{5029=100;5028=100;5030=100},60,{gold=1200000},,100,,,6,<85;104>,,,
120,,{5029=100;5028=100;5030=100},30,{gold=600000},,100,,,6,<85;104>,,,
121,,{5032=100;5033=100;5031=100},50,{gold=1100000},,100,,,6,<90;119>,,,
122,,{5032=100;5033=100;5031=100},25,{gold=550000},,100,,,6,<90;119>,,,
123,,{5036=100;5034=100;5035=100},60,{gold=1380000},,100,,,6,<95;119>,,,
124,,{5036=100;5034=100;5035=100},30,{gold=690000},,100,,,6,<95;119>,,,
125,,{5037=100;5038=100;5039=100},60,{gold=1400000},,100,,,6,<100;119>,,,
126,,{5037=100;5038=100;5039=100},30,{gold=700000},,100,,,6,<100;119>,,,
127,,{5042=100;5041=100;5040=100},60,{gold=1440000},,100,,,6,<105;124>,,,
128,,{5042=100;5041=100;5040=100},30,{gold=720000},,100,,,6,<105;124>,,,
129,,{5045=100;5044=100;5043=100},60,{gold=1500000},,100,,,6,<110;129>,,,
130,,{5045=100;5044=100;5043=100},30,{gold=750000},,100,,,6,<110;129>,,,
131,,{5047=100;5046=100;5048=100},60,{gold=1580000},,100,,,6,<115;134>,,,
132,,{5047=100;5046=100;5048=100},30,{gold=790000},,100,,,6,<115;134>,,,
133,,{5050=100;5051=100;5049=100},60,{gold=1680000},,100,,,6,<120;139>,,,
134,,{5050=100;5051=100;5049=100},30,{gold=840000},,100,,,6,<120;139>,,,
201,,{5001=100;5003=100;5002=100},10,{gold=75000},,100,,,7,<1;27>,,,
202,,{5001=100;5003=100;5002=100},5,{gold=37500},,100,,,7,<1;27>,,,
203,,{5004=100;5006=100;5005=100},10,{gold=75000},,100,,,7,<1;39>,,,
204,,{5004=100;5006=100;5005=100},5,{gold=37500},,100,,,7,<1;39>,,,
205,,{5008=100;5009=100;5007=100},10,{gold=75000},,100,,,7,<1;49>,,,
206,,{5008=100;5009=100;5007=100},5,{gold=37500},,100,,,7,<1;49>,,,
207,,{5011=100;5012=100;5010=100},10,{gold=90000},,100,,,7,<28;59>,,,
208,,{5011=100;5012=100;5010=100},5,{gold=45000},,100,,,7,<28;59>,,,
209,,{5014=100;5015=100;5013=100},10,{gold=105000},,100,,,7,<40;69>,,,
210,,{5014=100;5015=100;5013=100},5,{gold=52500},,100,,,7,<40;69>,,,
211,,{5016=100;5017=100;5018=100},10,{gold=120000},,100,,,7,<50;79>,,,
212,,{5016=100;5017=100;5018=100},5,{gold=60000},,100,,,7,<50;79>,,,
213,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,7,<60;84>,,,
214,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,7,<60;84>,,,
215,,{5022=100;5024=100;5023=100},40,{gold=600000},,100,,,7,<70;99>,,,
216,,{5022=100;5024=100;5023=100},20,{gold=300000},,100,,,7,<70;99>,,,
217,,{5025=100;5027=100;5026=100},50,{gold=825000},,100,,,7,<80;99>,,,
218,,{5025=100;5027=100;5026=100},50,{gold=825000},,100,,,7,<80;99>,,,
219,,{5029=100;5028=100;5030=100},60,{gold=1200000},,100,,,7,<85;104>,,,
220,,{5029=100;5028=100;5030=100},30,{gold=600000},,100,,,7,<85;104>,,,
221,,{5032=100;5033=100;5031=100},50,{gold=1100000},,100,,,7,<90;119>,,,
222,,{5032=100;5033=100;5031=100},25,{gold=550000},,100,,,7,<90;119>,,,
223,,{5036=100;5034=100;5035=100},60,{gold=1380000},,100,,,7,<95;119>,,,
224,,{5036=100;5034=100;5035=100},30,{gold=690000},,100,,,7,<95;119>,,,
225,,{5037=100;5038=100;5039=100},60,{gold=1400000},,100,,,7,<100;119>,,,
226,,{5037=100;5038=100;5039=100},30,{gold=700000},,100,,,7,<100;119>,,,
227,,{5042=100;5041=100;5040=100},60,{gold=1440000},,100,,,7,<105;124>,,,
228,,{5042=100;5041=100;5040=100},30,{gold=720000},,100,,,7,<105;124>,,,
229,,{5045=100;5044=100;5043=100},60,{gold=1500000},,100,,,7,<110;129>,,,
230,,{5045=100;5044=100;5043=100},30,{gold=750000},,100,,,7,<110;129>,,,
231,,{5047=100;5046=100;5048=100},60,{gold=1580000},,100,,,7,<115;134>,,,
232,,{5047=100;5046=100;5048=100},30,{gold=790000},,100,,,7,<115;134>,,,
233,,{5050=100;5051=100;5049=100},60,{gold=1680000},,100,,,7,<120;139>,,,
234,,{5050=100;5051=100;5049=100},30,{gold=840000},,100,,,7,<120;139>,,,
301,,{5001=100;5003=100;5002=100},10,{gold=75000},,100,,,8,<1;27>,,,
302,,{5001=100;5003=100;5002=100},5,{gold=37500},,100,,,8,<1;27>,,,
303,,{5004=100;5006=100;5005=100},10,{gold=75000},,100,,,8,<1;39>,,,
304,,{5004=100;5006=100;5005=100},5,{gold=37500},,100,,,8,<1;39>,,,
305,,{5008=100;5009=100;5007=100},10,{gold=75000},,100,,,8,<1;49>,,,
306,,{5008=100;5009=100;5007=100},5,{gold=37500},,100,,,8,<1;49>,,,
307,,{5011=100;5012=100;5010=100},10,{gold=90000},,100,,,8,<28;59>,,,
308,,{5011=100;5012=100;5010=100},5,{gold=45000},,100,,,8,<28;59>,,,
309,,{5014=100;5015=100;5013=100},10,{gold=105000},,100,,,8,<40;69>,,,
310,,{5014=100;5015=100;5013=100},5,{gold=52500},,100,,,8,<40;69>,,,
311,,{5016=100;5017=100;5018=100},10,{gold=120000},,100,,,8,<50;79>,,,
312,,{5016=100;5017=100;5018=100},5,{gold=60000},,100,,,8,<50;79>,,,
313,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,8,<60;84>,,,
314,,{5020=100;5019=100;5021=100},30,{gold=405000},,100,,,8,<60;84>,,,
