VariableName,_beizhu,itemWeightMap,itemCount,costMap,vipStart,vipWeight,vipWeight_kr,vipWeight_en,vipWeight_tw,beginDate,endDate,position,levelRange,limitType,limitTimes,showUnable
Defaults,,{},0,{coin5=0},0,1,1,1,1,0,20990101,0,<1;150>,0,0,FALSE
商店ID,备注,商品ID表({ID=权重;}),商品个数,消耗,起始VIP等级,刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),刷新几率权重(-1=必定出现),开始贩售时间,结束贩售时间,商店栏位,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见
1,,{20761=5},5,{coin5=200},,0,,,,,,,<200;200>,,,
2,,{21271=5},5,{coin5=200},,0,,,,,,1,<200;200>,,,
3,,{19=5},10,{coin5=20},,0,,,,,,4,<200;200>,,,
4,,{2102=10},10,{coin5=20},,0,,,,,,7,<200;200>,,,
5,,{2103=5},5,{coin5=20},,0,,,,,,6,<200;200>,,,
6,,{100=10},10,{coin5=20},,0,,,,,,5,<200;200>,,,
7,,{519=10},5,{coin5=1000},,0,,,,,,2,<200;200>,,,
8,,{801=10},10,{coin5=20},,0,,,,,,3,<200;200>,,,
100,,{20701=20},5,{coin5=3000},,100,,,,,,,,,,
101,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,100,,,,,,1,,,,
102,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,0,,,,,,1,,,,
111,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,100,,,,,,2,,,,
112,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,0,,,,,,2,,,,
121,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,100,,,,,,3,,,,
122,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,0,,,,,,3,,,,
126,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,100,,,,,,4,,,,
127,,{22242=100;21303=100;20641=100;20163=100;20593=100;21903=100;21032=100;20611=100;20603=100;21841=100;21931=100;21082=100;21071=100;23543=100;21381=100;20712=100;21293=100;20863=100;20631=100;21221=100;22033=100;20503=100},5,{coin5=200},,0,,,,,,4,,,,
131,,{22013=100;23511=100;20552=100;22593=100;23472=100;22963=100;20013=100;20793=100;23283=100;20493=100;22073=100;23293=100;22612=100;22633=100;20273=100;23342=100;20402=100;23683=100},5,{coin5=150},,100,,,,,,4,,,,
201,,{22013=100;23511=100;20552=100;22593=100;23472=100;22963=100;20013=100;20793=100;23283=100;20493=100;22073=100;23293=100;22612=100;22633=100;20273=100;23342=100;20402=100;23683=100},5,{coin5=150},,100,,,,,,5,,,,
202,,{22013=100;23511=100;20552=100;22593=100;23472=100;22963=100;20013=100;20793=100;23283=100;20493=100;22073=100;23293=100;22612=100;22633=100;20273=100;23342=100;20402=100;23683=100},5,{coin5=150},,100,,,,,,6,,,,
203,,{20692=100;23772=100;20082=100;23432=100;22843=100;20044=100;20053=100;22683=100},5,{coin5=80},,100,,,,,,7,,,,
204,,{20692=100;23772=100;20082=100;23432=100;22843=100;20044=100;20053=100;22683=100},5,{coin5=80},,100,,,,,,8,,,,
