VariableName,name_cn,languages,drawlanguages,name_tw,name,name_vn,name_en,name_th,name_in,name_ph,name_ma,icon,desc_cn,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,desc,desc1_cn,desc1_tw,desc1,desc1_vn,desc1_th,desc1_en,desc1_ma,desc1_ph,desc1_in,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
Defaults,,<cn;tw;en;vn;th;ma;in;ph>,<cn;tw;en;vn;th;ma;in;ph>,,,,,,,,,config/portrait/jinglingtouxiang/img_25_pkq@.png,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,该碎片对应的cardID尚未配置，读此Defaults,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,由大木研究所研究制作，根据精灵的资料来重现精灵形态的高科技物品,Oki Laporator,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,Được nghiên cứu và sản xuất bởi Viện nghiên cứu Oki,4,1,1,0,{coin5=5},11,10,9999,<1>,<3>,1000,FALSE,"""""","""""","""""","""""","""""","""""","""""",No usual way to get.,该碎片由特殊途径产出,No usual way to get.,헤당 조각을 얻을 고정 획득경로 아직 없음,0,100,{drawcard=false;gain=false},0,0
ID,碎片名称,语言区域,抽卡语言区域,碎片名称,碎片名称,name_vn,name_en,name_th,name_in,name_ph,name_ma,碎片图示,描述,desc_vn,desc_en,desc_th,desc_in,desc_ph,desc_ma,描述,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,卡牌碎片信息,碎片品质,碎片类型(1卡牌碎片2装备碎片3道具碎片4携带道具碎片),公会赠予类型（0-不可赠送；1-可赠送）,对应万能碎片ID,碎片分解价值,产物对应ID,合成数量,堆栈上限,功能按键,特殊页签显示,出售价格,是否自动合成,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu),前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述_韩,是否成品(接口显示用),精灵分解消耗,分别表示在抽卡，恭喜获得,排序类型,排序价值
20013,,,,,Mario Fragment,Mảnh Mario,Mario Fragment,Mario ชิ้นส่วน,Fragmen Mario,Piraso ni Mario,Fragmen Mario,config/portrait/jinglingtouxiang/img_13.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Mario#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Mario#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Mario#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Mario#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Mario#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Mario#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Mario#C0x55504D#,,,,,,,,,,,,,502,,13,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20044,,,,,Gru Fragment,Mảnh Gru,Gru Fragment,Gru ชิ้นส่วน,Fragmen Gru,Piraso ni Gru,Fragmen Gru,config/portrait/jinglingtouxiang/img_44.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Gru#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gru#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Gru#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Gru#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Gru#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Gru#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Gru#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},44,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20053,,,,,Batman Fragment,Mảnh Batman,Batman Fragment,Batman ชิ้นส่วน,Fragmen Batman,Piraso ni Batman,Fragmen Batman,config/portrait/jinglingtouxiang/img_53.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Batman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Batman#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Batman#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Batman#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Batman#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Batman#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Batman#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},53,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20082,,,,,Zombie Fragment,Mảnh Zombie,Zombie Fragment,Zombie ชิ้นส่วน,Fragmen Zombie,Piraso ng Zombie,Fragmen Zombie,config/portrait/jinglingtouxiang/img_82.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Zombie#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Zombie#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Zombie#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Zombie#C0x55504D#,Kolektahin ang %d piraso para buuin ang #C0xE77421#Zombie#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Zombie#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Zombie#C0x55504D#,,,,,,,,,,3,,,502,{coin5=2},82,20,,,,,,drawCard-gold,,,,,,,,,,,,,,,
20163,,,,,Kagura Fragment,Mảnh Kagura,Kagura Fragment,Kagura ชิ้นส่วน,Fragmen Kagura,Piraso ni Kagura,Fragmen Kagura,config/portrait/jinglingtouxiang/img_163.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Kagura#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kagura#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Kagura#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Kagura#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Kagura#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Kagura#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Kagura#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},163,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20242,,,,,Sawada Tsunayoshi Fragment,Mảnh Sawada Tsunayoshi,Sawada Tsunayoshi Fragment,Sawada Tsunayoshi ชิ้นส่วน,Fragmen Sawada Tsunayoshi,Piraso ni Sawada Tsunayoshi,Fragmen Sawada Tsunayoshi,config/portrait/jinglingtouxiang/img_242.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Sawada Tsunayoshi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Sawada Tsunayoshi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Sawada Tsunayoshi#C0x55504D#,,,,,,,,,,5,,,502,{coin5=10},242,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20263,,,,,Orochi Fragment,Mảnh Orochi,Orochi Fragment,Orochi ชิ้นส่วน,Fragmen Orochi,Piraso ni Orochi,Fragmen Orochi,config/portrait/jinglingtouxiang/img_263.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Orochi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Orochi#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Orochi#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Orochi#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Orochi#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Orochi#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Orochi#C0x55504D#,,,,,,,,,,6,,0,521,{coin5=30},263,80,,,,,,,,,,,,,,,,,,,{drawcard=hong_effect_loop},,
20273,,,,,Ken Fragment,Mảnh Ken,Ken Fragment,Ken ชิ้นส่วน,Fragmen Ken,Piraso ni Ken,Fragmen Ken,config/portrait/jinglingtouxiang/img_273.png,,Thu thập đủ %d mảnh có thể hợp thành #C0xE77421#Ken#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ken#C0x55504D#,รวบรวมเศษ %d ชิ้นเพื่อสร้าง #C0xE77421#Ken#C0x55504D#,Kumpulkan %d fragmen untuk membentuk #C0xE77421#Ken#C0x55504D#,Kolektahin ang %d piraso para buuin si #C0xE77421#Ken#C0x55504D#,Kumpul %d serpihan untuk gabung menjadi #C0xE77421#Ken#C0x55504D#,Collect %d fragments to synthesize #C0xE77421#Ken#C0x55504D#,,,,,,,,,,,,,502,,273,30,,,,,,drawCard-gold,,,,,,,,,,,,,,,
