VariableName,suitID,suitName_cn,suitName_tw,suitName,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,suitNum,suitQuality,attrType1,attrNum1,attrType2,attrNum2
Defaults,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""",6,1,0,,0,
ID,套装ID,suitName_cn,suitName_tw,suitName,suitName_vn,suitName_en,suitName_th,suitName_in,suitName_ph,suitName_ma,套装散件数量,套装品质,属性类型1,属性数值1,属性类型2,属性数值2
1,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,3,2,7,4%,8,4%
2,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,,2,11,300,12,300
3,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,3,3,7,5%,8,5%
4,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,,3,11,400,12,400
5,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,3,4,7,6%,8,6%
6,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,,4,11,500,12,500
7,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,3,5,7,9%,8,9%
8,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,,5,11,700,12,700
9,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,3,6,7,18%,8,18%
10,,,,Attack  ,Công Kích,Attack  ,การโจมตี  ,Serangan  ,Atake  ,Serangan  ,,6,11,2000,12,2000
11,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,3,2,14,200,,
12,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,,2,15,300,,
13,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,3,3,14,300,,
14,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,,3,15,450,,
15,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,3,4,14,400,,
16,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,,4,15,600,,
17,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,3,5,14,600,,
18,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,,5,15,900,,
19,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,3,6,14,1800,,
20,2,,,Critical  ,Chí Mạng,Critical  ,คริติคอล  ,Kritis  ,Kritikal  ,Kritikal  ,,6,15,2500,,
21,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,3,2,92,200,,
22,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,,2,22,200,,
23,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,3,3,92,300,,
24,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,,3,22,300,,
25,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,3,4,92,400,,
26,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,,4,22,400,,
27,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,3,5,92,600,,
28,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,,5,22,600,,
29,3,,,Aggressive  ,Hiếu Chiến,Aggressive  ,ก้าวร้าว  ,Agresif  ,Agresibo  ,Agresif  ,3,6,92,1200,,
30,3,,,Aggressive,Hiếu Chiến,Aggressive,ก้าวร้าว,Agresif,Agresibo,Agresif,,6,22,1500,,
31,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,3,2,17,300,,
32,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,,2,19,300,,
33,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,3,3,17,400,,
34,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,,3,19,400,,
35,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,3,4,17,500,,
36,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,,4,19,500,,
37,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,3,5,17,750,,
38,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,,5,19,750,,
39,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,3,6,17,1500,,
40,4,,,Defense  ,Phòng Ngự,Defense  ,การป้องกัน  ,Pertahanan  ,Depensa  ,Pertahanan  ,,6,19,2000,,
41,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,3,2,1,5%,,
42,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,,2,16,300,,
43,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,3,3,1,6.50%,,
44,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,,3,16,400,,
45,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,3,4,1,8%,,
46,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,,4,16,500,,
47,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,3,5,1,12%,,
48,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,,5,16,700,,
49,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,3,6,1,25%,,
50,5,,,Armor Shield  ,Giáp Khiên,Armor Shield  ,เกราะโล่  ,Perisai Baju Besi  ,Kalasag ng Armor  ,Perisai Zirah  ,,6,16,2500,,
51,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,2,93,200,,
52,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,,2,23,200,,
53,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,3,93,300,,
54,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,,3,23,300,,
55,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,4,93,400,,
56,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,,4,23,400,,
57,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,5,93,600,,
58,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,,5,23,600,,
59,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,6,93,1200,,
60,6,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,,6,23,1500,,
61,7,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,2,28,400,,
62,7,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,3,28,500,,
63,7,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,4,28,600,,
64,7,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,5,28,900,,
65,7,,,Diamond  ,Kim Cương,Diamond  ,เพชร  ,Berlian  ,Diamante  ,Berlian  ,3,6,28,1800,,
